"Município";"Público";"Filantropico";"Privado";"Sindicato";"Total"
"353680 Pedra Bela";1;-;-;-;1
"353700 Pedregulho";2;-;-;-;2
"353710 Pedreira";4;-;-;-;4
"353715 Pedrinhas Paulista";1;-;-;-;1
"353720 Pedro de Toledo";1;-;-;-;1
"353730 Penápolis";5;-;2;-;7
"353740 Pereira Barreto";2;-;-;-;2
"353750 Pereiras";1;-;-;-;1
"353760 Peruíbe";3;-;2;-;5
"353770 Piacatu";1;-;-;-;1
"353780 Piedade";2;-;5;-;7
"353790 Pilar do Sul";3;-;-;-;3
"353800 Pindamonhangaba";3;3;-;-;6
"353810 Pindorama";3;-;-;-;3
"353820 Pinhalzinho";1;-;-;-;1
"353850 Piquete";1;-;-;-;1
"353860 Piracaia";1;-;-;-;1
"353870 Piracicaba";16;12;4;-;32
"353880 Piraju";2;-;-;-;2
"353890 Pirajuí";4;4;-;-;8
"353900 Pirangi";1;-;-;-;1
"353910 Pirapora do Bom Jesus";1;-;-;-;1
"353920 Pirapozinho";3;-;1;-;4
"353930 Pirassununga";3;5;1;-;9
"353940 Piratininga";2;-;-;-;2
"353950 Pitangueiras";4;-;-;-;4
"353970 Platina";1;-;-;-;1
"353980 Poá";7;-;1;-;8
"353990 Poloni";1;-;-;-;1
"354000 Pompéia";2;-;-;-;2
"354010 Pongaí";1;-;-;-;1
"354020 Pontal";1;1;-;-;2
"354060 Porto Feliz";2;-;-;-;2
"354070 Porto Ferreira";2;-;-;-;2
"354075 Potim";5;-;-;-;5
"354085 Pracinha";3;-;-;-;3
"354090 Pradópolis";1;-;-;-;1
"354100 Praia Grande";17;-;2;-;19
"354105 Pratânia";1;-;-;-;1
"354120 Presidente Bernardes";7;-;-;-;7
"354130 Presidente Epitácio";3;-;-;-;3
"354140 Presidente Prudente";22;17;7;-;46
"354150 Presidente Venceslau";10;1;-;-;11
"354160 Promissão";5;-;-;-;5
"354170 Quatá";2;-;-;-;2
"354180 Queiroz";1;-;-;-;1
"354190 Queluz";2;-;-;-;2
"354200 Quintana";1;-;-;-;1
"354210 Rafard";2;-;-;-;2
"354220 Rancharia";6;-;-;-;6
"354240 Regente Feijó";3;-;-;-;3
"354250 Reginópolis";3;-;-;-;3
"354260 Registro";7;2;-;-;9
"354270 Restinga";1;-;-;-;1
"354300 Ribeirão Branco";2;-;-;-;2
"354310 Ribeirão Corrente";2;-;-;-;2
"354320 Ribeirão do Sul";1;-;-;-;1
"354323 Ribeirão dos Índios";1;-;-;-;1
"354330 Ribeirão Pires";5;8;16;-;29
"354340 Ribeirão Preto";48;8;15;-;71
"354380 Rinópolis";1;-;-;-;1
"354390 Rio Claro";18;3;2;-;23
"354410 Rio Grande da Serra";2;-;-;-;2
"354420 Riolândia";4;-;-;-;4
"354350 Riversul";1;-;-;-;1
"354430 Roseira";1;-;-;-;1
"354450 Rubinéia";1;-;-;-;1
"354480 Sales";1;-;-;-;1
"354490 Sales Oliveira";1;-;-;-;1
"354500 Salesópolis";1;-;-;-;1
"354515 Saltinho";1;-;-;-;1
"354520 Salto";11;-;-;-;11
"354530 Salto de Pirapora";4;-;7;-;11
"354540 Salto Grande";1;-;-;-;1
"354550 Sandovalina";1;-;-;-;1
"354560 Santa Adélia";1;-;-;-;1
"354570 Santa Albertina";1;-;-;-;1
"354580 Santa Bárbara d'Oeste";3;2;2;-;7
"354600 Santa Branca";1;-;-;-;1
"354610 Santa Clara d'Oeste";1;-;-;-;1
"354620 Santa Cruz da Conceição";1;-;-;-;1
"354630 Santa Cruz das Palmeiras";2;2;4;-;8
"354640 Santa Cruz do Rio Pardo";4;-;-;-;4
"354650 Santa Ernestina";1;-;-;-;1
"354660 Santa Fé do Sul";5;2;-;-;7
"354670 Santa Gertrudes";-;-;1;-;1
"354680 Santa Isabel";4;1;-;-;5
"354690 Santa Lúcia";2;-;-;-;2
"354710 Santa Mercedes";1;-;-;-;1
"354750 Santa Rita do Passa Quatro";14;-;-;-;14
"354760 Santa Rosa de Viterbo";2;-;-;-;2
"354765 Santa Salete";1;-;-;-;1
"354730 Santana de Parnaíba";19;-;2;-;21
"354770 Santo Anastácio";1;-;1;-;2
"354780 Santo André";50;3;49;-;102
"354790 Santo Antônio da Alegria";2;-;-;-;2
"354800 Santo Antônio de Posse";1;-;-;-;1
"354820 Santo Antônio do Pinhal";1;-;-;-;1
"354850 Santos";55;-;17;1;73
"354860 São Bento do Sapucaí";1;1;-;-;2
"354870 São Bernardo do Campo";30;8;62;-;100
"354880 São Caetano do Sul";15;-;32;-;47
"354890 São Carlos";14;-;4;-;18
"354910 São João da Boa Vista";13;2;3;-;18
"354930 São João do Pau d'Alho";1;-;-;-;1
"354940 São Joaquim da Barra";4;-;1;-;5
"354950 São José da Bela Vista";3;-;-;-;3
"354960 São José do Barreiro";1;-;-;-;1
"354970 São José do Rio Pardo";8;-;-;-;8
"354980 São José do Rio Preto";36;38;16;-;90
"354990 São José dos Campos";28;7;58;-;93
"354995 São Lourenço da Serra";1;-;-;-;1
"355000 São Luís do Paraitinga";1;-;-;-;1
"355010 São Manuel";3;-;1;-;4
"355020 São Miguel Arcanjo";2;-;-;-;2
"355030 São Paulo";1025;108;163;1;1297
"355040 São Pedro";2;-;-;-;2
"355060 São Roque";4;-;1;-;5
"355070 São Sebastião";13;1;1;-;15
"355080 São Sebastião da Grama";2;-;-;-;2
"355090 São Simão";3;-;-;-;3
"355100 São Vicente";24;1;4;-;29
"355120 Sarutaiá";1;-;-;-;1
"355140 Serra Azul";4;-;-;-;4
"355160 Serra Negra";5;-;-;-;5
"355150 Serrana";1;-;1;-;2
"355170 Sertãozinho";8;1;2;-;11
"355180 Sete Barras";1;-;-;-;1
"355190 Severínia";1;-;-;-;1
"355200 Silveiras";1;-;-;-;1
"355210 Socorro";2;-;-;-;2
"355220 Sorocaba";17;30;22;-;69
"355240 Sumaré";8;1;3;-;12
"355250 Suzano";10;1;1;-;12
"355260 Tabapuã";2;-;-;-;2
"355280 Taboão da Serra";14;-;3;-;17
"355290 Taciba";1;-;-;-;1
"355300 Taguaí";1;-;-;-;1
"355310 Taiaçu";1;-;-;-;1
"355320 Taiúva";1;-;-;-;1
"355330 Tambaú";3;-;1;-;4
"355340 Tanabi";1;-;-;-;1
"355350 Tapiraí";1;-;-;-;1
"355360 Tapiratiba";1;-;-;-;1
"355365 Taquaral";1;-;-;-;1
"355370 Taquaritinga";12;-;1;-;13
"355380 Taquarituba";2;-;-;-;2
"355385 Taquarivaí";2;-;-;-;2
"355390 Tarabai";1;-;-;-;1
"355395 Tarumã";3;-;-;-;3
"355400 Tatuí";9;-;5;-;14
"355410 Taubaté";24;3;10;-;37
"355430 Teodoro Sampaio";1;-;-;-;1
"355450 Tietê";2;-;1;-;3
"355460 Timburi";1;-;-;-;1
"355470 Torrinha";1;-;-;-;1
"355480 Tremembé";13;-;-;-;13
"355500 Tupã";7;1;4;-;12
"355535 Ubarana";1;-;-;-;1
"355540 Ubatuba";6;-;-;-;6
"355560 Uchoa";1;-;-;-;1
"355580 Urânia";1;-;-;-;1
"355600 Urupês";2;-;-;-;2
"355620 Valinhos";6;-;1;-;7
"355630 Valparaíso";3;-;-;-;3
"355635 Vargem";1;-;-;-;1
"355640 Vargem Grande do Sul";2;-;-;-;2
"355645 Vargem Grande Paulista";3;-;1;1;5
"355650 Várzea Paulista";4;-;4;-;8
"355670 Vinhedo";10;-;8;-;18
"355680 Viradouro";1;-;-;-;1
"355700 Votorantim";4;-;-;-;4
"355710 Votuporanga";4;2;-;-;6
"355715 Zacarias";1;-;-;-;1
"Total";3531;606;869;3;5009
&
