"Município";"Masculino";"Feminino";"Total"
"261340 São José da Coroa Grande";-;-;-
"261350 São José do Belmonte";-;-;-
"261360 São José do Egito";-;-;-
"261370 São Lourenço da Mata";-;-;-
"261380 São Vicente Ferrer";-;-;-
"261390 Serra Talhada";-;-;-
"261400 Serrita";-;-;-
"261410 Sertânia";-;-;-
"261420 Sirinhaém";-;-;-
"261440 Solidão";-;-;-
"261450 Surubim";-;-;-
"261460 Tabira";-;-;-
"261470 Tacaimbó";-;-;-
"261480 Tacaratu";-;-;-
"261485 Tamandaré";-;-;-
"261500 Taquaritinga do Norte";-;-;-
"261510 Terezinha";-;-;-
"261520 Terra Nova";-;-;-
"261530 Timbaúba";-;-;-
"261540 Toritama";-;-;-
"261550 Tracunhaém";-;-;-
"261560 Trindade";-;-;-
"261570 Triunfo";-;-;-
"261580 Tupanatinga";-;-;-
"261590 Tuparetama";-;-;-
"261600 Venturosa";-;-;-
"261610 Verdejante";-;-;-
"261618 Vertente do Lério";-;-;-
"261620 Vertentes";-;-;-
"261630 Vicência";-;-;-
"261640 Vitória de Santo Antão";-;-;-
"261650 Xexéu";-;-;-
"260000 Município ignorado - PE";-;-;-
"270010 Água Branca";-;-;-
"270020 Anadia";-;-;-
"270030 Arapiraca";-;-;-
"270040 Atalaia";-;-;-
"270050 Barra de Santo Antônio";-;-;-
"270060 Barra de São Miguel";-;-;-
"270070 Batalha";-;-;-
"270080 Belém";-;-;-
"270090 Belo Monte";-;-;-
"270100 Boca da Mata";-;-;-
"270110 Branquinha";-;-;-
"270120 Cacimbinhas";-;-;-
"270130 Cajueiro";-;-;-
"270135 Campestre";-;-;-
"270140 Campo Alegre";-;-;-
"270150 Campo Grande";-;-;-
"270160 Canapi";-;-;-
"270170 Capela";-;-;-
"270180 Carneiros";-;-;-
"270190 Chã Preta";-;-;-
"270200 Coité do Nóia";-;-;-
"270210 Colônia Leopoldina";-;-;-
"270220 Coqueiro Seco";-;-;-
"270230 Coruripe";-;-;-
"270235 Craíbas";-;-;-
"270240 Delmiro Gouveia";-;-;-
"270250 Dois Riachos";-;-;-
"270255 Estrela de Alagoas";-;-;-
"270260 Feira Grande";-;-;-
"270270 Feliz Deserto";-;-;-
"270280 Flexeiras";-;-;-
"270290 Girau do Ponciano";-;-;-
"270300 Ibateguara";-;-;-
"270310 Igaci";-;-;-
"270320 Igreja Nova";-;-;-
"270330 Inhapi";-;-;-
"270340 Jacaré dos Homens";-;-;-
"270350 Jacuípe";-;-;-
"270360 Japaratinga";-;-;-
"270370 Jaramataia";-;-;-
"270375 Jequiá da Praia";-;-;-
"270380 Joaquim Gomes";-;-;-
"270390 Jundiá";-;-;-
"270400 Junqueiro";-;-;-
"270410 Lagoa da Canoa";-;-;-
"270420 Limoeiro de Anadia";-;-;-
"270430 Maceió";-;-;-
"270440 Major Isidoro";-;-;-
"270490 Mar Vermelho";-;-;-
"270450 Maragogi";-;-;-
"270460 Maravilha";-;-;-
"270470 Marechal Deodoro";-;-;-
"270480 Maribondo";-;-;-
"270500 Mata Grande";-;-;-
"270510 Matriz de Camaragibe";-;-;-
"270520 Messias";-;-;-
"270530 Minador do Negrão";-;-;-
"270540 Monteirópolis";-;-;-
"270550 Murici";-;-;-
"270560 Novo Lino";-;-;-
"270570 Olho d'Água das Flores";-;-;-
"270580 Olho d'Água do Casado";-;-;-
"270590 Olho d'Água Grande";-;-;-
"270600 Olivença";-;-;-
"270610 Ouro Branco";-;-;-
"270620 Palestina";-;-;-
"270630 Palmeira dos Índios";-;-;-
"270640 Pão de Açúcar";-;-;-
"270642 Pariconha";-;-;-
"270644 Paripueira";-;-;-
"270650 Passo de Camaragibe";-;-;-
"270660 Paulo Jacinto";-;-;-
"270670 Penedo";-;-;-
"270680 Piaçabuçu";-;-;-
"270690 Pilar";-;-;-
"270700 Pindoba";-;-;-
"270710 Piranhas";-;-;-
"270720 Poço das Trincheiras";-;-;-
"270730 Porto Calvo";-;-;-
"270740 Porto de Pedras";-;-;-
"270750 Porto Real do Colégio";-;-;-
"270760 Quebrangulo";-;-;-
"270770 Rio Largo";-;-;-
"270780 Roteiro";-;-;-
"270790 Santa Luzia do Norte";-;-;-
"270800 Santana do Ipanema";-;-;-
"270810 Santana do Mundaú";-;-;-
"270820 São Brás";-;-;-
"270830 São José da Laje";-;-;-
"270840 São José da Tapera";-;-;-
"270850 São Luís do Quitunde";-;-;-
"270860 São Miguel dos Campos";-;-;-
"270870 São Miguel dos Milagres";-;-;-
"270880 São Sebastião";-;-;-
"270890 Satuba";-;-;-
"270895 Senador Rui Palmeira";-;-;-
"270900 Tanque d'Arca";-;-;-
"270910 Taquarana";-;-;-
"270915 Teotônio Vilela";-;-;-
"270920 Traipu";-;-;-
"270930 União dos Palmares";-;-;-
"270940 Viçosa";-;-;-
"270000 Município ignorado - AL";-;-;-
"280010 Amparo de São Francisco";-;-;-
"280020 Aquidabã";-;-;-
"280030 Aracaju";-;-;-
"280040 Arauá";-;-;-
"280050 Areia Branca";-;-;-
"280060 Barra dos Coqueiros";-;-;-
"280067 Boquim";-;-;-
"280070 Brejo Grande";-;-;-
"280100 Campo do Brito";-;-;-
"280110 Canhoba";-;-;-
"280120 Canindé de São Francisco";-;-;-
"280130 Capela";-;-;-
"280140 Carira";-;-;-
"280150 Carmópolis";-;-;-
"280160 Cedro de São João";-;-;-
"280170 Cristinápolis";-;-;-
"280190 Cumbe";-;-;-
"280200 Divina Pastora";-;-;-
"280210 Estância";-;-;-
"280220 Feira Nova";-;-;-
"280230 Frei Paulo";-;-;-
"280240 Gararu";-;-;-
"280250 General Maynard";-;-;-
"280260 Gracho Cardoso";-;-;-
"280270 Ilha das Flores";-;-;-
"280280 Indiaroba";-;-;-
"280290 Itabaiana";-;-;-
"280300 Itabaianinha";-;-;-
"280310 Itabi";-;-;-
"280320 Itaporanga d'Ajuda";-;-;-
"280330 Japaratuba";-;-;-
"280340 Japoatã";-;-;-
"280350 Lagarto";-;-;-
"280360 Laranjeiras";-;-;-
"280370 Macambira";-;-;-
"280380 Malhada dos Bois";-;-;-
"280390 Malhador";-;-;-
"280400 Maruim";-;-;-
"280410 Moita Bonita";-;-;-
"280420 Monte Alegre de Sergipe";-;-;-
"280430 Muribeca";-;-;-
"280440 Neópolis";-;-;-
"280445 Nossa Senhora Aparecida";-;-;-
"280450 Nossa Senhora da Glória";-;-;-
"280460 Nossa Senhora das Dores";-;-;-
"280470 Nossa Senhora de Lourdes";-;-;-
"280480 Nossa Senhora do Socorro";-;-;-
"280490 Pacatuba";-;-;-
"280500 Pedra Mole";-;-;-
"280510 Pedrinhas";-;-;-
"280520 Pinhão";-;-;-
"280530 Pirambu";-;-;-
"280540 Poço Redondo";-;-;-
"280550 Poço Verde";-;-;-
"280560 Porto da Folha";-;-;-
"280570 Propriá";-;-;-
"280580 Riachão do Dantas";-;-;-
"280590 Riachuelo";-;-;-
"280600 Ribeirópolis";-;-;-
"280610 Rosário do Catete";-;-;-
"280620 Salgado";-;-;-
"280630 Santa Luzia do Itanhy";-;-;-
"280650 Santa Rosa de Lima";-;-;-
"280640 Santana do São Francisco";-;-;-
"280660 Santo Amaro das Brotas";-;-;-
"280670 São Cristóvão";-;-;-
"280680 São Domingos";-;-;-
"280690 São Francisco";-;-;-
"280700 São Miguel do Aleixo";-;-;-
"280710 Simão Dias";-;-;-
"280720 Siriri";-;-;-
"280730 Telha";-;-;-
"280740 Tobias Barreto";-;-;-
"280750 Tomar do Geru";-;-;-
"280760 Umbaúba";-;-;-
"280000 Município ignorado - SE";-;-;-
"290010 Abaíra";-;-;-
"290020 Abaré";-;-;-
"290030 Acajutiba";-;-;-
"290035 Adustina";-;-;-
"290040 Água Fria";-;-;-
"290060 Aiquara";-;-;-
"290070 Alagoinhas";-;-;-
"290080 Alcobaça";-;-;-
"290090 Almadina";-;-;-
"290100 Amargosa";-;-;-
"290110 Amélia Rodrigues";-;-;-
"290115 América Dourada";-;-;-
"290120 Anagé";-;-;-
"290130 Andaraí";-;-;-
"290135 Andorinha";-;-;-
"290140 Angical";-;-;-
"290150 Anguera";-;-;-
"290160 Antas";-;-;-
"290170 Antônio Cardoso";-;-;-
"290180 Antônio Gonçalves";-;-;-
"290190 Aporá";-;-;-
"290195 Apuarema";-;-;-
"290205 Araças";-;-;-
"290200 Aracatu";-;-;-
"290210 Araci";-;-;-
"290220 Aramari";-;-;-
"290225 Arataca";-;-;-
"290230 Aratuípe";-;-;-
"290240 Aurelino Leal";-;-;-
"290250 Baianópolis";-;-;-
"290260 Baixa Grande";-;-;-
"290265 Banzaê";-;-;-
"290270 Barra";-;-;-
"290280 Barra da Estiva";-;-;-
"290290 Barra do Choça";-;-;-
"290300 Barra do Mendes";-;-;-
"290310 Barra do Rocha";-;-;-
"290320 Barreiras";-;-;-
"290323 Barro Alto";-;-;-
"290330 Barro Preto";-;-;-
"290327 Barrocas";-;-;-
"290340 Belmonte";-;-;-
"290350 Belo Campo";-;-;-
"290360 Biritinga";-;-;-
"290370 Boa Nova";-;-;-
"290380 Boa Vista do Tupim";-;-;-
"290390 Bom Jesus da Lapa";-;-;-
"290395 Bom Jesus da Serra";-;-;-
"290400 Boninal";-;-;-
"290405 Bonito";-;-;-
"290410 Boquira";-;-;-
"290420 Botuporã";-;-;-
"290430 Brejões";-;-;-
"290440 Brejolândia";-;-;-
"290450 Brotas de Macaúbas";-;-;-
"290460 Brumado";-;-;-
"290470 Buerarema";-;-;-
"290475 Buritirama";-;-;-
"290480 Caatiba";-;-;-
"290485 Cabaceiras do Paraguaçu";-;-;-
"290490 Cachoeira";-;-;-
"290500 Caculé";-;-;-
"290510 Caém";-;-;-
"290515 Caetanos";-;-;-
"290520 Caetité";-;-;-
"290530 Cafarnaum";-;-;-
"290540 Cairu";-;-;-
"290550 Caldeirão Grande";-;-;-
"290560 Camacan";-;-;-
"290570 Camaçari";-;-;-
"290580 Camamu";-;-;-
"290590 Campo Alegre de Lourdes";-;-;-
"290600 Campo Formoso";-;-;-
"290610 Canápolis";-;-;-
"290620 Canarana";-;-;-
"290630 Canavieiras";-;-;-
"290640 Candeal";-;-;-
"290650 Candeias";-;-;-
"290660 Candiba";-;-;-
"290670 Cândido Sales";-;-;-
"290680 Cansanção";-;-;-
"290682 Canudos";-;-;-
"290685 Capela do Alto Alegre";-;-;-
"290687 Capim Grosso";-;-;-
"290689 Caraíbas";-;-;-
"290690 Caravelas";-;-;-
"290700 Cardeal da Silva";-;-;-
"290710 Carinhanha";-;-;-
"290720 Casa Nova";-;-;-
"290730 Castro Alves";-;-;-
"290740 Catolândia";-;-;-
"290750 Catu";-;-;-
"290755 Caturama";-;-;-
"290760 Central";-;-;-
"290770 Chorrochó";-;-;-
"290780 Cícero Dantas";-;-;-
"290790 Cipó";-;-;-
"290800 Coaraci";-;-;-
"290810 Cocos";-;-;-
"290820 Conceição da Feira";-;-;-
"290830 Conceição do Almeida";-;-;-
"290840 Conceição do Coité";-;-;-
"290850 Conceição do Jacuípe";-;-;-
"290860 Conde";-;-;-
"290870 Condeúba";-;-;-
"290880 Contendas do Sincorá";-;-;-
"290890 Coração de Maria";-;-;-
"290900 Cordeiros";-;-;-
"290910 Coribe";-;-;-
"290920 Coronel João Sá";-;-;-
"290930 Correntina";-;-;-
"290940 Cotegipe";-;-;-
"290950 Cravolândia";-;-;-
"290960 Crisópolis";-;-;-
"290970 Cristópolis";-;-;-
"290980 Cruz das Almas";-;-;-
"290990 Curaçá";-;-;-
"291000 Dário Meira";-;-;-
"291005 Dias d'Ávila";-;-;-
"291010 Dom Basílio";-;-;-
"291020 Dom Macedo Costa";-;-;-
"291030 Elísio Medrado";-;-;-
"291040 Encruzilhada";-;-;-
"291050 Entre Rios";-;-;-
"290050 Érico Cardoso";-;-;-
"291060 Esplanada";-;-;-
"291070 Euclides da Cunha";-;-;-
"291072 Eunápolis";-;-;-
"291075 Fátima";-;-;-
"291077 Feira da Mata";-;-;-
"291080 Feira de Santana";-;-;-
"291085 Filadélfia";-;-;-
"291090 Firmino Alves";-;-;-
"291100 Floresta Azul";-;-;-
"291110 Formosa do Rio Preto";-;-;-
"291120 Gandu";-;-;-
"291125 Gavião";-;-;-
"291130 Gentio do Ouro";-;-;-
"291140 Glória";-;-;-
"291150 Gongogi";-;-;-
"291160 Governador Mangabeira";-;-;-
"291165 Guajeru";-;-;-
"291170 Guanambi";-;-;-
"291180 Guaratinga";-;-;-
"291185 Heliópolis";-;-;-
"291190 Iaçu";-;-;-
"291200 Ibiassucê";-;-;-
"291210 Ibicaraí";-;-;-
"291220 Ibicoara";-;-;-
"291230 Ibicuí";-;-;-
"291240 Ibipeba";-;-;-
"291250 Ibipitanga";-;-;-
"291260 Ibiquera";-;-;-
"291270 Ibirapitanga";-;-;-
"291280 Ibirapuã";-;-;-
"291290 Ibirataia";-;-;-
"291300 Ibitiara";-;-;-
"291310 Ibititá";-;-;-
"291320 Ibotirama";-;-;-
"291330 Ichu";-;-;-
"291340 Igaporã";-;-;-
"291345 Igrapiúna";-;-;-
"291350 Iguaí";-;-;-
"291360 Ilhéus";-;-;-
"291370 Inhambupe";-;-;-
"291380 Ipecaetá";-;-;-
"291390 Ipiaú";-;-;-
"291400 Ipirá";-;-;-
"291410 Ipupiara";-;-;-
"291420 Irajuba";-;-;-
"291430 Iramaia";-;-;-
"291440 Iraquara";-;-;-
"291450 Irará";-;-;-
"291460 Irecê";-;-;-
"291465 Itabela";-;-;-
"291470 Itaberaba";-;-;-
"291480 Itabuna";-;-;-
"291490 Itacaré";-;-;-
"291500 Itaeté";-;-;-
"291510 Itagi";-;-;-
"291520 Itagibá";-;-;-
"291530 Itagimirim";-;-;-
"291535 Itaguaçu da Bahia";-;-;-
"291540 Itaju do Colônia";-;-;-
"291550 Itajuípe";-;-;-
"291560 Itamaraju";-;-;-
"291570 Itamari";-;-;-
"291580 Itambé";-;-;-
"291590 Itanagra";-;-;-
"291600 Itanhém";-;-;-
"291610 Itaparica";-;-;-
"291620 Itapé";-;-;-
"291630 Itapebi";-;-;-
"291640 Itapetinga";-;-;-
"291650 Itapicuru";-;-;-
"291660 Itapitanga";-;-;-
"291670 Itaquara";-;-;-
"291680 Itarantim";-;-;-
"291685 Itatim";-;-;-
"291690 Itiruçu";-;-;-
"291700 Itiúba";-;-;-
"291710 Itororó";-;-;-
"291720 Ituaçu";-;-;-
"291730 Ituberá";-;-;-
"291733 Iuiú";-;-;-
"291735 Jaborandi";-;-;-
"291740 Jacaraci";-;-;-
"291750 Jacobina";-;-;-
"291760 Jaguaquara";-;-;-
"291770 Jaguarari";-;-;-
"291780 Jaguaripe";-;-;-
"291790 Jandaíra";-;-;-
"291800 Jequié";-;-;-
"291810 Jeremoabo";-;-;-
"291820 Jiquiriçá";-;-;-
"291830 Jitaúna";-;-;-
"291835 João Dourado";-;-;-
"291840 Juazeiro";-;-;-
"291845 Jucuruçu";-;-;-
"291850 Jussara";-;-;-
"291855 Jussari";-;-;-
"291860 Jussiape";-;-;-
"291870 Lafaiete Coutinho";-;-;-
"291875 Lagoa Real";-;-;-
"291880 Laje";-;-;-
"291890 Lajedão";-;-;-
"291900 Lajedinho";-;-;-
"291905 Lajedo do Tabocal";-;-;-
"291910 Lamarão";-;-;-
"291915 Lapão";-;-;-
"291920 Lauro de Freitas";-;-;-
"291930 Lençóis";-;-;-
"291940 Licínio de Almeida";-;-;-
"291950 Livramento de Nossa Senhora";-;-;-
"291955 Luís Eduardo Magalhães";-;-;-
"291960 Macajuba";-;-;-
"291970 Macarani";-;-;-
"291980 Macaúbas";-;-;-
"291990 Macururé";-;-;-
"291992 Madre de Deus";-;-;-
"291995 Maetinga";-;-;-
"292000 Maiquinique";-;-;-
"292010 Mairi";-;-;-
"292020 Malhada";-;-;-
"292030 Malhada de Pedras";-;-;-
"292040 Manoel Vitorino";-;-;-
"292045 Mansidão";-;-;-
"292050 Maracás";-;-;-
"292060 Maragogipe";-;-;-
"292070 Maraú";-;-;-
"292080 Marcionílio Souza";-;-;-
"292090 Mascote";-;-;-
"292100 Mata de São João";-;-;-
"292105 Matina";-;-;-
"292110 Medeiros Neto";-;-;-
"292120 Miguel Calmon";-;-;-
"292130 Milagres";-;-;-
"292140 Mirangaba";-;-;-
"292145 Mirante";-;-;-
"292150 Monte Santo";-;-;-
"292160 Morpará";-;-;-
"292170 Morro do Chapéu";-;-;-
"292180 Mortugaba";-;-;-
"292190 Mucugê";-;-;-
"292200 Mucuri";-;-;-
"292205 Mulungu do Morro";-;-;-
"292210 Mundo Novo";-;-;-
"292220 Muniz Ferreira";-;-;-
"292225 Muquém de São Francisco";-;-;-
"292230 Muritiba";-;-;-
"292240 Mutuípe";-;-;-
"292250 Nazaré";-;-;-
"292260 Nilo Peçanha";-;-;-
"292265 Nordestina";-;-;-
"292270 Nova Canaã";-;-;-
"292273 Nova Fátima";-;-;-
"292275 Nova Ibiá";-;-;-
"292280 Nova Itarana";-;-;-
"292285 Nova Redenção";-;-;-
"292290 Nova Soure";-;-;-
"292300 Nova Viçosa";-;-;-
"292303 Novo Horizonte";-;-;-
"292305 Novo Triunfo";-;-;-
"292310 Olindina";-;-;-
"292320 Oliveira dos Brejinhos";-;-;-
"292330 Ouriçangas";-;-;-
"292335 Ourolândia";-;-;-
"292340 Palmas de Monte Alto";-;-;-
"292350 Palmeiras";-;-;-
"292360 Paramirim";-;-;-
"292370 Paratinga";-;-;-
"292380 Paripiranga";-;-;-
"292390 Pau Brasil";-;-;-
"292400 Paulo Afonso";-;-;-
"292405 Pé de Serra";-;-;-
"292410 Pedrão";-;-;-
"292420 Pedro Alexandre";-;-;-
"292430 Piatã";-;-;-
"292440 Pilão Arcado";-;-;-
"292450 Pindaí";-;-;-
"292460 Pindobaçu";-;-;-
"292465 Pintadas";-;-;-
"292467 Piraí do Norte";-;-;-
"292470 Piripá";-;-;-
"292480 Piritiba";-;-;-
"292490 Planaltino";-;-;-
"292500 Planalto";-;-;-
"292510 Poções";-;-;-
"292520 Pojuca";-;-;-
"292525 Ponto Novo";-;-;-
"292530 Porto Seguro";-;-;-
"292540 Potiraguá";-;-;-
"292550 Prado";-;-;-
"292560 Presidente Dutra";-;-;-
"292570 Presidente Jânio Quadros";-;-;-
"292575 Presidente Tancredo Neves";-;-;-
"292580 Queimadas";-;-;-
"292590 Quijingue";-;-;-
"292593 Quixabeira";-;-;-
"292595 Rafael Jambeiro";-;-;-
"292600 Remanso";-;-;-
"292610 Retirolândia";-;-;-
"292620 Riachão das Neves";-;-;-
"292630 Riachão do Jacuípe";-;-;-
"292640 Riacho de Santana";-;-;-
"292650 Ribeira do Amparo";-;-;-
"292660 Ribeira do Pombal";-;-;-
"292665 Ribeirão do Largo";-;-;-
"292670 Rio de Contas";-;-;-
"292680 Rio do Antônio";-;-;-
"292690 Rio do Pires";-;-;-
"292700 Rio Real";-;-;-
"292710 Rodelas";-;-;-
"292720 Ruy Barbosa";-;-;-
"292730 Salinas da Margarida";-;-;-
"292740 Salvador";-;-;-
"292750 Santa Bárbara";-;-;-
"292760 Santa Brígida";-;-;-
"292770 Santa Cruz Cabrália";-;-;-
"292780 Santa Cruz da Vitória";-;-;-
"292790 Santa Inês";-;-;-
"292805 Santa Luzia";-;-;-
"292810 Santa Maria da Vitória";-;-;-
"292840 Santa Rita de Cássia";-;-;-
"292850 Santa Teresinha";-;-;-
"292800 Santaluz";-;-;-
"292820 Santana";-;-;-
"292830 Santanópolis";-;-;-
"292860 Santo Amaro";-;-;-
"292870 Santo Antônio de Jesus";-;-;-
"292880 Santo Estêvão";-;-;-
"292890 São Desidério";-;-;-
"292895 São Domingos";-;-;-
"292910 São Felipe";-;-;-
"292900 São Félix";-;-;-
"292905 São Félix do Coribe";-;-;-
"292920 São Francisco do Conde";-;-;-
"292925 São Gabriel";-;-;-
"292930 São Gonçalo dos Campos";-;-;-
"292935 São José da Vitória";-;-;-
"292937 São José do Jacuípe";-;-;-
"292940 São Miguel das Matas";-;-;-
"292950 São Sebastião do Passé";-;-;-
"292960 Sapeaçu";-;-;-
"292970 Sátiro Dias";-;-;-
"292975 Saubara";-;-;-
"292980 Saúde";-;-;-
"292990 Seabra";-;-;-
"293000 Sebastião Laranjeiras";-;-;-
"293010 Senhor do Bonfim";-;-;-
"293020 Sento Sé";-;-;-
"293015 Serra do Ramalho";-;-;-
"293030 Serra Dourada";-;-;-
"293040 Serra Preta";-;-;-
"293050 Serrinha";-;-;-
"293060 Serrolândia";-;-;-
"293070 Simões Filho";-;-;-
"293075 Sítio do Mato";-;-;-
"293076 Sítio do Quinto";-;-;-
"293077 Sobradinho";-;-;-
"293080 Souto Soares";-;-;-
"293090 Tabocas do Brejo Velho";-;-;-
"293100 Tanhaçu";-;-;-
"293105 Tanque Novo";-;-;-
"293110 Tanquinho";-;-;-
"293120 Taperoá";-;-;-
"293130 Tapiramutá";-;-;-
"293135 Teixeira de Freitas";-;-;-
"293140 Teodoro Sampaio";-;-;-
"293150 Teofilândia";-;-;-
"293160 Teolândia";-;-;-
"293170 Terra Nova";-;-;-
"293180 Tremedal";-;-;-
"293190 Tucano";-;-;-
"293200 Uauá";-;-;-
"293210 Ubaíra";-;-;-
"293220 Ubaitaba";-;-;-
"293230 Ubatã";-;-;-
"293240 Uibaí";-;-;-
"293245 Umburanas";-;-;-
"293250 Una";-;-;-
"293260 Urandi";-;-;-
"293270 Uruçuca";-;-;-
"293280 Utinga";-;-;-
"293290 Valença";-;-;-
"293300 Valente";-;-;-
"293305 Várzea da Roça";-;-;-
"293310 Várzea do Poço";-;-;-
"293315 Várzea Nova";-;-;-
"293317 Varzedo";-;-;-
"293320 Vera Cruz";-;-;-
"293325 Vereda";-;-;-
"293330 Vitória da Conquista";-;-;-
"293340 Wagner";-;-;-
"293345 Wanderley";-;-;-
"293350 Wenceslau Guimarães";-;-;-
"293360 Xique-Xique";-;-;-
"290000 Município ignorado - BA";-;-;-
"310010 Abadia dos Dourados";-;-;-
"310020 Abaeté";-;-;-
"310030 Abre Campo";-;-;-
"310040 Acaiaca";-;-;-
"310050 Açucena";-;-;-
"310060 Água Boa";-;-;-
"310070 Água Comprida";-;-;-
"310080 Aguanil";-;-;-
"310090 Águas Formosas";-;-;-
"310100 Águas Vermelhas";-;-;-
"310110 Aimorés";-;-;-
"310120 Aiuruoca";-;-;-
"310130 Alagoa";-;-;-
"310140 Albertina";-;-;-
"310150 Além Paraíba";-;-;-
"310160 Alfenas";-;-;-
"310163 Alfredo Vasconcelos";-;-;-
"310170 Almenara";-;-;-
"310180 Alpercata";-;-;-
"310190 Alpinópolis";-;-;-
"310200 Alterosa";-;-;-
"310205 Alto Caparaó";-;-;-
"315350 Alto Jequitibá";-;-;-
"310210 Alto Rio Doce";-;-;-
"310220 Alvarenga";-;-;-
"310230 Alvinópolis";-;-;-
"310240 Alvorada de Minas";-;-;-
"310250 Amparo do Serra";-;-;-
"310260 Andradas";-;-;-
"310280 Andrelândia";-;-;-
"310285 Angelândia";-;-;-
"310290 Antônio Carlos";-;-;-
"310300 Antônio Dias";-;-;-
"310310 Antônio Prado de Minas";-;-;-
"310320 Araçaí";-;-;-
"310330 Aracitaba";-;-;-
"310340 Araçuaí";-;-;-
"310350 Araguari";-;-;-
"310360 Arantina";-;-;-
"310370 Araponga";-;-;-
"310375 Araporã";-;-;-
"310380 Arapuá";-;-;-
"310390 Araújos";-;-;-
"310400 Araxá";-;-;-
"310410 Arceburgo";-;-;-
"310420 Arcos";-;-;-
"310430 Areado";-;-;-
"310440 Argirita";-;-;-
"310445 Aricanduva";-;-;-
"310450 Arinos";-;-;-
"310460 Astolfo Dutra";-;-;-
"310470 Ataléia";-;-;-
"310480 Augusto de Lima";-;-;-
"310490 Baependi";-;-;-
"310500 Baldim";-;-;-
"310510 Bambuí";-;-;-
"310520 Bandeira";-;-;-
"310530 Bandeira do Sul";-;-;-
"310540 Barão de Cocais";-;-;-
"310550 Barão de Monte Alto";-;-;-
"310560 Barbacena";-;-;-
"310570 Barra Longa";-;-;-
"310590 Barroso";-;-;-
"310600 Bela Vista de Minas";-;-;-
"310610 Belmiro Braga";-;-;-
"310620 Belo Horizonte";-;-;-
"310630 Belo Oriente";-;-;-
"310640 Belo Vale";-;-;-
"310650 Berilo";-;-;-
"310665 Berizal";-;-;-
"310660 Bertópolis";-;-;-
"310670 Betim";-;-;-
"310680 Bias Fortes";-;-;-
"310690 Bicas";-;-;-
"310700 Biquinhas";-;-;-
"310710 Boa Esperança";-;-;-
"310720 Bocaina de Minas";-;-;-
"310730 Bocaiúva";-;-;-
"310740 Bom Despacho";-;-;-
"310750 Bom Jardim de Minas";-;-;-
"310760 Bom Jesus da Penha";-;-;-
"310770 Bom Jesus do Amparo";-;-;-
"310780 Bom Jesus do Galho";-;-;-
"310790 Bom Repouso";-;-;-
"310800 Bom Sucesso";-;-;-
"310810 Bonfim";-;-;-
"310820 Bonfinópolis de Minas";-;-;-
"310825 Bonito de Minas";-;-;-
"310830 Borda da Mata";-;-;-
"310840 Botelhos";-;-;-
"310850 Botumirim";-;-;-
"310870 Brás Pires";-;-;-
"310855 Brasilândia de Minas";-;-;-
"310860 Brasília de Minas";-;-;-
"310880 Braúnas";-;-;-
"310890 Brazópolis";-;-;-
"310900 Brumadinho";-;-;-
"310910 Bueno Brandão";-;-;-
"310920 Buenópolis";-;-;-
"310925 Bugre";-;-;-
"310930 Buritis";-;-;-
"310940 Buritizeiro";-;-;-
"310945 Cabeceira Grande";-;-;-
"310950 Cabo Verde";-;-;-
"310960 Cachoeira da Prata";-;-;-
"310970 Cachoeira de Minas";-;-;-
"310270 Cachoeira de Pajeú";-;-;-
"310980 Cachoeira Dourada";-;-;-
"310990 Caetanópolis";-;-;-
"311000 Caeté";-;-;-
"311010 Caiana";-;-;-
"311020 Cajuri";-;-;-
"311030 Caldas";-;-;-
"311040 Camacho";-;-;-
"311050 Camanducaia";-;-;-
"311060 Cambuí";-;-;-
"311070 Cambuquira";-;-;-
"311080 Campanário";-;-;-
"311090 Campanha";-;-;-
"311100 Campestre";-;-;-
"311110 Campina Verde";-;-;-
"311115 Campo Azul";-;-;-
"311120 Campo Belo";-;-;-
"311130 Campo do Meio";-;-;-
"311140 Campo Florido";-;-;-
"311150 Campos Altos";-;-;-
"311160 Campos Gerais";-;-;-
"311190 Cana Verde";-;-;-
"311170 Canaã";-;-;-
"311180 Canápolis";-;-;-
"311200 Candeias";-;-;-
"311205 Cantagalo";-;-;-
"311210 Caparaó";-;-;-
"311220 Capela Nova";-;-;-
"311230 Capelinha";-;-;-
"311240 Capetinga";-;-;-
"311250 Capim Branco";-;-;-
"311260 Capinópolis";-;-;-
"311265 Capitão Andrade";-;-;-
"311270 Capitão Enéas";-;-;-
"311280 Capitólio";-;-;-
"311290 Caputira";-;-;-
"311300 Caraí";-;-;-
"311310 Caranaíba";-;-;-
"311320 Carandaí";-;-;-
"311330 Carangola";-;-;-
"311340 Caratinga";-;-;-
"311350 Carbonita";-;-;-
"311360 Careaçu";-;-;-
"311370 Carlos Chagas";-;-;-
"311380 Carmésia";-;-;-
"311390 Carmo da Cachoeira";-;-;-
"311400 Carmo da Mata";-;-;-
"311410 Carmo de Minas";-;-;-
"311420 Carmo do Cajuru";-;-;-
"311430 Carmo do Paranaíba";-;-;-
"311440 Carmo do Rio Claro";-;-;-
"311450 Carmópolis de Minas";-;-;-
"311455 Carneirinho";-;-;-
"311460 Carrancas";-;-;-
"311470 Carvalhópolis";-;-;-
"311480 Carvalhos";-;-;-
"311490 Casa Grande";-;-;-
"311500 Cascalho Rico";-;-;-
"311510 Cássia";-;-;-
"311530 Cataguases";-;-;-
"311535 Catas Altas";-;-;-
"311540 Catas Altas da Noruega";-;-;-
"311545 Catuji";-;-;-
