"Município";"Sim";"Não";"Total"
"351530 Estrela do Norte";2;-;2
"351535 Euclides da Cunha Paulista";2;-;2
"351540 Fartura";4;1;5
"351560 Fernando Prestes";1;-;1
"351550 Fernandópolis";13;47;60
"351565 Fernão";1;-;1
"351570 Ferraz de Vasconcelos";25;3;28
"351590 Floreal";1;-;1
"351600 Flórida Paulista";2;1;3
"351610 Florínia";1;-;1
"351620 Franca";46;76;122
"351630 Francisco Morato";13;-;13
"351640 Franco da Rocha";79;6;85
"351660 Gália";2;1;3
"351670 Garça";12;2;14
"351680 Gastão Vidigal";1;-;1
"351685 Gavião Peixoto";1;-;1
"351690 General Salgado";1;1;2
"351700 Getulina";1;-;1
"351710 Glicério";1;-;1
"351720 Guaiçara";1;-;1
"351730 Guaimbê";1;-;1
"351740 Guaíra";6;3;9
"351750 Guapiaçu";4;-;4
"351760 Guapiara";1;-;1
"351770 Guará";5;1;6
"351780 Guaraçaí";2;-;2
"351790 Guaraci";2;-;2
"351800 Guarani d'Oeste";1;-;1
"351810 Guarantã";1;-;1
"351820 Guararapes";4;2;6
"351830 Guararema";5;1;6
"351840 Guaratinguetá";16;26;42
"351850 Guareí";3;-;3
"351860 Guariba";16;1;17
"351870 Guarujá";33;19;52
"351880 Guarulhos";129;89;218
"351885 Guatapará";2;-;2
"351890 Guzolândia";3;-;3
"351900 Herculândia";3;-;3
"351905 Holambra";1;1;2
"351907 Hortolândia";29;5;34
"351910 Iacanga";1;1;2
"351920 Iacri";2;-;2
"351925 Iaras";3;-;3
"351930 Ibaté";3;-;3
"351940 Ibirá";1;-;1
"351950 Ibirarema";1;-;1
"351960 Ibitinga";3;5;8
"351970 Ibiúna";10;4;14
"351980 Icém";2;-;2
"351990 Iepê";1;-;1
"352000 Igaraçu do Tietê";2;1;3
"352010 Igarapava";6;5;11
"352020 Igaratá";2;-;2
"352030 Iguape";1;-;1
"352042 Ilha Comprida";1;-;1
"352044 Ilha Solteira";6;6;12
"352040 Ilhabela";5;1;6
"352050 Indaiatuba";32;29;61
"352070 Indiaporã";2;-;2
"352080 Inúbia Paulista";1;-;1
"352090 Ipaussu";3;-;3
"352100 Iperó";6;2;8
"352110 Ipeúna";1;-;1
"352115 Ipiguá";1;-;1
"352130 Ipuã";4;2;6
"352140 Iracemápolis";3;-;3
"352150 Irapuã";1;-;1
"352160 Irapuru";8;-;8
"352170 Itaberá";2;-;2
"352180 Itaí";3;-;3
"352190 Itajobi";3;-;3
"352200 Itaju";1;-;1
"352210 Itanhaém";24;5;29
"352220 Itapecerica da Serra";19;5;24
"352230 Itapetininga";31;12;43
"352240 Itapeva";10;12;22
"352250 Itapevi";17;3;20
"352260 Itapira";18;22;40
"352270 Itápolis";14;1;15
"352280 Itaporanga";2;-;2
"352290 Itapuí";1;-;1
"352310 Itaquaquecetuba";10;3;13
"352320 Itararé";6;1;7
"352330 Itariri";1;-;1
"352340 Itatiba";22;13;35
"352350 Itatinga";1;1;2
"352360 Itirapina";6;-;6
"352370 Itirapuã";1;-;1
"352380 Itobi";1;-;1
"352390 Itu";26;14;40
"352400 Itupeva";12;2;14
"352410 Ituverava";9;7;16
"352430 Jaboticabal";17;5;22
"352440 Jacareí";42;43;85
"352450 Jaci";8;1;9
"352460 Jacupiranga";-;2;2
"352470 Jaguariúna";7;11;18
"352480 Jales";10;18;28
"352500 Jandira";8;5;13
"352510 Jardinópolis";7;1;8
"352520 Jarinu";2;1;3
"352530 Jaú";31;24;55
"352550 Joanópolis";1;1;2
"352560 João Ramalho";2;-;2
"352570 José Bonifácio";6;1;7
"352580 Júlio Mesquita";1;-;1
"352590 Jundiaí";76;170;246
"352600 Junqueirópolis";4;2;6
"352610 Juquiá";1;1;2
"352620 Juquitiba";4;-;4
"352630 Lagoinha";1;-;1
"352640 Laranjal Paulista";4;4;8
"352650 Lavínia";3;-;3
"352660 Lavrinhas";1;-;1
"352670 Leme";14;9;23
"352680 Lençóis Paulista";7;2;9
"352690 Limeira";53;29;82
"352700 Lindóia";1;-;1
"352710 Lins";19;24;43
"352720 Lorena";10;13;23
"352730 Louveira";10;1;11
"352740 Lucélia";7;1;8
"352760 Luís Antônio";3;-;3
"352790 Lutécia";1;-;1
"352800 Macatuba";5;1;6
"352810 Macaubal";1;-;1
"352830 Magda";1;-;1
"352840 Mairinque";6;1;7
"352850 Mairiporã";10;13;23
"352870 Marabá Paulista";4;-;4
"352880 Maracaí";4;-;4
"352885 Marapoama";1;-;1
"352890 Mariápolis";1;-;1
"352900 Marília";81;44;125
"352910 Marinópolis";1;-;1
"352920 Martinópolis";15;1;16
"352930 Matão";24;7;31
"352940 Mauá";60;15;75
"352950 Mendonça";2;-;2
"352960 Meridiano";1;-;1
"352965 Mesópolis";1;-;1
"352970 Miguelópolis";6;-;6
"352980 Mineiros do Tietê";2;-;2
"353000 Mira Estrela";1;-;1
"352990 Miracatu";2;-;2
"353010 Mirandópolis";6;3;9
"353020 Mirante do Paranapanema";2;-;2
"353030 Mirassol";19;12;31
"353050 Mococa";18;23;41
"353060 Mogi das Cruzes";38;30;68
"353070 Mogi Guaçu";18;17;35
"353080 Mogi Mirim";27;8;35
"353100 Monções";2;-;2
"353110 Mongaguá";6;-;6
"353120 Monte Alegre do Sul";1;3;4
"353130 Monte Alto";12;23;35
"353140 Monte Aprazível";2;1;3
"353150 Monte Azul Paulista";2;3;5
"353160 Monte Castelo";1;-;1
"353180 Monte Mor";5;-;5
"353170 Monteiro Lobato";1;-;1
"353190 Morro Agudo";4;6;10
"353200 Morungaba";3;-;3
"353210 Murutinga do Sul";1;-;1
"353215 Nantes";1;-;1
"353220 Narandiba";1;-;1
"353230 Natividade da Serra";1;-;1
"353240 Nazaré Paulista";2;3;5
"353250 Neves Paulista";1;-;1
"353260 Nhandeara";5;1;6
"353270 Nipoã";1;-;1
"353280 Nova Aliança";1;-;1
"353282 Nova Campina";1;-;1
"353284 Nova Canaã Paulista";1;-;1
"353286 Nova Castilho";1;-;1
"353290 Nova Europa";2;-;2
"353300 Nova Granada";4;2;6
"353310 Nova Guataporanga";1;-;1
"353320 Nova Independência";1;-;1
"353330 Nova Luzitânia";1;-;1
"353340 Nova Odessa";2;4;6
"353325 Novais";1;-;1
"353350 Novo Horizonte";4;8;12
"353370 Ocauçu";1;-;1
"353380 Óleo";1;-;1
"353390 Olímpia";8;7;15
"353400 Onda Verde";2;-;2
"353410 Oriente";1;2;3
"353420 Orindiúva";4;-;4
"353430 Orlândia";7;12;19
"353440 Osasco";50;92;142
"353450 Oscar Bressane";1;-;1
"353460 Osvaldo Cruz";7;2;9
"353470 Ourinhos";26;30;56
"353480 Ouro Verde";1;-;1
"353475 Ouroeste";3;1;4
"353490 Pacaembu";2;1;3
"353500 Palestina";2;1;3
"353510 Palmares Paulista";2;-;2
"353520 Palmeira d'Oeste";1;-;1
"353530 Palmital";7;2;9
"353540 Panorama";1;1;2
"353550 Paraguaçu Paulista";16;6;22
"353560 Paraibuna";2;-;2
"353580 Paranapanema";2;-;2
"353590 Paranapuã";1;-;1
"353600 Parapuã";2;-;2
"353610 Pardinho";1;-;1
"353620 Pariquera-Açu";3;-;3
"353625 Parisi";1;-;1
"353630 Patrocínio Paulista";3;-;3
"353640 Paulicéia";1;-;1
"353650 Paulínia";14;14;28
"353670 Pederneiras";7;1;8
"353680 Pedra Bela";2;2;4
"353690 Pedranópolis";2;-;2
"353700 Pedregulho";2;-;2
"353710 Pedreira";9;10;19
"353715 Pedrinhas Paulista";2;-;2
"353720 Pedro de Toledo";1;-;1
"353730 Penápolis";12;6;18
"353740 Pereira Barreto";3;5;8
"353750 Pereiras";1;-;1
"353760 Peruíbe";5;10;15
"353770 Piacatu";1;-;1
"353780 Piedade";6;9;15
"353790 Pilar do Sul";3;-;3
"353800 Pindamonhangaba";11;21;32
"353810 Pindorama";1;-;1
"353820 Pinhalzinho";2;-;2
"353850 Piquete";1;-;1
"353860 Piracaia";8;-;8
"353870 Piracicaba";32;79;111
"353880 Piraju";3;3;6
"353890 Pirajuí";8;2;10
"353900 Pirangi";1;-;1
"353910 Pirapora do Bom Jesus";2;-;2
"353920 Pirapozinho";7;1;8
"353930 Pirassununga";16;11;27
"353940 Piratininga";2;-;2
"353950 Pitangueiras";10;5;15
"353960 Planalto";1;-;1
"353970 Platina";1;-;1
"353980 Poá";8;2;10
"353990 Poloni";1;1;2
"354000 Pompéia";8;22;30
"354010 Pongaí";1;-;1
"354020 Pontal";8;3;11
"354025 Pontalinda";1;-;1
"354030 Pontes Gestal";1;-;1
"354050 Porangaba";1;-;1
"354060 Porto Feliz";4;2;6
"354070 Porto Ferreira";3;9;12
"354075 Potim";4;-;4
"354080 Potirendaba";1;-;1
"354085 Pracinha";2;-;2
"354090 Pradópolis";1;1;2
"354100 Praia Grande";25;22;47
"354105 Pratânia";1;-;1
"354120 Presidente Bernardes";9;1;10
"354130 Presidente Epitácio";4;3;7
"354140 Presidente Prudente";56;61;117
"354150 Presidente Venceslau";14;1;15
"354160 Promissão";8;1;9
"354165 Quadra";1;-;1
"354170 Quatá";4;2;6
"354180 Queiroz";1;-;1
"354190 Queluz";3;-;3
"354200 Quintana";1;1;2
"354210 Rafard";1;-;1
"354220 Rancharia";8;1;9
"354230 Redenção da Serra";1;-;1
"354240 Regente Feijó";3;1;4
"354250 Reginópolis";3;-;3
"354260 Registro";10;2;12
"354270 Restinga";1;-;1
"354290 Ribeirão Bonito";1;1;2
"354300 Ribeirão Branco";1;-;1
"354310 Ribeirão Corrente";1;-;1
"354320 Ribeirão do Sul";1;-;1
"354323 Ribeirão dos Índios";1;-;1
"354325 Ribeirão Grande";1;-;1
"354330 Ribeirão Pires";34;16;50
"354340 Ribeirão Preto";141;195;336
"354360 Rifaina";1;-;1
"354370 Rincão";1;-;1
"354380 Rinópolis";1;-;1
"354390 Rio Claro";39;36;75
"354400 Rio das Pedras";3;2;5
"354410 Rio Grande da Serra";2;2;4
"354420 Riolândia";3;-;3
"354425 Rosana";2;3;5
"354430 Roseira";2;1;3
"354440 Rubiácea";1;-;1
"354450 Rubinéia";1;-;1
"354480 Sales";1;1;2
"354490 Sales Oliveira";1;-;1
"354500 Salesópolis";2;-;2
"354510 Salmourão";1;-;1
"354515 Saltinho";1;-;1
"354520 Salto";13;12;25
"354530 Salto de Pirapora";7;2;9
"354540 Salto Grande";2;-;2
"354550 Sandovalina";1;-;1
"354560 Santa Adélia";3;-;3
"354570 Santa Albertina";1;-;1
"354580 Santa Bárbara d'Oeste";14;6;20
"354625 Santa Cruz da Esperança";1;-;1
"354630 Santa Cruz das Palmeiras";3;7;10
"354640 Santa Cruz do Rio Pardo";7;4;11
"354650 Santa Ernestina";1;-;1
"354660 Santa Fé do Sul";10;7;17
"354670 Santa Gertrudes";5;2;7
"354680 Santa Isabel";10;1;11
"354690 Santa Lúcia";1;-;1
"354710 Santa Mercedes";1;-;1
"354750 Santa Rita do Passa Quatro";12;2;14
"354760 Santa Rosa de Viterbo";2;3;5
"354730 Santana de Parnaíba";34;-;34
"354770 Santo Anastácio";2;4;6
"354780 Santo André";94;121;215
"354790 Santo Antônio da Alegria";3;-;3
"354800 Santo Antônio de Posse";3;2;5
"354805 Santo Antônio do Aracanguá";1;-;1
"354810 Santo Antônio do Jardim";1;-;1
"354820 Santo Antônio do Pinhal";1;-;1
"354850 Santos";98;145;243
"354860 São Bento do Sapucaí";3;-;3
"354870 São Bernardo do Campo";121;143;264
"354880 São Caetano do Sul";47;53;100
"354890 São Carlos";31;17;48
"354900 São Francisco";1;-;1
"354910 São João da Boa Vista";21;44;65
"354920 São João das Duas Pontes";1;-;1
"354930 São João do Pau d'Alho";1;-;1
"354940 São Joaquim da Barra";5;10;15
"354950 São José da Bela Vista";1;-;1
"354960 São José do Barreiro";2;-;2
"354970 São José do Rio Pardo";11;13;24
"354980 São José do Rio Preto";124;86;210
"354990 São José dos Campos";65;283;348
"354995 São Lourenço da Serra";2;-;2
"355000 São Luís do Paraitinga";1;-;1
"355010 São Manuel";3;12;15
"355020 São Miguel Arcanjo";6;-;6
"355030 São Paulo";1921;1432;3353
"355040 São Pedro";5;5;10
"355060 São Roque";8;20;28
"355070 São Sebastião";26;2;28
"355080 São Sebastião da Grama";6;1;7
"355090 São Simão";5;1;6
"355100 São Vicente";32;17;49
"355110 Sarapuí";1;-;1
"355120 Sarutaiá";1;-;1
"355130 Sebastianópolis do Sul";1;-;1
"355140 Serra Azul";4;2;6
"355160 Serra Negra";7;4;11
"355150 Serrana";4;-;4
"355170 Sertãozinho";10;34;44
"355180 Sete Barras";1;-;1
"355190 Severínia";2;-;2
"355200 Silveiras";-;1;1
"355210 Socorro";5;2;7
"355220 Sorocaba";62;99;161
"355230 Sud Mennucci";5;-;5
"355240 Sumaré";33;9;42
"355255 Suzanápolis";1;-;1
"355250 Suzano";24;17;41
"355260 Tabapuã";2;-;2
"355270 Tabatinga";2;1;3
"355280 Taboão da Serra";28;7;35
"355290 Taciba";1;-;1
"355300 Taguaí";1;-;1
"355310 Taiaçu";2;1;3
"355320 Taiúva";3;-;3
"355330 Tambaú";3;8;11
"355340 Tanabi";2;-;2
"355350 Tapiraí";1;-;1
"355360 Tapiratiba";1;-;1
"355365 Taquaral";1;-;1
"355370 Taquaritinga";10;4;14
"355380 Taquarituba";4;-;4
"355390 Tarabai";2;-;2
"355395 Tarumã";3;-;3
"355400 Tatuí";14;18;32
"355410 Taubaté";71;60;131
"355420 Tejupá";1;-;1
"355430 Teodoro Sampaio";2;2;4
"355440 Terra Roxa";1;-;1
"355450 Tietê";1;6;7
"355460 Timburi";1;-;1
"355470 Torrinha";1;-;1
"355475 Trabiju";1;-;1
"355480 Tremembé";15;1;16
"355490 Três Fronteiras";1;-;1
"355500 Tupã";21;10;31
"355510 Tupi Paulista";4;2;6
"355520 Turiúba";1;-;1
"355535 Ubarana";1;-;1
"355540 Ubatuba";9;5;14
"355550 Ubirajara";-;1;1
"355560 Uchoa";1;-;1
"355580 Urânia";2;-;2
"355600 Urupês";3;2;5
"355610 Valentim Gentil";1;-;1
"355620 Valinhos";19;11;30
"355630 Valparaíso";5;3;8
"355635 Vargem";-;10;10
"355640 Vargem Grande do Sul";4;7;11
"355645 Vargem Grande Paulista";6;10;16
"355650 Várzea Paulista";11;-;11
"355660 Vera Cruz";-;1;1
"355670 Vinhedo";18;19;37
"355680 Viradouro";4;2;6
"355690 Vista Alegre do Alto";1;-;1
"355695 Vitória Brasil";2;-;2
"355700 Votorantim";5;7;12
"355710 Votuporanga";14;27;41
"Total";7168;5675;12843
&
"Município";"Sim";"Não";"Total"
"350010 Adamantina";9;6;15
"350020 Adolfo";2;-;2
"350030 Aguaí";5;7;12
"350040 Águas da Prata";1;-;1
"350050 Águas de Lindóia";4;1;5
"350055 Águas de Santa Bárbara";1;-;1
"350060 Águas de São Pedro";2;-;2
"350070 Agudos";11;-;11
"350075 Alambari";1;-;1
"350080 Alfredo Marcondes";1;-;1
"350090 Altair";1;-;1
"350100 Altinópolis";10;-;10
"350115 Alumínio";2;1;3
"350120 Álvares Florence";2;-;2
"350130 Álvares Machado";8;-;8
"350140 Álvaro de Carvalho";2;-;2
"350150 Alvinlândia";1;-;1
"350160 Americana";30;75;105
"350170 Américo Brasiliense";9;2;11
"350180 Américo de Campos";1;1;2
"350190 Amparo";21;10;31
"350210 Andradina";17;13;30
"350220 Angatuba";2;-;2
"350230 Anhembi";1;-;1
"350240 Anhumas";1;-;1
"350250 Aparecida";5;2;7
"350270 Apiaí";5;-;5
"350275 Araçariguama";2;-;2
"350280 Araçatuba";41;45;86
"350290 Araçoiaba da Serra";3;2;5
"350300 Aramina";1;-;1
"350310 Arandu";1;-;1
"350315 Arapeí";1;-;1
"350320 Araraquara";55;50;105
"350330 Araras";18;23;41
"350335 Arco-Íris";1;-;1
"350340 Arealva";2;-;2
"350350 Areias";1;-;1
"350360 Areiópolis";1;-;1
"350370 Ariranha";6;-;6
"350380 Artur Nogueira";7;4;11
"350390 Arujá";2;9;11
"350395 Aspásia";1;-;1
"350400 Assis";30;22;52
"350410 Atibaia";13;36;49
"350420 Auriflama";1;1;2
"350430 Avaí";1;-;1
"350440 Avanhandava";1;-;1
"350450 Avaré";18;13;31
"350460 Bady Bassitt";2;-;2
"350480 Bálsamo";3;-;3
"350490 Bananal";1;-;1
"350500 Barão de Antonina";1;-;1
"350520 Bariri";2;1;3
"350530 Barra Bonita";5;5;10
"350540 Barra do Turvo";1;-;1
"350550 Barretos";31;10;41
"350560 Barrinha";2;-;2
"350570 Barueri";49;7;56
"350580 Bastos";2;1;3
"350590 Batatais";11;15;26
"350600 Bauru";97;55;152
"350610 Bebedouro";21;21;42
"350620 Bento de Abreu";1;-;1
"350630 Bernardino de Campos";2;-;2
"350635 Bertioga";6;2;8
"350640 Bilac";1;-;1
"350650 Birigui";12;7;19
"350660 Biritiba-Mirim";3;2;5
"350670 Boa Esperança do Sul";4;-;4
"350680 Bocaina";2;-;2
"350690 Bofete";2;-;2
"350700 Boituva";4;3;7
"350710 Bom Jesus dos Perdões";3;-;3
"350715 Bom Sucesso de Itararé";1;-;1
"350720 Borá";1;-;1
"350730 Boracéia";1;-;1
"350740 Borborema";3;1;4
"350745 Borebi";2;-;2
"350750 Botucatu";47;47;94
"350760 Bragança Paulista";27;17;44
"350775 Brejo Alegre";1;-;1
"350780 Brodowski";4;1;5
"350790 Brotas";2;1;3
"350800 Buri";2;-;2
"350810 Buritama";4;-;4
"350820 Buritizal";1;-;1
"350830 Cabrália Paulista";1;-;1
"350840 Cabreúva";4;-;4
"350850 Caçapava";12;24;36
"350860 Cachoeira Paulista";14;4;18
"350870 Caconde";4;-;4
"350880 Cafelândia";2;4;6
"350890 Caiabu";1;-;1
"350900 Caieiras";11;12;23
"350910 Caiuá";3;-;3
"350920 Cajamar";14;3;17
"350925 Cajati";5;1;6
"350930 Cajobi";2;1;3
"350940 Cajuru";5;1;6
"350945 Campina do Monte Alegre";2;-;2
"350950 Campinas";251;221;472
"350960 Campo Limpo Paulista";12;1;13
"350970 Campos do Jordão";15;1;16
"350980 Campos Novos Paulista";1;-;1
"350990 Cananéia";1;-;1
"350995 Canas";1;-;1
"351000 Cândido Mota";9;5;14
"351010 Cândido Rodrigues";1;-;1
"351015 Canitar";1;-;1
"351020 Capão Bonito";5;2;7
"351030 Capela do Alto";2;1;3
"351040 Capivari";11;12;23
"351050 Caraguatatuba";13;7;20
"351060 Carapicuíba";41;6;47
"351070 Cardoso";2;-;2
"351080 Casa Branca";26;4;30
"351100 Castilho";1;2;3
"351110 Catanduva";29;22;51
"351120 Catiguá";1;-;1
"351130 Cedral";2;-;2
"351140 Cerqueira César";4;10;14
"351150 Cerquilho";2;16;18
"351160 Cesário Lange";3;-;3
"351170 Charqueada";-;2;2
"355720 Chavantes";1;-;1
"351190 Clementina";1;-;1
"351200 Colina";2;2;4
"351210 Colômbia";2;-;2
"351220 Conchal";9;2;11
"351230 Conchas";3;-;3
"351240 Cordeirópolis";7;-;7
"351260 Coronel Macedo";1;-;1
"351270 Corumbataí";1;-;1
"351280 Cosmópolis";11;9;20
"351290 Cosmorama";2;-;2
"351300 Cotia";25;9;34
"351310 Cravinhos";5;1;6
"351320 Cristais Paulista";2;-;2
"351330 Cruzália";2;-;2
"351340 Cruzeiro";13;32;45
"351350 Cubatão";22;24;46
"351360 Cunha";5;1;6
"351370 Descalvado";6;13;19
"351380 Diadema";51;13;64
"351385 Dirce Reis";1;-;1
"351390 Divinolândia";4;1;5
"351410 Dois Córregos";2;1;3
"351420 Dolcinópolis";1;-;1
"351430 Dourado";1;-;1
"351440 Dracena";15;16;31
"351450 Duartina";6;1;7
"351460 Dumont";1;-;1
"351470 Echaporã";1;-;1
"351490 Elias Fausto";4;-;4
"351492 Elisiário";1;-;1
"351495 Embaúba";1;-;1
"351500 Embu das Artes";23;-;23
"351510 Embu-Guaçu";3;1;4
"351512 Emilianópolis";1;-;1
"351515 Engenheiro Coelho";1;-;1
"351518 Espírito Santo do Pinhal";13;7;20
"351519 Espírito Santo do Turvo";1;-;1
"355730 Estiva Gerbi";2;-;2
"351520 Estrela d'Oeste";4;1;5
"351530 Estrela do Norte";2;-;2
"351535 Euclides da Cunha Paulista";2;-;2
"351540 Fartura";3;1;4
"351560 Fernando Prestes";1;-;1
"351550 Fernandópolis";15;43;58
"351565 Fernão";1;-;1
"351570 Ferraz de Vasconcelos";23;3;26
"351590 Floreal";1;-;1
"351600 Flórida Paulista";2;-;2
"351610 Florínia";1;-;1
"351620 Franca";45;76;121
"351630 Francisco Morato";12;-;12
"351640 Franco da Rocha";76;6;82
"351660 Gália";2;1;3
"351670 Garça";12;2;14
"351680 Gastão Vidigal";1;-;1
"351685 Gavião Peixoto";1;-;1
"351690 General Salgado";1;1;2
"351700 Getulina";1;-;1
"351710 Glicério";1;-;1
"351720 Guaiçara";1;-;1
"351730 Guaimbê";1;-;1
"351740 Guaíra";6;3;9
"351750 Guapiaçu";3;-;3
"351760 Guapiara";1;-;1
"351770 Guará";5;1;6
"351780 Guaraçaí";1;-;1
"351790 Guaraci";2;-;2
"351800 Guarani d'Oeste";1;-;1
"351810 Guarantã";1;-;1
"351820 Guararapes";4;1;5
"351830 Guararema";5;1;6
"351840 Guaratinguetá";16;26;42
"351850 Guareí";4;-;4
"351860 Guariba";14;1;15
"351870 Guarujá";27;17;44
"351880 Guarulhos";127;83;210
"351885 Guatapará";2;-;2
"351890 Guzolândia";3;-;3
"351900 Herculândia";3;-;3
"351905 Holambra";1;1;2
"351907 Hortolândia";27;2;29
"351910 Iacanga";1;1;2
"351920 Iacri";2;-;2
"351925 Iaras";5;-;5
"351930 Ibaté";3;-;3
"351940 Ibirá";1;-;1
"351950 Ibirarema";1;-;1
"351960 Ibitinga";3;5;8
"351970 Ibiúna";6;3;9
"351980 Icém";1;-;1
"351990 Iepê";1;-;1
"352000 Igaraçu do Tietê";2;1;3
"352010 Igarapava";6;5;11
"352020 Igaratá";2;-;2
"352030 Iguape";1;-;1
"352042 Ilha Comprida";1;-;1
"352044 Ilha Solteira";5;8;13
"352040 Ilhabela";5;1;6
"352050 Indaiatuba";32;27;59
"352060 Indiana";1;-;1
"352070 Indiaporã";2;-;2
"352080 Inúbia Paulista";1;-;1
"352090 Ipaussu";3;-;3
"352100 Iperó";6;2;8
"352110 Ipeúna";1;-;1
"352115 Ipiguá";1;-;1
"352130 Ipuã";4;2;6
"352140 Iracemápolis";3;-;3
"352150 Irapuã";1;-;1
"352160 Irapuru";8;-;8
"352170 Itaberá";3;-;3
"352180 Itaí";3;-;3
"352190 Itajobi";4;-;4
"352200 Itaju";1;-;1
"352210 Itanhaém";19;2;21
"352220 Itapecerica da Serra";19;5;24
"352230 Itapetininga";23;13;36
"352240 Itapeva";9;8;17
"352250 Itapevi";15;3;18
"352260 Itapira";19;20;39
"352265 Itapirapuã Paulista";1;-;1
"352270 Itápolis";14;1;15
"352280 Itaporanga";1;1;2
"352290 Itapuí";1;-;1
"352310 Itaquaquecetuba";12;3;15
"352320 Itararé";5;1;6
"352340 Itatiba";20;13;33
"352350 Itatinga";1;1;2
"352360 Itirapina";6;-;6
"352370 Itirapuã";3;-;3
"352380 Itobi";1;-;1
"352390 Itu";25;12;37
"352400 Itupeva";10;2;12
"352410 Ituverava";7;7;14
"352430 Jaboticabal";13;5;18
"352440 Jacareí";40;42;82
"352450 Jaci";7;1;8
"352460 Jacupiranga";-;2;2
"352470 Jaguariúna";7;12;19
"352480 Jales";10;12;22
"352500 Jandira";10;5;15
"352510 Jardinópolis";7;1;8
"352520 Jarinu";2;1;3
"352530 Jaú";31;20;51
"352550 Joanópolis";1;1;2
"352560 João Ramalho";2;-;2
"352570 José Bonifácio";4;2;6
"352580 Júlio Mesquita";1;-;1
"352590 Jundiaí";75;169;244
"352600 Junqueirópolis";4;-;4
"352610 Juquiá";2;1;3
"352620 Juquitiba";4;-;4
"352630 Lagoinha";1;-;1
"352640 Laranjal Paulista";5;4;9
"352650 Lavínia";4;-;4
"352660 Lavrinhas";1;-;1
"352670 Leme";11;9;20
"352680 Lençóis Paulista";5;3;8
"352690 Limeira";52;29;81
"352700 Lindóia";1;-;1
"352710 Lins";18;22;40
"352720 Lorena";11;11;22
"352730 Louveira";10;1;11
"352740 Lucélia";6;-;6
"352760 Luís Antônio";3;-;3
"352790 Lutécia";1;-;1
"352800 Macatuba";5;1;6
"352810 Macaubal";1;-;1
"352820 Macedônia";1;-;1
"352830 Magda";1;-;1
"352840 Mairinque";5;1;6
"352850 Mairiporã";12;9;21
"352870 Marabá Paulista";4;-;4
"352880 Maracaí";5;-;5
"352885 Marapoama";1;-;1
"352890 Mariápolis";1;-;1
"352900 Marília";81;40;121
"352920 Martinópolis";15;1;16
"352930 Matão";22;7;29
"352940 Mauá";48;15;63
"352950 Mendonça";2;-;2
"352960 Meridiano";1;-;1
"352965 Mesópolis";1;-;1
"352970 Miguelópolis";7;-;7
"352980 Mineiros do Tietê";2;-;2
"353000 Mira Estrela";1;-;1
"352990 Miracatu";2;-;2
"353010 Mirandópolis";6;3;9
"353020 Mirante do Paranapanema";2;-;2
"353030 Mirassol";19;11;30
"353040 Mirassolândia";1;-;1
"353050 Mococa";16;20;36
"353060 Mogi das Cruzes";38;10;48
"353070 Mogi Guaçu";19;17;36
"353080 Mogi Mirim";29;7;36
"353100 Monções";2;-;2
"353110 Mongaguá";6;-;6
"353120 Monte Alegre do Sul";1;3;4
"353130 Monte Alto";12;23;35
"353140 Monte Aprazível";2;-;2
"353150 Monte Azul Paulista";2;3;5
"353160 Monte Castelo";1;-;1
"353180 Monte Mor";5;-;5
"353170 Monteiro Lobato";1;-;1
"353190 Morro Agudo";3;6;9
"353200 Morungaba";1;-;1
"353215 Nantes";1;-;1
"353220 Narandiba";1;-;1
"353230 Natividade da Serra";1;-;1
"353240 Nazaré Paulista";2;3;5
"353250 Neves Paulista";1;-;1
"353260 Nhandeara";5;1;6
"353270 Nipoã";1;-;1
"353280 Nova Aliança";1;-;1
"353282 Nova Campina";1;-;1
"353286 Nova Castilho";1;-;1
"353290 Nova Europa";1;-;1
"353300 Nova Granada";4;2;6
"353310 Nova Guataporanga";1;-;1
"353320 Nova Independência";1;-;1
"353330 Nova Luzitânia";1;-;1
"353340 Nova Odessa";2;4;6
"353325 Novais";1;-;1
"353350 Novo Horizonte";3;8;11
"353370 Ocauçu";1;-;1
"353380 Óleo";1;-;1
"353390 Olímpia";8;7;15
"353400 Onda Verde";2;-;2
"353410 Oriente";2;1;3
"353420 Orindiúva";4;-;4
"353430 Orlândia";7;12;19
"353440 Osasco";54;91;145
"353450 Oscar Bressane";1;-;1
"353460 Osvaldo Cruz";7;2;9
"353470 Ourinhos";21;27;48
"353480 Ouro Verde";2;-;2
"353475 Ouroeste";2;1;3
"353490 Pacaembu";2;1;3
"353500 Palestina";2;1;3
"353510 Palmares Paulista";2;-;2
"353520 Palmeira d'Oeste";1;-;1
"353530 Palmital";7;2;9
"353540 Panorama";2;1;3
"353550 Paraguaçu Paulista";16;5;21
"353560 Paraibuna";3;-;3
"353580 Paranapanema";1;-;1
"353590 Paranapuã";1;-;1
"353600 Parapuã";2;-;2
"353610 Pardinho";1;-;1
"353620 Pariquera-Açu";3;-;3
"353625 Parisi";1;-;1
"353630 Patrocínio Paulista";2;-;2
"353640 Paulicéia";1;-;1
"353650 Paulínia";13;14;27
"353670 Pederneiras";7;1;8
"353680 Pedra Bela";2;1;3
"353690 Pedranópolis";1;-;1
"353700 Pedregulho";2;-;2
"353710 Pedreira";6;9;15
"353715 Pedrinhas Paulista";2;-;2
"353720 Pedro de Toledo";1;-;1
"353730 Penápolis";12;4;16
"353740 Pereira Barreto";2;5;7
"353760 Peruíbe";4;10;14
