"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"355300 Taguaí";-;-;2;7;9
"355310 Taiaçu";-;-;1;6;7
"355320 Taiúva";-;-;3;7;10
"355330 Tambaú";-;-;9;29;38
"355340 Tanabi";-;-;10;18;28
"355350 Tapiraí";-;-;2;-;2
"355360 Tapiratiba";-;-;5;5;10
"355365 Taquaral";-;-;1;-;1
"355370 Taquaritinga";-;-;19;97;116
"355380 Taquarituba";-;-;6;4;10
"355385 Taquarivaí";-;-;3;-;3
"355390 Tarabai";-;-;2;-;2
"355395 Tarumã";-;-;10;1;11
"355400 Tatuí";-;-;28;248;276
"355410 Taubaté";-;7;71;451;529
"355420 Tejupá";-;-;3;-;3
"355430 Teodoro Sampaio";-;-;11;11;22
"355440 Terra Roxa";-;-;6;5;11
"355450 Tietê";-;-;12;82;94
"355460 Timburi";-;-;1;-;1
"355465 Torre de Pedra";-;-;1;-;1
"355470 Torrinha";-;-;2;2;4
"355475 Trabiju";-;-;1;-;1
"355480 Tremembé";-;-;8;13;21
"355490 Três Fronteiras";-;-;2;-;2
"355495 Tuiuti";-;-;2;-;2
"355500 Tupã";-;-;16;93;109
"355510 Tupi Paulista";-;-;7;17;24
"355520 Turiúba";-;-;1;-;1
"355530 Turmalina";-;-;2;-;2
"355535 Ubarana";-;-;1;-;1
"355540 Ubatuba";-;-;25;34;59
"355550 Ubirajara";-;-;1;1;2
"355560 Uchoa";-;-;3;4;7
"355570 União Paulista";-;-;2;-;2
"355580 Urânia";-;-;2;2;4
"355590 Uru";-;-;1;-;1
"355600 Urupês";-;-;4;4;8
"355610 Valentim Gentil";-;-;2;2;4
"355620 Valinhos";-;-;23;221;244
"355630 Valparaíso";-;1;4;12;17
"355635 Vargem";-;-;1;-;1
"355640 Vargem Grande do Sul";-;-;9;56;65
"355645 Vargem Grande Paulista";-;-;9;4;13
"355650 Várzea Paulista";-;-;19;12;31
"355660 Vera Cruz";-;-;3;9;12
"355670 Vinhedo";-;-;9;202;211
"355680 Viradouro";-;-;9;21;30
"355690 Vista Alegre do Alto";-;-;3;3;6
"355695 Vitória Brasil";-;-;1;-;1
"355700 Votorantim";-;-;28;39;67
"355710 Votuporanga";-;3;18;180;201
"355715 Zacarias";-;-;1;-;1
"Total";7;427;6935;39865;47234
&
"Município";"Federal";"Estadual";"Municipal";"Privada";"Total"
"350010 Adamantina";-;1;6;77;84
"350020 Adolfo";-;-;1;2;3
"350030 Aguaí";-;-;11;24;35
"350040 Águas da Prata";-;-;3;3;6
"350050 Águas de Lindóia";-;-;8;16;24
"350055 Águas de Santa Bárbara";-;-;2;4;6
"350060 Águas de São Pedro";-;-;3;-;3
"350070 Agudos";-;-;7;16;23
"350075 Alambari";-;-;7;1;8
"350080 Alfredo Marcondes";-;-;1;-;1
"350090 Altair";-;-;3;2;5
"350100 Altinópolis";-;-;11;16;27
"350110 Alto Alegre";-;-;4;1;5
"350115 Alumínio";-;-;5;-;5
"350120 Álvares Florence";-;-;2;-;2
"350130 Álvares Machado";-;-;7;7;14
"350140 Álvaro de Carvalho";-;1;1;-;2
"350150 Alvinlândia";-;-;1;-;1
"350160 Americana";-;1;31;356;388
"350170 Américo Brasiliense";-;1;2;7;10
"350180 Américo de Campos";-;-;1;1;2
"350190 Amparo";-;-;23;148;171
"350200 Analândia";-;-;1;2;3
"350210 Andradina";-;2;8;64;74
"350220 Angatuba";-;-;12;6;18
"350230 Anhembi";-;-;2;1;3
"350240 Anhumas";-;-;2;-;2
"350250 Aparecida";-;-;12;11;23
"350260 Aparecida d'Oeste";-;-;1;2;3
"350270 Apiaí";-;-;18;12;30
"350275 Araçariguama";-;-;1;4;5
"350280 Araçatuba";-;10;55;317;382
"350290 Araçoiaba da Serra";-;-;7;2;9
"350300 Aramina";-;-;3;1;4
"350310 Arandu";-;-;4;-;4
"350315 Arapeí";-;-;1;1;2
"350320 Araraquara";-;10;60;401;471
"350330 Araras";-;-;29;200;229
"350335 Arco-Íris";-;-;1;-;1
"350340 Arealva";-;-;4;2;6
"350350 Areias";-;-;1;-;1
"350360 Areiópolis";-;-;5;9;14
"350370 Ariranha";-;-;3;2;5
"350380 Artur Nogueira";-;-;13;25;38
"350390 Arujá";-;-;8;15;23
"350395 Aspásia";-;-;1;-;1
"350400 Assis";-;4;28;154;186
"350410 Atibaia";-;-;24;240;264
"350420 Auriflama";-;-;3;7;10
"350430 Avaí";-;-;1;-;1
"350440 Avanhandava";-;1;8;4;13
"350450 Avaré";-;7;16;87;110
"350460 Bady Bassitt";-;-;3;3;6
"350470 Balbinos";-;2;1;-;3
"350480 Bálsamo";-;-;2;-;2
"350490 Bananal";-;-;6;2;8
"350500 Barão de Antonina";-;-;3;-;3
"350510 Barbosa";-;-;1;-;1
"350520 Bariri";-;-;7;30;37
"350530 Barra Bonita";-;-;5;40;45
"350535 Barra do Chapéu";-;-;2;-;2
"350540 Barra do Turvo";-;-;4;-;4
"350550 Barretos";-;3;25;124;152
"350560 Barrinha";-;-;6;6;12
"350570 Barueri";-;-;27;103;130
"350580 Bastos";-;-;9;11;20
"350590 Batatais";-;1;15;149;165
"350600 Bauru";-;16;65;349;430
"350610 Bebedouro";-;-;24;109;133
"350620 Bento de Abreu";-;-;3;-;3
"350630 Bernardino de Campos";-;-;3;3;6
"350635 Bertioga";-;-;10;9;19
"350640 Bilac";-;-;1;2;3
"350650 Birigui";-;1;16;54;71
"350660 Biritiba-Mirim";-;-;9;5;14
"350670 Boa Esperança do Sul";-;-;6;5;11
"350680 Bocaina";-;-;3;3;6
"350690 Bofete";-;-;1;-;1
"350700 Boituva";-;-;9;40;49
"350710 Bom Jesus dos Perdões";-;-;3;11;14
"350715 Bom Sucesso de Itararé";-;-;2;-;2
"350720 Borá";-;-;1;-;1
"350730 Boracéia";-;-;1;1;2
"350740 Borborema";-;-;7;10;17
"350745 Borebi";-;-;1;1;2
"350750 Botucatu";-;15;20;367;402
"350760 Bragança Paulista";-;2;39;126;167
"350770 Braúna";-;-;3;-;3
"350775 Brejo Alegre";-;-;2;-;2
"350780 Brodowski";-;-;7;5;12
"350790 Brotas";-;-;6;16;22
"350800 Buri";-;-;9;4;13
"350810 Buritama";-;-;8;3;11
"350820 Buritizal";-;-;2;1;3
"350830 Cabrália Paulista";-;-;1;-;1
"350840 Cabreúva";-;-;8;7;15
"350850 Caçapava";-;-;19;179;198
"350860 Cachoeira Paulista";-;-;18;24;42
"350870 Caconde";-;-;3;17;20
"350880 Cafelândia";-;-;4;23;27
"350890 Caiabu";-;-;2;-;2
"350900 Caieiras";-;-;18;19;37
"350910 Caiuá";-;-;4;-;4
"350920 Cajamar";-;-;14;16;30
"350925 Cajati";-;-;6;8;14
"350930 Cajobi";-;-;3;6;9
"350940 Cajuru";-;-;18;14;32
"350945 Campina do Monte Alegre";-;-;2;-;2
"350950 Campinas";-;8;103;1263;1374
"350960 Campo Limpo Paulista";-;-;14;22;36
"350970 Campos do Jordão";-;-;15;23;38
"350980 Campos Novos Paulista";-;-;1;-;1
"350990 Cananéia";-;-;4;-;4
"350995 Canas";-;-;1;-;1
"351000 Cândido Mota";-;-;10;35;45
"351010 Cândido Rodrigues";-;-;1;1;2
"351015 Canitar";-;-;2;-;2
"351020 Capão Bonito";-;-;17;20;37
"351030 Capela do Alto";-;-;5;1;6
"351040 Capivari";-;-;12;121;133
"351050 Caraguatatuba";-;1;32;68;101
"351060 Carapicuíba";-;1;22;26;49
"351070 Cardoso";-;-;5;8;13
"351080 Casa Branca";-;5;7;41;53
"351090 Cássia dos Coqueiros";-;-;3;-;3
"351100 Castilho";-;-;1;5;6
"351110 Catanduva";-;-;34;240;274
"351120 Catiguá";-;-;1;-;1
"351130 Cedral";-;-;2;6;8
"351140 Cerqueira César";-;-;6;5;11
"351150 Cerquilho";-;-;13;114;127
"351160 Cesário Lange";-;-;4;1;5
"351170 Charqueada";-;-;5;10;15
"355720 Chavantes";-;-;4;9;13
"351190 Clementina";-;-;1;2;3
"351200 Colina";-;-;8;32;40
"351210 Colômbia";-;-;5;2;7
"351220 Conchal";-;-;9;23;32
"351230 Conchas";-;-;11;27;38
"351240 Cordeirópolis";-;-;6;3;9
"351250 Coroados";-;-;2;-;2
"351260 Coronel Macedo";-;-;3;-;3
"351270 Corumbataí";-;-;1;-;1
"351280 Cosmópolis";-;-;18;32;50
"351290 Cosmorama";-;-;3;1;4
"351300 Cotia";-;1;32;39;72
"351310 Cravinhos";-;-;5;17;22
"351320 Cristais Paulista";-;-;3;-;3
"351330 Cruzália";-;-;3;1;4
"351340 Cruzeiro";-;-;31;192;223
"351350 Cubatão";-;-;27;94;121
"351360 Cunha";-;-;5;2;7
"351370 Descalvado";-;-;11;27;38
"351380 Diadema";-;2;34;88;124
"351385 Dirce Reis";-;-;1;-;1
"351390 Divinolândia";-;-;4;16;20
"351400 Dobrada";-;-;1;2;3
"351410 Dois Córregos";-;-;7;25;32
"351420 Dolcinópolis";-;-;2;-;2
"351430 Dourado";-;-;4;6;10
"351440 Dracena";-;-;9;107;116
"351450 Duartina";-;-;4;12;16
"351460 Dumont";-;-;1;-;1
"351470 Echaporã";-;-;3;-;3
"351480 Eldorado";-;-;5;-;5
"351490 Elias Fausto";-;-;3;1;4
"351492 Elisiário";-;-;1;-;1
"351495 Embaúba";-;-;1;-;1
"351500 Embu das Artes";-;-;22;7;29
"351510 Embu-Guaçu";-;-;9;4;13
"351512 Emilianópolis";-;-;1;-;1
"351515 Engenheiro Coelho";-;-;5;1;6
"351518 Espírito Santo do Pinhal";-;-;9;103;112
"351519 Espírito Santo do Turvo";-;-;3;-;3
"355730 Estiva Gerbi";-;-;3;2;5
"351520 Estrela d'Oeste";-;-;1;13;14
"351530 Estrela do Norte";-;-;1;-;1
"351535 Euclides da Cunha Paulista";-;-;4;1;5
"351540 Fartura";-;-;4;23;27
"351560 Fernando Prestes";-;-;2;3;5
"351550 Fernandópolis";-;2;21;192;215
"351565 Fernão";-;-;1;-;1
"351570 Ferraz de Vasconcelos";-;1;17;8;26
"351580 Flora Rica";-;-;1;-;1
"351590 Floreal";-;-;1;-;1
"351600 Flórida Paulista";-;1;3;3;7
"351610 Florínia";-;-;2;-;2
"351620 Franca";-;6;44;357;407
"351630 Francisco Morato";-;1;23;16;40
"351640 Franco da Rocha";-;12;20;23;55
"351650 Gabriel Monteiro";-;-;1;-;1
"351660 Gália";-;-;2;4;6
"351670 Garça";-;-;14;31;45
"351680 Gastão Vidigal";-;-;1;-;1
"351685 Gavião Peixoto";-;-;2;-;2
"351690 General Salgado";-;-;4;8;12
"351700 Getulina";-;1;2;10;13
"351710 Glicério";-;-;4;-;4
"351720 Guaiçara";-;-;5;5;10
"351730 Guaimbê";-;-;2;1;3
"351740 Guaíra";-;-;16;34;50
"351750 Guapiaçu";-;-;5;7;12
"351760 Guapiara";-;-;9;1;10
"351770 Guará";-;-;8;12;20
"351780 Guaraçaí";-;-;1;10;11
"351790 Guaraci";-;-;5;1;6
"351800 Guarani d'Oeste";-;-;1;-;1
"351810 Guarantã";-;-;1;1;2
"351820 Guararapes";-;-;9;22;31
"351830 Guararema";-;1;3;3;7
"351840 Guaratinguetá";-;1;23;128;152
"351850 Guareí";-;1;5;-;6
"351860 Guariba";-;-;7;11;18
"351870 Guarujá";-;-;38;149;187
"351880 Guarulhos";1;3;101;362;467
"351885 Guatapará";-;-;2;-;2
"351890 Guzolândia";-;-;1;-;1
"351900 Herculândia";-;-;4;1;5
"351905 Holambra";-;-;4;4;8
"351907 Hortolândia";-;4;31;27;62
"351910 Iacanga";-;-;2;4;6
"351920 Iacri";-;-;2;4;6
"351925 Iaras";-;1;2;-;3
"351930 Ibaté";-;-;9;9;18
"351940 Ibirá";-;-;4;4;8
"351950 Ibirarema";-;-;2;-;2
"351960 Ibitinga";-;-;11;87;98
"351970 Ibiúna";-;-;21;14;35
"351980 Icém";-;-;6;2;8
"351990 Iepê";-;-;5;3;8
"352000 Igaraçu do Tietê";-;-;4;4;8
"352010 Igarapava";-;-;7;27;34
"352020 Igaratá";-;-;5;-;5
"352030 Iguape";-;-;7;7;14
"352042 Ilha Comprida";-;-;5;2;7
"352044 Ilha Solteira";-;-;9;49;58
"352040 Ilhabela";-;-;10;5;15
"352050 Indaiatuba";-;1;29;193;223
"352060 Indiana";-;-;3;1;4
"352070 Indiaporã";-;-;2;2;4
"352080 Inúbia Paulista";-;-;1;-;1
"352090 Ipaussu";-;-;2;9;11
"352100 Iperó";-;1;6;1;8
"352110 Ipeúna";-;-;2;1;3
"352115 Ipiguá";-;-;2;-;2
"352120 Iporanga";-;-;2;-;2
"352130 Ipuã";-;-;9;18;27
"352140 Iracemápolis";-;-;12;4;16
"352150 Irapuã";-;-;2;-;2
"352160 Irapuru";-;-;3;1;4
"352170 Itaberá";-;-;10;2;12
"352180 Itaí";-;1;6;20;27
"352190 Itajobi";-;-;5;6;11
"352200 Itaju";-;-;1;-;1
"352210 Itanhaém";-;-;20;25;45
"352215 Itaóca";-;-;2;-;2
"352220 Itapecerica da Serra";-;3;17;18;38
"352230 Itapetininga";-;10;32;159;201
"352240 Itapeva";-;2;27;84;113
"352250 Itapevi";-;1;24;26;51
"352260 Itapira";-;-;22;95;117
"352265 Itapirapuã Paulista";-;-;4;-;4
"352270 Itápolis";-;-;9;58;67
"352280 Itaporanga";-;-;3;3;6
"352290 Itapuí";-;-;4;3;7
"352300 Itapura";-;-;1;-;1
"352310 Itaquaquecetuba";-;1;23;14;38
"352320 Itararé";-;-;22;49;71
"352330 Itariri";-;-;4;-;4
"352340 Itatiba";-;-;23;63;86
"352350 Itatinga";-;-;2;12;14
"352360 Itirapina";-;2;2;19;23
"352370 Itirapuã";-;-;3;-;3
"352380 Itobi";-;-;2;-;2
"352390 Itu";-;2;41;131;174
"352400 Itupeva";-;-;21;26;47
"352410 Ituverava";-;-;15;101;116
"352420 Jaborandi";-;-;2;1;3
"352430 Jaboticabal";-;-;14;83;97
"352440 Jacareí";-;-;28;288;316
"352450 Jaci";-;-;2;6;8
"352460 Jacupiranga";-;-;6;5;11
"352470 Jaguariúna";-;-;11;36;47
"352480 Jales";-;4;10;114;128
"352490 Jambeiro";-;-;2;1;3
"352500 Jandira";-;-;17;7;24
"352510 Jardinópolis";-;-;12;11;23
"352520 Jarinu";-;-;5;3;8
"352530 Jaú";-;4;27;253;284
"352540 Jeriquara";-;-;1;-;1
"352550 Joanópolis";-;-;2;2;4
"352560 João Ramalho";-;-;1;-;1
"352570 José Bonifácio";-;-;11;21;32
"352580 Júlio Mesquita";-;-;1;-;1
"352585 Jumirim";-;-;2;2;4
"352590 Jundiaí";-;1;58;1041;1100
"352600 Junqueirópolis";-;-;7;7;14
"352610 Juquiá";-;-;7;1;8
"352620 Juquitiba";-;-;8;2;10
"352630 Lagoinha";-;-;3;-;3
"352640 Laranjal Paulista";-;-;14;38;52
"352650 Lavínia";-;-;6;-;6
"352660 Lavrinhas";-;-;4;-;4
"352670 Leme";-;-;27;112;139
"352680 Lençóis Paulista";-;-;15;108;123
"352690 Limeira";-;3;33;296;332
"352700 Lindóia";-;-;3;3;6
"352710 Lins";-;3;23;251;277
"352720 Lorena";-;-;24;143;167
"352725 Lourdes";-;-;1;-;1
"352730 Louveira";-;-;4;14;18
"352740 Lucélia";-;1;2;16;19
"352750 Lucianópolis";-;-;1;-;1
"352760 Luís Antônio";-;-;5;4;9
"352770 Luiziânia";-;-;1;5;6
"352780 Lupércio";-;-;2;-;2
"352790 Lutécia";-;-;1;-;1
"352800 Macatuba";-;-;6;8;14
"352810 Macaubal";-;-;1;5;6
"352820 Macedônia";-;-;1;2;3
"352830 Magda";-;-;1;-;1
"352840 Mairinque";-;-;23;12;35
"352850 Mairiporã";-;-;20;16;36
"352860 Manduri";-;-;4;6;10
"352870 Marabá Paulista";-;-;3;-;3
"352880 Maracaí";-;-;7;4;11
"352885 Marapoama";-;-;1;-;1
"352890 Mariápolis";-;-;1;-;1
"352900 Marília";-;4;60;426;490
"352910 Marinópolis";-;-;1;-;1
"352920 Martinópolis";-;-;11;14;25
"352930 Matão";-;1;16;103;120
"352940 Mauá";-;1;39;146;186
"352950 Mendonça";-;-;1;-;1
"352960 Meridiano";-;-;2;-;2
"352965 Mesópolis";-;-;1;-;1
"352970 Miguelópolis";-;-;9;12;21
"352980 Mineiros do Tietê";-;-;4;4;8
"353000 Mira Estrela";-;-;1;-;1
"352990 Miracatu";-;-;7;2;9
"353010 Mirandópolis";-;1;17;25;43
"353020 Mirante do Paranapanema";-;-;9;7;16
"353030 Mirassol";-;-;11;39;50
"353040 Mirassolândia";-;-;1;-;1
"353050 Mococa";-;2;17;118;137
"353060 Mogi das Cruzes";-;7;39;227;273
"353070 Mogi Guaçu";-;-;26;219;245
"353080 Mogi Mirim";-;1;19;108;128
"353090 Mombuca";-;-;2;-;2
"353100 Monções";-;-;3;-;3
"353110 Mongaguá";-;1;15;9;25
"353120 Monte Alegre do Sul";-;-;5;1;6
"353130 Monte Alto";-;-;14;131;145
"353140 Monte Aprazível";-;-;10;18;28
"353150 Monte Azul Paulista";-;-;4;16;20
"353160 Monte Castelo";-;-;1;-;1
"353180 Monte Mor";-;-;18;23;41
"353170 Monteiro Lobato";-;-;3;2;5
"353190 Morro Agudo";-;-;13;31;44
"353200 Morungaba";-;-;5;4;9
"353205 Motuca";-;-;3;1;4
"353210 Murutinga do Sul";-;-;1;3;4
"353215 Nantes";-;-;2;-;2
"353220 Narandiba";-;-;2;-;2
"353230 Natividade da Serra";-;-;2;-;2
"353240 Nazaré Paulista";-;-;2;3;5
"353250 Neves Paulista";-;-;3;7;10
"353260 Nhandeara";-;-;4;18;22
"353270 Nipoã";-;-;1;-;1
"353280 Nova Aliança";-;-;2;1;3
"353282 Nova Campina";-;-;3;-;3
"353284 Nova Canaã Paulista";-;-;2;-;2
"353286 Nova Castilho";-;-;1;-;1
"353290 Nova Europa";-;-;4;1;5
"353300 Nova Granada";-;-;5;6;11
"353310 Nova Guataporanga";-;-;1;-;1
"353320 Nova Independência";-;-;1;-;1
"353330 Nova Luzitânia";-;-;1;-;1
"353340 Nova Odessa";-;-;8;36;44
"353325 Novais";-;-;1;-;1
"353350 Novo Horizonte";-;-;8;35;43
"353360 Nuporanga";-;-;6;12;18
"353370 Ocauçu";-;-;2;-;2
"353380 Óleo";-;-;3;-;3
"353390 Olímpia";-;1;12;53;66
"353400 Onda Verde";-;-;3;-;3
"353410 Oriente";-;-;2;5;7
"353420 Orindiúva";-;-;1;1;2
"353430 Orlândia";-;2;11;82;95
"353440 Osasco";-;8;63;412;483
"353450 Oscar Bressane";-;-;1;-;1
"353460 Osvaldo Cruz";-;2;9;29;40
"353470 Ourinhos";-;-;25;250;275
"353480 Ouro Verde";-;-;3;1;4
"353475 Ouroeste";-;-;3;5;8
"353490 Pacaembu";-;2;4;8;14
"353500 Palestina";-;-;3;6;9
"353510 Palmares Paulista";-;-;2;3;5
"353520 Palmeira d'Oeste";-;-;3;5;8
"353530 Palmital";-;-;8;12;20
"353540 Panorama";-;-;4;4;8
"353550 Paraguaçu Paulista";-;1;14;43;58
"353560 Paraibuna";-;-;7;4;11
"353570 Paraíso";-;-;1;2;3
"353580 Paranapanema";-;-;4;2;6
"353590 Paranapuã";-;-;1;-;1
"353600 Parapuã";-;-;4;1;5
"353610 Pardinho";-;-;2;1;3
"353620 Pariquera-Açu";-;-;7;4;11
"353625 Parisi";-;-;1;-;1
"353630 Patrocínio Paulista";-;-;6;2;8
"353640 Paulicéia";-;-;2;1;3
"353650 Paulínia";-;-;22;76;98
"353657 Paulistânia";-;-;1;-;1
"353660 Paulo de Faria";-;-;1;3;4
"353670 Pederneiras";-;-;13;34;47
"353680 Pedra Bela";-;-;1;-;1
"353690 Pedranópolis";-;-;3;-;3
"353700 Pedregulho";-;-;9;9;18
"353710 Pedreira";-;-;8;16;24
"353715 Pedrinhas Paulista";-;-;3;4;7
"353720 Pedro de Toledo";-;-;4;-;4
"353730 Penápolis";-;-;19;103;122
"353740 Pereira Barreto";-;-;8;18;26
"353750 Pereiras";-;-;5;2;7
"353760 Peruíbe";-;-;16;16;32
"353770 Piacatu";-;-;1;-;1
"353780 Piedade";-;-;9;10;19
"353790 Pilar do Sul";-;-;6;4;10
"353800 Pindamonhangaba";-;-;32;199;231
"353810 Pindorama";-;-;5;3;8
"353820 Pinhalzinho";-;-;4;2;6
"353830 Piquerobi";-;-;1;-;1
"353850 Piquete";-;-;5;3;8
"353860 Piracaia";-;-;2;3;5
"353870 Piracicaba";-;7;71;575;653
"353880 Piraju";-;1;11;43;55
"353890 Pirajuí";-;2;7;26;35
"353900 Pirangi";-;-;3;8;11
"353910 Pirapora do Bom Jesus";-;-;7;1;8
"353920 Pirapozinho";-;-;7;13;20
"353930 Pirassununga";1;-;25;109;135
"353940 Piratininga";-;-;2;1;3
"353950 Pitangueiras";-;-;11;21;32
"353960 Planalto";-;-;1;-;1
"353970 Platina";-;-;1;-;1
"353980 Poá";-;-;16;17;33
"353990 Poloni";-;-;3;2;5
"354000 Pompéia";-;-;10;56;66
"354010 Pongaí";-;-;1;1;2
"354020 Pontal";-;-;13;24;37
"354025 Pontalinda";-;-;1;-;1
"354030 Pontes Gestal";-;-;1;-;1
"354040 Populina";-;-;1;1;2
"354050 Porangaba";-;-;3;4;7
"354060 Porto Feliz";-;-;16;41;57
"354070 Porto Ferreira";-;-;14;87;101
"354075 Potim";-;-;4;-;4
"354080 Potirendaba";-;-;7;10;17
"354085 Pracinha";-;1;1;-;2
"354090 Pradópolis";-;-;6;6;12
"354100 Praia Grande";-;-;37;78;115
"354105 Pratânia";-;-;2;2;4
"354110 Presidente Alves";-;-;2;-;2
"354120 Presidente Bernardes";-;-;9;8;17
"354130 Presidente Epitácio";-;-;11;23;34
"354140 Presidente Prudente";-;9;33;463;505
"354150 Presidente Venceslau";-;-;12;38;50
"354160 Promissão";-;1;15;30;46
"354165 Quadra";-;-;1;-;1
"354170 Quatá";-;-;6;12;18
"354180 Queiroz";-;-;1;-;1
"354190 Queluz";-;-;3;-;3
"354200 Quintana";-;-;4;1;5
"354210 Rafard";-;-;3;-;3
"354220 Rancharia";-;-;7;31;38
"354230 Redenção da Serra";-;-;2;1;3
"354240 Regente Feijó";-;-;10;4;14
"354250 Reginópolis";-;2;1;1;4
"354260 Registro";-;2;13;67;82
"354270 Restinga";-;-;3;-;3
"354280 Ribeira";-;-;3;-;3
"354290 Ribeirão Bonito";-;-;6;9;15
"354300 Ribeirão Branco";-;-;9;1;10
"354310 Ribeirão Corrente";-;-;2;-;2
"354320 Ribeirão do Sul";-;-;1;-;1
"354323 Ribeirão dos Índios";-;-;1;-;1
"354325 Ribeirão Grande";-;-;2;2;4
"354330 Ribeirão Pires";-;-;19;64;83
"354340 Ribeirão Preto";-;15;117;794;926
"354360 Rifaina";-;-;1;-;1
"354370 Rincão";-;-;4;2;6
"354380 Rinópolis";-;-;3;3;6
"354390 Rio Claro";-;3;29;256;288
"354400 Rio das Pedras";-;-;8;58;66
"354410 Rio Grande da Serra";-;-;9;5;14
"354420 Riolândia";-;1;2;1;4
"354350 Riversul";-;-;3;1;4
"354425 Rosana";-;1;11;17;29
"354430 Roseira";-;-;4;1;5
"354440 Rubiácea";-;-;3;-;3
"354450 Rubinéia";-;-;2;-;2
"354460 Sabino";-;-;1;1;2
"354470 Sagres";-;-;1;-;1
"354480 Sales";-;-;1;-;1
"354490 Sales Oliveira";-;-;5;11;16
"354500 Salesópolis";-;-;5;2;7
"354510 Salmourão";-;-;1;-;1
"354515 Saltinho";-;-;1;-;1
"354520 Salto";-;-;23;80;103
"354530 Salto de Pirapora";-;-;11;18;29
"354540 Salto Grande";-;-;1;1;2
"354550 Sandovalina";-;-;2;-;2
"354560 Santa Adélia";-;-;5;6;11
"354570 Santa Albertina";-;-;2;2;4
"354580 Santa Bárbara d'Oeste";-;1;19;130;150
"354600 Santa Branca";-;-;5;5;10
"354610 Santa Clara d'Oeste";-;-;2;-;2
"354620 Santa Cruz da Conceição";-;-;4;-;4
"354625 Santa Cruz da Esperança";-;-;1;-;1
"354630 Santa Cruz das Palmeiras";-;-;4;50;54
"354640 Santa Cruz do Rio Pardo";-;-;13;46;59
"354650 Santa Ernestina";-;-;1;-;1
"354660 Santa Fé do Sul";-;2;12;52;66
"354670 Santa Gertrudes";-;-;9;25;34
"354680 Santa Isabel";-;-;14;6;20
"354690 Santa Lúcia";-;-;3;2;5
"354700 Santa Maria da Serra";-;-;2;3;5
"354710 Santa Mercedes";-;-;2;-;2
"354740 Santa Rita d'Oeste";-;-;1;-;1
"354750 Santa Rita do Passa Quatro";-;3;8;44;55
"354760 Santa Rosa de Viterbo";-;-;5;21;26
"354765 Santa Salete";-;-;1;-;1
"354720 Santana da Ponte Pensa";-;-;1;-;1
"354730 Santana de Parnaíba";-;-;17;8;25
"354770 Santo Anastácio";-;-;6;16;22
"354780 Santo André";-;6;61;582;649
"354790 Santo Antônio da Alegria";-;-;5;-;5
"354800 Santo Antônio de Posse";-;-;9;4;13
"354805 Santo Antônio do Aracanguá";-;-;3;-;3
"354810 Santo Antônio do Jardim";-;-;1;-;1
"354820 Santo Antônio do Pinhal";-;-;4;1;5
"354830 Santo Expedito";-;-;1;-;1
"354840 Santópolis do Aguapeí";-;-;1;-;1
"354850 Santos";-;8;73;1366;1447
"354860 São Bento do Sapucaí";-;-;6;5;11
"354870 São Bernardo do Campo";-;-;62;488;550
"354880 São Caetano do Sul";-;-;30;421;451
"354890 São Carlos";1;1;36;212;250
"354900 São Francisco";-;-;1;-;1
"354910 São João da Boa Vista";-;6;22;260;288
"354920 São João das Duas Pontes";-;-;2;-;2
"354925 São João de Iracema";-;-;1;-;1
"354930 São João do Pau d'Alho";-;-;1;1;2
"354940 São Joaquim da Barra";-;2;14;105;121
"354950 São José da Bela Vista";-;-;3;4;7
"354960 São José do Barreiro";-;-;3;-;3
"354970 São José do Rio Pardo";-;-;15;77;92
"354980 São José do Rio Preto";-;10;54;488;552
"354990 São José dos Campos";-;5;71;1020;1096
"354995 São Lourenço da Serra";-;-;3;-;3
"355000 São Luís do Paraitinga";-;-;4;4;8
"355010 São Manuel";-;-;9;44;53
"355020 São Miguel Arcanjo";-;-;14;24;38
"355030 São Paulo";3;102;748;9222;10075
"355040 São Pedro";-;-;6;49;55
"355050 São Pedro do Turvo";-;-;3;1;4
"355060 São Roque";-;-;15;127;142
"355070 São Sebastião";-;-;24;99;123
"355080 São Sebastião da Grama";-;-;6;14;20
"355090 São Simão";-;-;6;21;27
"355100 São Vicente";-;-;55;155;210
"355110 Sarapuí";-;-;4;1;5
"355120 Sarutaiá";-;-;1;-;1
"355130 Sebastianópolis do Sul";-;-;1;-;1
"355140 Serra Azul";-;2;3;2;7
"355160 Serra Negra";-;-;11;27;38
"355150 Serrana";-;-;10;7;17
"355170 Sertãozinho";-;-;14;112;126
"355180 Sete Barras";-;-;5;-;5
"355190 Severínia";-;-;4;2;6
"355200 Silveiras";-;-;3;-;3
"355210 Socorro";-;-;14;16;30
"355220 Sorocaba";-;10;56;394;460
"355230 Sud Mennucci";-;-;6;2;8
"355240 Sumaré";-;2;35;101;138
"355255 Suzanápolis";-;-;1;-;1
"355250 Suzano";-;2;29;101;132
"355260 Tabapuã";-;-;5;6;11
"355270 Tabatinga";-;-;6;34;40
"355280 Taboão da Serra";-;1;28;52;81
"355290 Taciba";-;-;4;-;4
"355300 Taguaí";-;-;2;7;9
"355310 Taiaçu";-;-;1;6;7
"355320 Taiúva";-;-;3;6;9
"355330 Tambaú";-;-;9;29;38
"355340 Tanabi";-;-;10;17;27
"355350 Tapiraí";-;-;2;-;2
"355360 Tapiratiba";-;-;5;5;10
"355365 Taquaral";-;-;1;-;1
