"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"350010 Adamantina";-;1;-;-;-;-;2;-;-;-;-;16;-;-;-;-;-;25;-;3;3;-;-;-;19;-;1;-;-;-;-;-;-;5;-;75
"350020 Adolfo";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350030 Aguaí";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;12;-;3;1;-;-;-;1;-;2;-;-;-;-;-;-;1;-;32
"350040 Águas da Prata";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350050 Águas de Lindóia";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;9;-;3;-;-;-;3;1;-;-;-;-;-;-;-;-;2;-;25
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350060 Águas de São Pedro";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;6
"350070 Agudos";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;24
"350075 Alambari";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350080 Alfredo Marcondes";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350090 Altair";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350100 Altinópolis";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;21
"350110 Alto Alegre";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350115 Alumínio";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"350120 Álvares Florence";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;4;-;2;-;-;-;-;4;-;-;-;-;-;-;-;-;3;-;22
"350140 Álvaro de Carvalho";-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350160 Americana";-;2;-;-;-;-;-;-;-;2;-;33;-;-;-;-;5;117;-;12;6;-;-;12;42;-;13;1;-;-;-;-;-;10;-;255
"350170 Américo Brasiliense";-;2;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;1;-;-;1;-;-;1;5;-;-;-;-;-;-;-;-;2;-;27
"350180 Américo de Campos";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350190 Amparo";-;1;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;32;-;6;6;-;-;42;16;-;4;-;-;-;-;-;-;5;-;142
"350200 Analândia";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350210 Andradina";-;2;-;-;-;-;-;-;-;-;1;17;-;-;-;-;-;17;-;17;-;-;-;-;14;-;2;-;-;-;-;-;-;2;-;72
"350220 Angatuba";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;20
"350230 Anhembi";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350240 Anhumas";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350250 Aparecida";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;26
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7
"350270 Apiaí";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;4;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;29
"350275 Araçariguama";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;12
"350280 Araçatuba";-;7;-;-;-;5;-;-;2;-;-;49;-;-;-;-;-;111;-;27;2;-;-;1;46;-;9;1;-;1;-;-;-;13;-;274
"350290 Araçoiaba da Serra";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;7;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;3;-;25
"350300 Aramina";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350310 Arandu";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350315 Arapeí";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350320 Araraquara";-;7;-;-;-;4;-;-;-;-;-;89;1;-;-;-;-;93;-;16;7;-;-;117;51;-;12;2;2;1;-;-;-;16;-;418
"350330 Araras";-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;22;-;1;2;-;-;66;13;-;3;3;1;-;-;-;-;6;-;156
"350335 Arco-Íris";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;11
"350350 Areias";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350360 Areiópolis";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"350370 Ariranha";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"350380 Artur Nogueira";-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;7;-;-;-;-;-;-;8;-;1;-;-;-;-;-;-;4;-;43
"350390 Arujá";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;2;12;-;4;-;-;-;-;15;-;3;-;-;-;-;-;-;1;-;52
"350395 Aspásia";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350400 Assis";-;5;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;61;-;51;1;-;-;-;21;-;7;1;-;-;-;1;-;2;-;190
"350410 Atibaia";-;1;-;-;-;-;-;-;-;-;-;31;-;-;-;-;7;46;-;7;-;-;-;6;34;-;4;3;-;-;-;-;-;9;-;148
"350420 Auriflama";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;2;-;24
"350430 Avaí";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;1;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;13
"350450 Avaré";-;4;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;33;-;6;5;-;-;-;7;-;1;-;-;-;-;1;-;3;-;89
"350460 Bady Bassitt";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350470 Balbinos";-;2;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350490 Bananal";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"350500 Barão de Antonina";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350510 Barbosa";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;9;-;3;-;-;-;-;5;-;2;1;-;-;-;1;-;3;-;35
"350530 Barra Bonita";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;15;-;3;-;-;-;-;4;-;1;-;-;-;-;-;-;2;-;37
"350535 Barra do Chapéu";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"350550 Barretos";-;6;-;-;-;1;-;-;-;-;-;36;-;-;-;-;-;32;-;4;1;-;-;13;29;-;3;-;4;1;-;1;-;7;-;138
"350560 Barrinha";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;6;-;-;2;-;-;1;5;-;1;-;-;-;-;-;-;1;-;30
"350570 Barueri";-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;5;3;67;-;13;-;-;-;5;92;-;9;8;-;-;-;-;-;2;-;250
"350580 Bastos";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;4;-;1;-;-;-;-;6;-;-;-;-;-;-;-;-;2;-;29
"350590 Batatais";-;-;-;-;-;-;-;-;1;-;-;21;-;-;-;-;1;16;-;3;1;-;-;-;8;-;2;-;-;-;-;-;-;5;-;58
"350600 Bauru";1;13;-;-;-;3;-;-;-;-;-;82;-;-;-;-;3;186;-;47;4;-;-;2;41;-;12;-;3;1;-;-;-;11;-;409
"350610 Bebedouro";-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;1;19;-;6;6;-;-;31;11;-;3;2;1;-;-;-;-;2;-;111
"350620 Bento de Abreu";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350630 Bernardino de Campos";-;1;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;14
"350635 Bertioga";-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;12;-;6;-;-;-;-;1;-;2;-;-;-;-;-;-;1;-;40
"350640 Bilac";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"350650 Birigui";-;1;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;51;-;11;1;-;-;-;13;-;3;-;-;-;-;-;-;4;-;112
"350660 Biritiba-Mirim";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;17
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"350680 Bocaina";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;10
"350690 Bofete";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;27;-;2;-;-;-;-;9;-;-;-;1;-;-;-;-;1;-;56
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;7
"350715 Bom Sucesso de Itararé";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350740 Borborema";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;17
"350745 Borebi";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350750 Botucatu";-;9;-;-;-;3;-;-;1;-;-;30;-;-;1;-;-;52;-;11;5;-;-;1;19;-;2;1;3;1;-;-;-;5;-;144
"350760 Bragança Paulista";-;2;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;59;-;9;-;-;-;35;47;2;8;3;-;1;-;-;-;8;-;223
"350770 Braúna";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350780 Brodowski";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;5;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;21
"350790 Brotas";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;4;-;1;-;-;-;-;3;-;1;-;-;-;-;1;-;4;-;23
"350800 Buri";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;16
"350810 Buritama";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;6;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;23
"350820 Buritizal";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"350830 Cabrália Paulista";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350840 Cabreúva";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;1;7;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;29
"350850 Caçapava";-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;1;36;-;7;3;-;-;2;42;-;-;-;2;-;-;-;-;3;-;130
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;1;-;6;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;30
"350870 Caconde";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;2;-;1;-;-;-;-;7;-;1;-;-;-;-;-;-;2;-;23
"350880 Cafelândia";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;6;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;18
"350890 Caiabu";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350900 Caieiras";-;1;-;-;-;-;-;-;-;-;-;22;-;-;-;1;1;12;-;4;-;-;-;2;13;-;4;-;-;-;-;-;-;3;-;63
"350910 Caiuá";-;1;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350920 Cajamar";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;1;16;-;2;-;-;-;-;7;-;3;1;-;-;-;-;-;3;-;44
"350925 Cajati";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;2;4;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;26
"350930 Cajobi";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;11
"350940 Cajuru";-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;13;-;5;-;-;-;-;6;-;-;-;-;-;-;-;-;2;-;44
"350945 Campina do Monte Alegre";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350950 Campinas";-;5;-;-;-;1;1;-;4;-;-;139;-;-;1;1;10;396;-;16;8;-;-;15;368;-;51;16;4;-;-;-;-;30;1;1067
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;7;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;2;-;33
"350970 Campos do Jordão";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;10;-;5;-;-;-;5;-;-;1;-;-;-;-;-;-;2;-;45
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;10;-;13;-;-;-;-;1;-;3;-;-;-;-;1;-;2;-;42
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351015 Canitar";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351020 Capão Bonito";-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;3;-;34
"351030 Capela do Alto";-;2;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;13
"351040 Capivari";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;22;-;6;1;-;-;1;14;-;1;1;-;-;-;2;-;2;-;69
"351050 Caraguatatuba";-;3;-;-;-;-;-;-;1;-;-;43;-;-;-;-;-;55;-;2;1;-;-;-;8;-;6;1;-;-;-;-;-;4;-;124
"351060 Carapicuíba";-;2;-;-;-;-;-;-;-;-;-;38;-;-;-;-;2;25;-;-;-;-;-;1;21;-;3;2;-;-;-;-;-;1;-;95
"351070 Cardoso";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;15
"351080 Casa Branca";-;5;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;2;-;-;-;-;5;-;2;-;-;-;-;-;-;2;-;31
"351090 Cássia dos Coqueiros";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;9;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;15
"351110 Catanduva";-;1;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;97;-;46;5;-;-;3;49;-;6;-;3;-;-;-;-;9;-;262
"351120 Catiguá";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351130 Cedral";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;6;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;15
"351140 Cerqueira César";-;2;-;-;-;-;-;-;1;-;-;8;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;17
"351150 Cerquilho";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;1;13;-;-;-;-;-;-;9;-;1;1;-;-;-;1;-;2;-;42
"351160 Cesário Lange";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;11
"351170 Charqueada";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;15
"355720 Chavantes";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;2;-;11
"351190 Clementina";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"351200 Colina";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;1;-;-;-;-;2;1;-;-;-;-;-;-;-;2;-;17
"351210 Colômbia";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351220 Conchal";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;-;1;-;-;2;6;-;-;-;-;-;-;1;-;1;-;26
"351230 Conchas";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;7;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;24
"351240 Cordeirópolis";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;4;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;25
"351250 Coroados";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351270 Corumbataí";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351280 Cosmópolis";-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;6;-;-;-;-;-;-;7;-;4;1;1;-;-;-;-;5;-;47
"351290 Cosmorama";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;-;-;-;-;-;-;45;-;-;-;3;1;37;-;7;-;-;-;-;23;-;6;1;-;-;-;-;-;4;-;128
"351310 Cravinhos";-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;5;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;2;-;27
"351320 Cristais Paulista";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351330 Cruzália";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;-;-;-;-;-;1;-;-;-;-;31;-;-;-;1;1;36;-;6;1;-;-;21;68;-;1;2;-;-;-;-;-;5;-;174
"351350 Cubatão";-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;4;22;-;-;1;-;-;-;11;-;2;-;-;1;-;-;-;3;-;84
"351360 Cunha";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4;-;17
"351370 Descalvado";-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;29;-;6;-;-;-;-;1;-;-;-;-;-;-;-;-;4;-;61
"351380 Diadema";-;2;-;-;-;-;-;-;-;-;-;49;-;-;-;1;2;35;-;1;-;-;-;-;38;-;7;3;-;-;-;-;-;2;-;140
"351385 Dirce Reis";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351390 Divinolândia";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;6;-;2;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;19
"351400 Dobrada";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351410 Dois Córregos";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;3;-;1;-;-;-;-;5;-;-;-;-;-;-;-;-;3;-;21
"351420 Dolcinópolis";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
