"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"232-1 Sociedade Unipessoal de Advogados";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"351320 Cristais Paulista";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"351330 Cruzália";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;-;-;-;-;-;1;-;-;-;-;33;-;-;-;1;1;36;-;7;-;-;-;22;70;-;1;2;-;-;-;-;-;-;5;-;179
"351350 Cubatão";-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;4;18;-;-;1;-;-;-;10;-;3;-;-;-;1;-;-;-;4;-;80
"351360 Cunha";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;16
"351370 Descalvado";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;29;-;6;-;-;-;2;1;-;1;1;-;-;-;-;-;-;4;-;64
"351380 Diadema";-;2;-;-;-;-;-;-;-;-;-;49;-;-;-;1;3;37;-;1;-;-;-;-;40;-;8;3;-;-;-;-;-;-;2;-;146
"351385 Dirce Reis";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351390 Divinolândia";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7;-;4;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;21
"351400 Dobrada";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351410 Dois Córregos";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;3;-;20
"351420 Dolcinópolis";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"351440 Dracena";-;2;-;-;-;-;-;-;-;-;2;14;-;-;-;-;-;28;-;4;2;-;-;-;7;-;5;-;-;-;-;-;-;-;3;-;67
"351450 Duartina";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;8;-;8;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;27
"351460 Dumont";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351470 Echaporã";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351480 Eldorado";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351490 Elias Fausto";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351492 Elisiário";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351500 Embu das Artes";-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;18;-;5;-;-;-;-;4;-;5;-;-;-;-;-;-;-;-;-;65
"351510 Embu-Guaçu";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;7;-;3;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;36
"351512 Emilianópolis";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;17
"351518 Espírito Santo do Pinhal";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;15;-;2;1;-;-;-;16;-;2;-;-;1;-;-;1;-;5;-;57
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355730 Estiva Gerbi";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;10
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3;-;14
"351530 Estrela do Norte";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351540 Fartura";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;4;-;4;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3;-;19
"351560 Fernando Prestes";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351550 Fernandópolis";-;2;-;-;-;-;-;-;-;-;1;37;-;-;-;-;-;102;-;37;2;-;-;2;32;-;3;1;-;3;-;-;-;-;4;-;226
"351565 Fernão";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;1;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;7;-;3;-;-;-;-;5;-;2;-;-;-;-;-;-;-;1;-;54
"351580 Flora Rica";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351590 Floreal";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351600 Flórida Paulista";-;1;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;14
"351610 Florínia";-;1;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351620 Franca";-;6;-;-;-;1;-;-;1;-;-;53;-;-;-;-;2;87;-;28;1;-;-;4;123;-;22;6;-;3;-;-;-;-;4;-;341
"351630 Francisco Morato";-;1;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;4;-;-;-;-;3;-;-;1;-;-;-;-;-;-;3;-;59
"351640 Franco da Rocha";-;13;-;-;-;-;-;-;2;-;-;34;-;-;-;-;-;18;-;7;-;-;-;1;4;-;3;-;-;-;-;-;-;-;2;-;84
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351660 Gália";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;6
"351670 Garça";-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;6;-;2;-;-;-;-;4;-;1;-;-;-;-;-;1;-;4;-;43
"351680 Gastão Vidigal";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351690 General Salgado";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;15
"351700 Getulina";-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"351710 Glicério";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351730 Guaimbê";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351740 Guaíra";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;11;-;-;1;-;-;2;5;-;1;-;-;-;-;-;-;-;1;-;36
"351750 Guapiaçu";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"351760 Guapiara";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;20
"351770 Guará";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;5;-;5;-;-;-;1;2;-;-;-;-;-;-;-;-;-;2;-;31
"351780 Guaraçaí";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"351790 Guaraci";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351810 Guarantã";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351820 Guararapes";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;12;-;4;-;-;-;-;2;-;-;-;-;-;-;-;1;-;2;-;37
"351830 Guararema";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;1;-;2;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;16
"351840 Guaratinguetá";1;1;-;-;-;-;-;-;-;-;-;33;-;-;-;3;1;58;-;24;-;-;-;-;31;-;2;1;-;-;1;-;-;-;12;-;168
"351850 Guareí";-;2;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"351860 Guariba";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;1;-;4;-;-;2;-;-;1;7;-;-;-;-;-;-;-;-;-;1;-;29
"351870 Guarujá";-;1;-;-;-;-;-;-;-;-;-;59;-;-;-;-;4;61;-;15;3;-;-;-;19;-;6;1;-;-;-;-;-;-;18;-;187
"351880 Guarulhos";-;6;-;-;-;-;-;-;3;-;-;140;-;-;-;7;5;192;-;42;6;-;-;3;145;-;35;7;-;-;-;-;-;2;15;-;608
"351885 Guatapará";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"351890 Guzolândia";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"351905 Holambra";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;12
"351907 Hortolândia";-;4;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;50;-;7;-;-;-;-;4;-;15;-;-;-;-;-;-;-;2;-;129
"351910 Iacanga";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;12
"351920 Iacri";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"351925 Iaras";-;1;-;-;-;-;-;-;2;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"351930 Ibaté";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;2;-;1;-;-;-;2;3;-;-;-;-;-;-;-;-;-;1;-;22
"351940 Ibirá";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;8;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;18
"351950 Ibirarema";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351960 Ibitinga";-;-;1;-;-;-;-;-;-;-;-;21;-;-;-;-;-;15;-;3;1;-;-;-;16;-;1;-;-;1;-;-;-;-;1;-;60
"351970 Ibiúna";-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;8;-;4;1;-;-;1;2;-;2;-;-;-;-;1;-;-;1;-;46
"351980 Icém";-;1;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;17
"351990 Iepê";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"352010 Igarapava";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;9;-;5;-;-;-;1;2;-;1;-;-;-;-;-;-;-;2;-;36
"352020 Igaratá";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352030 Iguape";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;-;2;-;19
"352042 Ilha Comprida";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;11
"352044 Ilha Solteira";-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;14;-;-;-;-;7;-;2;1;-;-;-;-;-;-;3;-;59
"352040 Ilhabela";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;25
"352050 Indaiatuba";-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;1;-;111;-;15;-;-;-;3;39;-;9;2;-;1;-;1;-;-;5;-;223
"352060 Indiana";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352070 Indiaporã";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"352080 Inúbia Paulista";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;14
"352100 Iperó";-;1;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"352110 Ipeúna";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"352115 Ipiguá";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352130 Ipuã";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;4;-;6;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;23
"352140 Iracemápolis";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;9;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;26
"352150 Irapuã";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"352160 Irapuru";-;1;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352170 Itaberá";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;23
"352180 Itaí";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;3;-;3;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;23
"352190 Itajobi";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;6;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;20
"352200 Itaju";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"352210 Itanhaém";-;1;-;-;-;-;-;-;-;-;-;34;-;-;-;-;1;13;-;4;-;-;-;-;7;-;5;-;-;-;-;-;-;-;2;-;67
"352215 Itaóca";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352220 Itapecerica da Serra";-;2;-;-;-;-;21;-;-;-;-;1;-;-;-;-;-;14;-;2;-;-;-;1;5;-;2;-;-;-;-;-;-;-;3;-;51
"352230 Itapetininga";-;5;-;-;-;-;-;-;1;-;-;47;-;-;-;-;-;58;-;12;3;-;-;-;16;-;8;-;-;1;-;-;2;-;5;-;158
"352240 Itapeva";-;2;-;-;-;-;-;-;-;-;-;40;-;-;-;-;1;34;-;9;3;-;-;-;6;-;10;-;-;-;-;-;-;-;8;-;113
"352250 Itapevi";-;2;-;-;-;-;-;-;-;-;-;38;-;-;-;-;3;29;-;5;-;-;-;1;13;-;3;-;-;-;-;-;-;-;1;-;95
"352260 Itapira";-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;9;-;1;-;-;-;10;13;-;6;1;-;1;-;-;-;-;2;-;68
"352265 Itapirapuã Paulista";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352270 Itápolis";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;11;-;3;-;-;-;-;10;-;-;-;-;-;-;-;-;-;2;-;39
"352280 Itaporanga";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;14
"352290 Itapuí";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"352300 Itapura";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352310 Itaquaquecetuba";-;1;-;-;-;-;-;-;-;-;-;37;-;-;-;1;1;25;-;4;-;-;-;-;6;-;1;-;-;-;-;-;-;-;2;-;78
"352320 Itararé";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;33
"352330 Itariri";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"352340 Itatiba";-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;54;-;5;2;-;-;4;17;-;5;1;-;-;-;-;-;-;4;-;131
"352350 Itatinga";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"352360 Itirapina";-;2;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;14
"352370 Itirapuã";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352380 Itobi";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352390 Itu";-;3;-;-;-;-;-;-;-;-;-;48;-;-;-;1;1;86;-;9;2;-;-;-;8;-;5;1;-;-;2;-;-;-;8;1;175
"352400 Itupeva";-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;1;6;-;2;1;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;38
"352410 Ituverava";-;1;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;38;-;13;3;-;-;-;20;-;5;-;-;-;-;-;-;-;4;-;104
"352420 Jaborandi";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"352430 Jaboticabal";-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;1;12;-;4;5;-;-;30;9;-;3;1;-;-;-;-;-;-;5;-;95
"352440 Jacareí";-;-;-;-;-;-;-;-;1;-;-;40;-;-;-;1;2;64;-;11;2;-;-;1;88;-;7;2;-;-;-;-;-;-;6;-;225
"352450 Jaci";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;15
"352470 Jaguariúna";-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;19;-;1;-;-;-;-;8;-;2;-;-;-;-;-;-;-;4;-;63
"352480 Jales";-;2;-;-;-;-;-;-;-;-;1;26;-;-;-;-;-;76;-;11;-;-;-;3;13;-;9;-;-;1;-;-;-;-;3;-;145
"352490 Jambeiro";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352500 Jandira";-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;7;-;3;-;-;-;-;2;-;2;1;-;-;-;-;-;-;1;-;43
"352510 Jardinópolis";-;1;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;4;-;1;-;-;-;-;4;-;-;2;-;-;-;-;-;-;3;-;35
"352520 Jarinu";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;20
"352530 Jaú";-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;51;-;7;2;-;-;1;59;-;5;1;-;2;-;-;1;-;4;-;176
"352540 Jeriquara";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352550 Joanópolis";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;6
"352560 João Ramalho";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352570 José Bonifácio";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;11;-;7;-;-;-;1;13;-;1;-;-;-;-;-;-;-;2;-;50
"352580 Júlio Mesquita";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"352585 Jumirim";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352590 Jundiaí";-;4;-;-;-;-;2;-;-;-;-;71;-;-;-;3;14;212;-;28;5;-;-;57;166;-;17;6;-;-;-;-;5;-;26;-;616
"352600 Junqueirópolis";-;1;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;21
"352610 Juquiá";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"352620 Juquitiba";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"352630 Lagoinha";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"352640 Laranjal Paulista";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;10;-;-;-;-;-;1;3;-;2;-;-;-;-;-;-;-;4;-;34
"352650 Lavínia";-;3;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352660 Lavrinhas";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
