"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"105-8 Órgão Público do Poder Legislativo Estadual ou do Distrito Federal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"232-1 Sociedade Unipessoal de Advogados";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"351400 Dobrada";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351410 Dois Córregos";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;3;-;20
"351420 Dolcinópolis";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"351440 Dracena";-;2;-;-;-;-;-;-;-;-;2;15;-;-;-;-;-;28;-;4;2;-;-;-;6;-;3;-;-;-;-;-;-;-;3;-;65
"351450 Duartina";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;8;-;6;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;25
"351460 Dumont";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351470 Echaporã";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351480 Eldorado";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351490 Elias Fausto";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351492 Elisiário";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351500 Embu das Artes";-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;15;-;4;-;-;-;-;3;-;3;-;-;-;-;-;-;-;-;-;59
"351510 Embu-Guaçu";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;7;-;3;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;36
"351512 Emilianópolis";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;17
"351518 Espírito Santo do Pinhal";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;14;-;2;1;-;-;-;16;-;2;-;-;1;-;-;1;-;5;-;56
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355730 Estiva Gerbi";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;9
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;2;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3;-;14
"351530 Estrela do Norte";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351540 Fartura";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;4;-;4;-;-;-;-;-;-;2;-;-;-;-;-;-;-;3;-;19
"351560 Fernando Prestes";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351550 Fernandópolis";-;2;-;-;-;-;-;-;-;-;1;37;-;-;-;-;-;96;-;39;2;-;-;2;30;-;4;1;-;3;-;-;-;-;4;-;221
"351565 Fernão";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;1;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;6;-;3;-;-;-;-;5;-;2;-;-;-;-;-;-;-;1;-;53
"351580 Flora Rica";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351590 Floreal";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351600 Flórida Paulista";-;1;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;14
"351610 Florínia";-;1;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351620 Franca";-;6;-;-;-;1;-;-;1;-;-;52;-;-;-;-;2;114;-;36;1;-;-;6;139;-;27;5;-;3;-;-;-;-;6;-;399
"351630 Francisco Morato";-;1;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;3;-;-;-;-;3;-;1;-;-;-;-;-;-;-;3;-;53
"351640 Franco da Rocha";-;13;-;-;-;-;-;-;2;-;-;34;-;-;-;-;-;18;-;6;-;-;-;1;4;-;2;-;-;-;-;-;-;-;2;-;82
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;6
"351670 Garça";-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;6;-;2;-;-;-;-;5;-;1;-;-;-;-;-;1;-;3;-;44
"351680 Gastão Vidigal";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351690 General Salgado";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;15
"351700 Getulina";-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"351710 Glicério";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351730 Guaimbê";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351740 Guaíra";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;10;-;-;1;-;-;2;5;-;1;-;-;-;-;-;-;-;2;-;36
"351750 Guapiaçu";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19
"351760 Guapiara";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;19
"351770 Guará";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;4;-;6;-;-;-;1;2;-;-;-;-;-;-;-;-;-;2;-;29
"351780 Guaraçaí";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"351790 Guaraci";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351810 Guarantã";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351820 Guararapes";-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;11;-;3;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;34
"351830 Guararema";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;2;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;15
"351840 Guaratinguetá";1;1;-;-;-;-;-;-;-;-;-;32;-;-;-;3;1;54;-;21;-;-;-;-;31;-;2;1;-;-;1;-;-;-;12;-;160
"351850 Guareí";-;2;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"351860 Guariba";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;1;-;4;-;-;2;-;-;1;6;-;-;-;-;-;-;-;-;-;1;-;27
"351870 Guarujá";-;1;-;-;-;-;-;-;-;-;-;59;-;-;-;-;4;60;-;14;3;-;-;-;18;-;5;1;-;-;-;-;-;-;17;-;182
"351880 Guarulhos";-;6;-;-;-;-;-;-;3;-;-;140;-;-;-;7;6;183;-;31;6;-;-;2;145;-;29;7;-;-;-;-;-;2;13;-;580
"351885 Guatapará";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"351890 Guzolândia";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;13
"351905 Holambra";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;11
"351907 Hortolândia";-;4;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;46;-;6;-;-;-;-;4;-;11;-;-;-;-;-;-;-;2;-;120
"351910 Iacanga";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;12
"351920 Iacri";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"351925 Iaras";-;1;-;-;-;-;-;-;2;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"351930 Ibaté";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;2;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;1;-;20
"351940 Ibirá";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;8;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;18
"351950 Ibirarema";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351960 Ibitinga";-;-;1;-;-;-;-;-;-;-;-;21;-;-;-;-;-;15;-;3;1;-;-;-;16;-;-;-;-;-;-;-;-;-;1;-;58
"351970 Ibiúna";-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;6;-;4;1;-;-;1;3;-;2;-;-;-;-;1;-;-;2;-;46
"351980 Icém";-;1;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;17
"351990 Iepê";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;3;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"352010 Igarapava";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;9;-;4;-;-;-;1;2;-;-;-;-;-;-;-;-;-;2;-;33
"352020 Igaratá";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352030 Iguape";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;-;2;-;19
"352042 Ilha Comprida";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"352044 Ilha Solteira";-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;14;-;-;-;-;7;-;2;1;-;-;-;-;-;-;3;-;65
"352040 Ilhabela";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;25
"352050 Indaiatuba";-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;1;-;95;-;12;-;-;-;2;42;-;8;2;-;1;-;1;-;-;5;-;204
"352060 Indiana";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352070 Indiaporã";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"352080 Inúbia Paulista";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;14
"352100 Iperó";-;1;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"352110 Ipeúna";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"352115 Ipiguá";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352130 Ipuã";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;4;-;4;-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;22
"352140 Iracemápolis";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;7;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;24
"352150 Irapuã";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352160 Irapuru";-;1;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352170 Itaberá";-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;23
"352180 Itaí";-;1;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;3;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;23
"352190 Itajobi";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;6;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;20
"352200 Itaju";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";-;1;-;-;-;-;-;-;-;-;-;34;-;-;-;-;1;12;-;4;-;-;-;-;7;-;5;-;-;-;-;-;-;-;2;-;66
"352215 Itaóca";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352220 Itapecerica da Serra";-;2;-;-;-;-;21;-;-;-;-;1;-;-;-;-;-;11;-;2;-;-;-;1;7;-;2;-;-;-;-;-;-;-;2;-;49
"352230 Itapetininga";-;5;-;-;-;-;-;-;1;-;-;43;-;-;-;-;-;55;-;12;3;-;-;-;16;-;7;-;-;1;-;-;2;-;5;-;150
"352240 Itapeva";-;2;-;-;-;-;-;-;-;-;-;41;-;-;-;-;1;33;-;7;3;-;-;-;8;-;10;-;-;-;-;-;-;-;8;-;113
"352250 Itapevi";-;2;-;-;-;-;-;-;-;-;-;37;-;-;-;-;4;27;-;4;-;-;-;1;13;-;3;-;-;-;-;-;-;-;1;-;92
"352260 Itapira";-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;8;-;1;-;-;-;9;13;-;7;-;-;1;-;-;-;-;2;-;66
"352265 Itapirapuã Paulista";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352270 Itápolis";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;10;-;3;-;-;-;-;9;-;-;-;-;-;-;-;-;-;2;-;37
"352280 Itaporanga";-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;13
"352290 Itapuí";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"352300 Itapura";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352310 Itaquaquecetuba";-;1;-;-;-;-;-;-;-;-;-;38;-;-;-;-;1;22;-;2;-;-;-;-;6;-;1;-;-;-;-;-;-;-;1;-;72
"352320 Itararé";-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;35
"352330 Itariri";-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"352340 Itatiba";-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;49;-;5;2;-;-;4;20;-;4;1;-;-;-;-;-;-;4;-;125
"352350 Itatinga";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"352360 Itirapina";-;2;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"352370 Itirapuã";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352380 Itobi";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352390 Itu";-;3;-;-;-;-;-;-;-;-;-;47;-;-;-;1;1;85;-;8;2;-;-;-;9;-;4;-;-;-;2;-;-;-;8;1;171
"352400 Itupeva";-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;1;5;-;2;1;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;36
"352410 Ituverava";-;1;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;37;-;10;3;-;-;-;20;-;5;-;-;-;-;-;-;-;4;-;99
"352420 Jaborandi";-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"352430 Jaboticabal";-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;1;12;-;2;5;-;-;30;9;-;2;1;-;-;-;-;-;-;5;-;91
"352440 Jacareí";-;-;-;-;-;-;-;-;1;-;-;39;-;-;-;1;2;61;-;10;2;-;-;1;89;-;4;2;-;-;-;-;-;-;6;-;218
"352450 Jaci";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;14
"352470 Jaguariúna";-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;15;-;1;-;-;-;-;9;-;2;-;-;-;-;-;-;-;4;-;60
"352480 Jales";-;2;-;-;-;-;-;-;-;-;1;26;-;-;-;-;-;69;-;10;-;-;-;2;13;-;7;-;-;1;-;-;-;-;3;-;134
"352490 Jambeiro";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352500 Jandira";-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;6;-;2;-;-;-;-;4;-;2;-;-;-;-;-;-;-;1;-;38
"352510 Jardinópolis";-;1;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;4;-;1;-;-;-;-;4;-;-;2;-;-;-;-;-;-;3;-;35
"352520 Jarinu";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;20
"352530 Jaú";-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;47;-;7;2;-;-;1;59;-;5;1;-;2;-;-;1;-;4;-;173
"352540 Jeriquara";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352550 Joanópolis";-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;6
"352560 João Ramalho";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352570 José Bonifácio";-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;10;-;7;-;-;-;1;13;-;-;-;-;-;-;-;-;-;2;-;46
"352580 Júlio Mesquita";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3
"352585 Jumirim";-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352590 Jundiaí";-;4;-;-;-;-;2;-;-;-;-;71;-;-;-;3;14;210;-;25;5;-;-;48;160;-;14;7;-;-;-;-;5;-;26;-;594
"352600 Junqueirópolis";-;1;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;19
"352610 Juquiá";-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"352620 Juquitiba";-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;11
"352630 Lagoinha";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"352640 Laranjal Paulista";-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;10;-;-;-;-;-;1;3;-;2;-;-;-;-;-;-;-;2;-;32
"352650 Lavínia";-;3;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352660 Lavrinhas";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;34;-;2;2;-;-;27;7;-;6;6;-;-;-;-;1;-;4;-;121
"352680 Lençóis Paulista";-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;1;-;35;-;7;2;-;-;1;1;-;7;-;-;1;-;-;-;-;5;-;80
"352690 Limeira";-;2;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;109;-;20;5;-;-;3;19;-;14;1;-;-;2;1;-;-;13;-;244
"352700 Lindóia";-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"352710 Lins";-;3;-;-;-;-;-;-;-;-;-;25;-;-;-;-;2;60;-;51;4;-;-;5;33;-;10;-;-;1;-;-;4;-;9;-;207
"352720 Lorena";-;1;-;-;-;-;-;-;1;-;-;29;-;-;-;2;-;31;-;5;3;-;-;-;14;-;1;-;-;-;-;-;-;-;4;-;91
"352725 Lourdes";-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352730 Louveira";-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;7;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;25
"352740 Lucélia";-;1;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;7;-;5;-;-;-;-;4;-;-;-;-;-;-;-;-;-;2;-;26
