"Município";"101-5 Órgão Público do Poder Executivo Federal";"102-3 Órgão Público do Poder Executivo Estadual ou do Distrito Federal";"103-1 Órgão Público do Poder Executivo Municipal";"110-4 Autarquia Federal";"111-2 Autarquia Estadual ou do Distrito Federal";"112-0 Autarquia Municipal";"113-9 Fundação Pública de Direito Público Federal";"114-7 Fundação Pública de Direito Público Estadual ou do Distrito Federal";"115-5 Fundação Pública de Direito Público Municipal";"121-0 Consórcio Público de Direito Público (Associação Pública)";"124-4 Município";"127-9 Fundação Pública de Direito Privado Municipal";"201-1 Empresa Pública";"203-8 Sociedade de Economia Mista";"204-6 Sociedade Anônima Aberta";"205-4 Sociedade Anônima Fechada";"206-2 Sociedade Empresária Limitada";"212-7 Sociedade em Conta de Participação";"213-5 Empresário (Individual)";"214-3 Cooperativa";"215-1 Consórcio de Sociedades";"221-6 Empresa Domiciliada no Exterior";"223-2 Sociedade Simples Pura";"224-0 Sociedade Simples Limitada";"225-9 Sociedade Simples em Nome Coletivo";"230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)";"231-3 Empresa Individual de Responsabilidade Limitada (de Natureza Simples)";"232-1 Sociedade Unipessoal de Advogados";"306-9 Fundação Privada";"307-7 Serviço Social Autônomo";"308-5 Condomínio Edilício";"313-1 Entidade Sindical";"322-0 Organização Religiosa";"399-9 Associação Privada";"401-4 Empresa Individual Imobiliária";"Total"
"351360 Cunha";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;16
"351370 Descalvado";-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;29;-;7;-;-;-;1;1;-;1;1;-;-;-;-;-;-;5;-;65
"351380 Diadema";-;3;-;-;-;-;-;-;-;-;50;-;-;-;1;3;33;-;2;-;-;-;-;36;-;8;3;-;-;-;-;-;-;2;-;141
"351385 Dirce Reis";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351390 Divinolândia";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;8;-;4;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;24
"351400 Dobrada";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351410 Dois Córregos";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;3;-;20
"351420 Dolcinópolis";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12
"351440 Dracena";-;2;-;-;-;-;-;-;-;2;14;-;-;-;-;-;30;-;3;2;-;-;-;6;-;5;-;-;-;-;-;-;-;3;-;67
"351450 Duartina";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;10;-;9;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;29
"351460 Dumont";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351470 Echaporã";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351480 Eldorado";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351490 Elias Fausto";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351492 Elisiário";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351495 Embaúba";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351500 Embu das Artes";-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;21;-;6;-;-;-;-;4;-;8;-;-;-;-;-;-;-;-;-;73
"351510 Embu-Guaçu";-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;7;-;3;-;-;-;-;3;-;-;-;-;-;-;-;-;-;2;-;38
"351512 Emilianópolis";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;4;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;19
"351518 Espírito Santo do Pinhal";-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;15;-;3;1;-;-;-;16;-;1;-;-;1;-;-;1;-;5;-;58
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355730 Estiva Gerbi";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;3;-;15
"351530 Estrela do Norte";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351540 Fartura";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;4;-;5;-;-;-;-;-;-;3;-;-;-;-;-;-;-;3;-;21
"351560 Fernando Prestes";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351550 Fernandópolis";-;2;-;-;-;-;-;-;-;1;38;-;-;-;-;-;113;-;37;2;-;-;2;33;-;3;1;-;3;-;-;-;-;4;-;239
"351565 Fernão";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;1;-;-;-;-;-;-;-;-;34;-;-;-;-;-;8;-;4;-;-;-;-;5;-;1;-;-;-;-;-;-;-;1;-;54
"351580 Flora Rica";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351590 Floreal";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351600 Flórida Paulista";-;1;-;-;-;-;-;-;-;-;9;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;14
"351610 Florínia";-;1;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"351620 Franca";-;6;-;-;1;-;-;1;-;-;56;-;-;-;-;1;60;-;17;1;-;-;2;36;-;14;3;-;3;-;-;-;-;5;-;206
"351630 Francisco Morato";-;1;23;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;4;-;-;-;-;3;-;-;1;-;-;-;-;-;-;3;-;59
"351640 Franco da Rocha";-;14;-;-;-;-;-;2;-;-;36;-;-;-;-;-;17;-;7;-;-;-;1;4;-;4;-;-;-;-;-;-;-;2;-;87
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351660 Gália";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;6
"351670 Garça";-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;6;-;2;-;-;-;-;4;-;2;-;-;-;-;-;1;-;4;-;44
"351680 Gastão Vidigal";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;15
"351700 Getulina";-;1;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"351710 Glicério";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351730 Guaimbê";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351740 Guaíra";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;12;-;1;1;-;-;2;5;-;1;-;-;-;-;-;-;-;2;-;40
"351750 Guapiaçu";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"351760 Guapiara";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;21
"351770 Guará";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;5;-;8;-;-;-;1;2;-;-;-;-;-;-;-;-;-;2;-;34
"351780 Guaraçaí";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"351790 Guaraci";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351810 Guarantã";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351820 Guararapes";-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;12;-;5;-;-;-;-;2;-;-;-;-;-;-;-;1;-;2;-;38
"351830 Guararema";-;-;-;-;-;-;-;-;-;-;10;-;-;-;1;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;16
"351840 Guaratinguetá";1;2;-;-;-;-;-;-;-;-;36;-;-;-;4;1;63;-;25;-;-;-;-;29;-;2;1;-;-;1;-;-;-;12;-;177
"351850 Guareí";-;2;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12
"351860 Guariba";-;-;-;-;-;-;-;-;-;-;13;-;-;-;1;-;3;-;-;2;-;-;1;7;-;-;-;-;-;-;-;-;-;1;-;28
"351870 Guarujá";-;1;-;-;-;-;-;-;-;-;61;-;-;-;-;4;66;-;17;3;-;-;-;20;-;6;1;-;-;-;-;-;-;16;-;195
"351880 Guarulhos";-;7;-;-;-;-;-;3;-;-;144;-;-;-;5;3;138;-;27;6;-;-;2;95;-;27;5;-;-;-;-;-;2;10;-;474
"351885 Guatapará";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"351890 Guzolândia";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14
"351905 Holambra";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;3;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;13
"351907 Hortolândia";-;4;-;-;-;-;-;-;-;-;48;-;-;-;-;-;54;-;7;-;-;-;-;4;-;14;-;-;-;-;-;-;-;2;-;133
"351910 Iacanga";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;12
"351920 Iacri";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"351925 Iaras";-;1;-;-;-;-;-;2;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"351930 Ibaté";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;4;-;1;-;-;-;1;4;-;-;-;-;-;-;-;-;-;1;-;25
"351940 Ibirá";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;9;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;19
"351950 Ibirarema";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351960 Ibitinga";-;-;1;-;-;-;-;-;-;-;23;-;-;-;-;-;18;-;5;1;-;-;-;14;-;1;-;-;1;-;-;-;-;3;-;67
"351970 Ibiúna";-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;7;-;5;1;-;-;1;2;-;2;-;-;-;-;1;-;-;3;-;49
"351980 Icém";-;1;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;17
"351990 Iepê";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;3;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;10
"352010 Igarapava";-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;10;-;6;-;-;-;1;2;-;1;1;-;-;-;-;-;-;2;-;38
"352020 Igaratá";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"352030 Iguape";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;3;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;-;3;-;21
"352042 Ilha Comprida";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"352044 Ilha Solteira";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;18;-;-;-;-;7;-;2;1;-;-;-;-;-;-;3;-;68
"352040 Ilhabela";-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;28
"352050 Indaiatuba";-;1;-;-;-;-;-;-;-;-;37;-;-;-;1;-;106;-;15;-;-;-;2;36;-;8;3;-;1;-;1;-;-;5;-;216
"352060 Indiana";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352070 Indiaporã";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;4
"352080 Inúbia Paulista";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;2;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;15
"352100 Iperó";-;1;-;-;-;-;-;-;-;-;14;-;-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"352110 Ipeúna";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"352115 Ipiguá";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352120 Iporanga";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352130 Ipuã";-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;3;-;8;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;24
"352140 Iracemápolis";-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;9;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;26
"352150 Irapuã";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"352160 Irapuru";-;1;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352170 Itaberá";-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"352180 Itaí";-;1;-;-;-;-;-;-;-;-;13;-;-;-;-;-;1;-;3;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;22
"352190 Itajobi";-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;6;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;20
"352200 Itaju";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"352210 Itanhaém";-;1;-;-;-;-;-;-;-;-;34;-;-;-;-;1;15;-;4;-;-;-;-;7;-;5;-;-;-;-;-;-;-;2;-;69
"352215 Itaóca";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352220 Itapecerica da Serra";-;2;-;-;-;21;-;-;-;-;1;-;-;-;-;-;19;-;2;-;-;-;1;4;-;4;-;-;-;-;-;-;-;3;-;57
"352230 Itapetininga";-;5;-;-;-;-;-;1;-;-;50;-;-;-;1;-;62;-;15;3;-;-;-;17;-;7;-;-;1;-;-;2;-;5;-;169
"352240 Itapeva";-;3;-;-;-;-;-;-;-;-;41;-;-;-;-;1;33;-;9;3;-;-;-;6;-;12;-;-;-;-;-;-;-;8;-;116
"352250 Itapevi";-;2;-;-;-;-;-;-;-;-;41;-;-;-;-;3;30;-;6;-;-;-;1;14;-;3;-;-;-;-;-;-;-;1;-;101
"352260 Itapira";-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;9;-;1;-;-;-;9;15;-;6;4;-;1;-;-;-;-;2;-;72
"352265 Itapirapuã Paulista";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352270 Itápolis";-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;12;-;5;-;-;-;-;10;-;-;1;-;-;-;-;-;-;3;-;44
"352280 Itaporanga";1;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;2;-;1;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3;-;19
"352290 Itapuí";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;12
"352300 Itapura";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352310 Itaquaquecetuba";-;1;-;-;-;-;-;-;-;-;38;-;-;-;1;1;28;-;5;-;-;-;-;6;-;1;-;-;-;-;-;-;-;2;-;83
"352320 Itararé";-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;7;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4;1;38
"352330 Itariri";-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"352340 Itatiba";-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;62;-;4;2;-;-;4;16;-;5;1;-;-;-;-;-;-;4;-;137
"352350 Itatinga";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"352360 Itirapina";-;2;-;-;-;-;-;-;-;-;10;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;16
"352370 Itirapuã";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"352380 Itobi";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352390 Itu";-;3;-;-;-;-;-;-;-;-;51;-;-;-;1;1;90;-;11;2;-;-;-;8;-;5;1;-;-;2;-;-;-;6;1;182
"352400 Itupeva";-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;1;7;-;3;1;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;42
"352410 Ituverava";-;1;-;-;-;-;-;-;-;-;30;-;-;-;-;-;42;-;17;4;-;-;-;20;-;5;-;-;-;-;-;-;-;4;-;123
"352420 Jaborandi";-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"352430 Jaboticabal";-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;1;14;-;4;4;-;-;34;11;-;3;1;-;-;-;-;-;-;5;-;105
"352440 Jacareí";-;-;-;-;-;-;-;1;-;-;40;-;-;-;1;2;66;-;15;2;-;-;4;79;-;7;2;-;-;-;-;-;-;7;-;226
"352450 Jaci";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;9
"352460 Jacupiranga";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;15
"352470 Jaguariúna";-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;22;-;1;-;-;-;-;9;-;2;-;-;-;-;-;-;-;4;-;69
"352480 Jales";-;3;-;-;-;-;-;-;-;1;26;-;-;-;-;-;79;-;11;-;-;-;3;13;-;10;-;-;1;-;-;-;-;3;-;150
"352490 Jambeiro";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;6
"352500 Jandira";-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;8;-;3;-;-;-;-;2;-;2;1;-;-;-;-;-;-;1;-;46
"352510 Jardinópolis";-;1;-;-;-;-;-;-;-;-;20;-;-;-;-;-;5;-;1;-;-;-;-;3;-;1;2;-;-;-;-;-;-;3;-;36
"352520 Jarinu";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;22
"352530 Jaú";-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;55;-;8;3;-;-;1;57;-;3;1;-;2;-;-;1;-;4;-;173
"352540 Jeriquara";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352550 Joanópolis";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;6
"352560 João Ramalho";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352570 José Bonifácio";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;15;-;8;-;-;-;1;12;-;1;-;-;-;-;-;-;-;2;-;53
"352580 Júlio Mesquita";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5
"352585 Jumirim";-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352590 Jundiaí";-;4;-;-;-;2;-;-;-;-;74;-;-;-;5;15;237;-;32;4;-;-;58;161;-;21;7;-;-;-;-;5;-;26;-;651
"352600 Junqueirópolis";-;1;-;-;-;-;-;-;-;-;14;-;-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;21
"352610 Juquiá";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"352620 Juquitiba";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"352630 Lagoinha";-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;8
"352640 Laranjal Paulista";-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;10;-;-;-;-;-;1;3;-;2;-;-;-;-;-;-;-;4;-;34
"352650 Lavínia";-;3;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352660 Lavrinhas";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;42;-;4;2;-;-;27;6;-;7;6;-;-;-;-;1;-;4;-;134
"352680 Lençóis Paulista";-;-;-;-;-;-;-;-;-;-;20;-;-;-;1;-;35;-;9;1;-;-;1;1;-;7;-;-;1;-;-;-;-;5;-;81
"352690 Limeira";-;2;-;-;-;-;-;2;-;-;56;-;-;-;-;1;132;-;36;5;-;-;3;20;-;16;2;-;-;2;1;-;-;15;-;293
"352700 Lindóia";-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"352710 Lins";-;3;-;-;-;-;-;-;-;-;26;-;-;-;-;2;72;-;54;4;-;-;6;33;-;11;-;-;1;-;-;4;-;7;-;223
"352720 Lorena";-;1;-;-;-;-;-;1;-;-;29;-;-;-;3;-;38;-;8;3;-;-;-;12;-;2;1;-;-;-;-;-;-;4;-;102
"352725 Lourdes";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352730 Louveira";-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;6;-;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3;-;25
