"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"351370 Descalvado";-;1;-;-;-;1;-;11;-;-;11;74;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;3;2;-;-;-;-;106
"351380 Diadema";-;1;2;-;-;5;-;21;-;-;26;66;-;-;-;4;2;-;-;17;-;1;-;2;1;-;-;-;12;2;-;26;-;-;188
"351385 Dirce Reis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;-;-;-;2;-;-;2;11;-;-;-;1;-;-;-;1;3;-;-;-;-;-;-;-;2;1;-;-;-;-;23
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;6
"351410 Dois Córregos";-;-;-;-;-;1;-;4;-;-;5;24;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;5;1;-;-;-;-;42
"351420 Dolcinópolis";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;2;-;-;1;2;-;-;-;1;-;-;-;-;-;12
"351440 Dracena";-;-;-;-;-;1;-;10;-;-;1;157;-;-;-;1;-;-;-;5;-;-;-;-;1;-;-;-;8;1;-;-;-;-;185
"351450 Duartina";-;-;-;-;-;-;-;5;-;-;1;25;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;39
"351460 Dumont";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351470 Echaporã";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;6
"351480 Eldorado";-;-;-;-;-;-;-;3;-;-;3;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"351490 Elias Fausto";-;-;-;-;-;-;-;4;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;10
"351492 Elisiário";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351495 Embaúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"351500 Embu das Artes";-;1;1;-;-;2;-;15;-;-;7;12;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;1;1;-;3;-;-;47
"351510 Embu-Guaçu";-;1;-;-;-;1;-;8;-;-;2;3;-;-;-;-;-;-;-;4;-;-;-;-;1;1;-;-;2;1;1;2;-;-;27
"351512 Emilianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;5;-;-;4;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;14
"351518 Espírito Santo do Pinhal";-;-;-;-;-;2;-;5;1;-;14;108;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;1;-;-;141
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;-;-;3;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;1;-;-;11
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;1;-;-;1;11;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;17
"351530 Estrela do Norte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;9
"351540 Fartura";-;-;-;-;-;-;-;4;-;-;2;20;-;-;-;1;-;-;-;1;-;-;-;-;2;1;-;-;3;-;-;1;-;-;35
"351560 Fernando Prestes";-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;7
"351550 Fernandópolis";-;1;1;-;1;2;-;16;-;-;49;148;1;14;-;2;1;-;1;4;1;-;-;-;1;-;-;-;24;1;-;4;-;-;272
"351565 Fernão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;1;-;-;1;-;13;-;-;12;6;-;-;-;1;-;-;-;2;1;-;-;-;1;-;-;-;5;2;-;3;-;-;48
"351580 Flora Rica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351590 Floreal";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"351600 Flórida Paulista";-;-;-;-;-;-;-;4;-;-;-;4;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;15
"351610 Florínia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351620 Franca";-;2;1;-;1;1;-;22;1;-;61;564;-;2;1;3;-;-;-;3;-;1;-;1;2;-;-;-;27;2;-;5;2;-;702
"351630 Francisco Morato";-;-;-;-;-;2;-;12;-;-;6;21;-;1;-;2;-;-;-;3;-;-;-;-;1;-;-;-;2;-;-;-;1;-;51
"351640 Franco da Rocha";-;1;-;1;-;1;-;12;1;-;7;36;-;2;2;3;-;-;-;-;-;1;-;-;1;-;-;-;5;5;-;-;-;-;78
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;-;2;-;-;2;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;13
"351670 Garça";1;-;-;1;-;2;-;13;-;-;6;33;-;1;2;1;-;-;-;1;-;1;-;-;1;-;-;-;2;1;-;-;-;1;67
"351680 Gastão Vidigal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;-;-;1;-;-;3;7;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;18
"351700 Getulina";-;-;-;-;-;-;-;3;-;-;-;8;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;13
"351710 Glicério";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;2;-;-;-;7;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;14
"351730 Guaimbê";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;5
"351740 Guaíra";1;1;-;-;-;1;-;8;-;-;7;42;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;3;-;-;1;-;-;67
"351750 Guapiaçu";-;-;-;-;-;1;-;8;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;22
"351760 Guapiara";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7;-;-;1;1;-;-;-;-;-;-;-;-;-;13
"351770 Guará";2;-;-;-;-;1;-;5;1;-;5;25;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;45
"351780 Guaraçaí";1;-;-;-;-;-;-;1;-;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;15
"351790 Guaraci";-;-;-;-;-;-;-;4;-;-;1;5;-;1;-;-;-;-;1;2;-;-;-;-;1;-;-;-;1;1;-;1;-;-;18
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351810 Guarantã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;5
"351820 Guararapes";-;-;-;-;-;-;-;4;-;-;2;25;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;37
"351830 Guararema";-;-;-;-;-;1;-;3;-;-;-;12;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;21
"351840 Guaratinguetá";-;1;1;-;-;1;-;12;-;-;15;186;-;1;-;2;2;-;-;17;3;-;-;1;1;-;-;-;12;1;-;4;1;-;261
"351850 Guareí";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;7
"351860 Guariba";-;-;-;-;-;-;-;5;-;-;5;21;-;-;-;1;-;-;-;4;-;1;-;-;1;-;-;-;5;-;-;1;-;-;44
"351870 Guarujá";-;1;-;-;-;4;-;23;-;-;37;171;-;2;1;2;3;-;-;-;-;7;-;2;1;-;-;1;30;1;-;9;-;-;295
"351880 Guarulhos";1;1;1;-;3;7;-;73;-;-;154;307;-;1;3;10;-;-;-;39;1;1;-;4;1;-;-;-;52;1;-;18;-;-;678
"351885 Guatapará";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"351890 Guzolândia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;4;1;-;-;1;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"351905 Holambra";-;-;-;-;-;-;-;3;-;-;2;8;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;16
"351907 Hortolândia";1;-;1;-;-;3;-;22;-;-;14;50;-;3;-;2;1;-;-;7;-;3;-;-;1;-;-;-;7;1;-;8;2;-;126
"351910 Iacanga";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;12
"351920 Iacri";-;-;-;-;-;-;-;2;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"351925 Iaras";1;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"351930 Ibaté";-;-;-;-;-;-;-;8;-;-;1;15;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;5;1;-;-;-;-;32
"351940 Ibirá";-;-;-;-;-;-;-;3;-;-;1;5;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;16
"351950 Ibirarema";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;6
"351960 Ibitinga";-;-;-;-;-;-;-;7;-;-;2;90;-;-;-;2;-;-;-;1;-;-;2;-;1;-;-;-;11;-;-;1;-;-;117
"351970 Ibiúna";-;1;-;-;-;1;-;17;-;-;4;14;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;43
"351980 Icém";1;-;-;-;-;-;-;2;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;13
"351990 Iepê";-;-;-;-;-;-;-;3;-;-;3;5;-;5;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;19
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;4;-;-;3;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;13
"352010 Igarapava";-;-;-;-;-;-;-;7;-;-;3;36;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;4;-;-;-;-;-;53
"352020 Igaratá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;5
"352030 Iguape";-;-;-;-;-;1;-;6;-;-;1;6;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;3;-;1;-;-;-;20
"352042 Ilha Comprida";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;7
"352044 Ilha Solteira";-;1;-;1;-;-;-;12;-;-;10;57;-;-;-;1;-;-;-;4;-;-;-;-;1;-;-;-;3;-;-;-;-;-;90
"352040 Ilhabela";-;-;-;-;-;1;-;9;-;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;2;-;-;22
"352050 Indaiatuba";-;-;-;-;1;3;-;13;-;-;47;224;-;-;1;2;3;-;-;18;-;1;-;-;1;-;-;-;24;1;-;1;2;-;342
"352060 Indiana";-;-;-;-;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"352070 Indiaporã";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352080 Inúbia Paulista";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352090 Ipaussu";-;-;-;-;-;-;-;3;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;16
"352100 Iperó";-;1;-;-;-;1;-;5;-;-;-;12;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;25
"352110 Ipeúna";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;6
"352115 Ipiguá";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;4
"352130 Ipuã";-;-;-;-;-;-;-;4;-;-;1;19;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;2;-;-;-;-;-;30
"352140 Iracemápolis";-;-;-;-;-;-;-;3;-;-;2;9;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;18
"352150 Irapuã";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352160 Irapuru";1;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"352170 Itaberá";-;1;-;-;-;-;-;5;-;-;1;-;-;-;-;2;-;-;-;-;4;-;-;-;1;-;-;-;2;-;-;-;1;-;17
"352180 Itaí";-;-;-;-;-;-;-;8;-;-;-;15;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;3;-;-;1;-;-;30
"352190 Itajobi";-;-;-;-;-;-;-;5;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;16
"352200 Itaju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";1;-;1;-;-;3;-;10;-;-;16;16;-;2;-;1;-;-;-;2;-;-;-;1;1;-;-;-;2;-;-;6;-;-;62
"352215 Itaóca";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352220 Itapecerica da Serra";-;-;-;-;-;1;-;12;-;-;5;18;-;-;2;1;-;-;-;2;-;-;-;2;1;-;-;-;2;-;-;2;-;-;48
"352230 Itapetininga";-;1;1;1;-;2;-;25;-;-;18;249;-;-;-;2;-;-;-;5;7;-;-;-;1;-;-;-;16;1;-;3;-;-;332
"352240 Itapeva";-;1;1;-;-;2;-;24;-;-;16;106;-;2;-;1;1;-;-;18;-;1;-;-;1;-;-;-;6;1;-;2;-;-;183
"352250 Itapevi";-;1;1;-;-;3;-;14;-;-;17;20;-;2;-;2;-;-;-;2;-;-;-;4;1;-;-;-;4;1;-;6;1;-;79
"352260 Itapira";1;-;-;-;-;1;-;16;-;-;11;123;-;-;3;2;-;-;-;7;-;-;-;-;1;-;-;-;10;-;-;2;-;-;177
"352265 Itapirapuã Paulista";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"352270 Itápolis";-;-;-;-;-;1;-;8;-;-;8;58;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;7;-;-;1;-;-;86
"352280 Itaporanga";-;-;-;-;-;-;-;5;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;2;1;-;1;-;-;14
"352290 Itapuí";-;-;-;-;-;-;-;4;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"352300 Itapura";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"352310 Itaquaquecetuba";-;1;1;-;-;-;-;17;-;-;10;6;-;2;-;1;-;-;1;6;-;2;-;-;1;-;-;-;5;3;-;6;1;-;63
"352320 Itararé";1;1;-;-;-;1;-;7;-;-;9;45;-;1;-;1;-;-;-;-;5;-;-;-;1;-;-;-;6;-;-;1;-;-;79
"352330 Itariri";-;-;-;-;-;-;-;5;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;10
"352340 Itatiba";-;-;-;-;-;2;-;18;-;-;24;61;-;1;-;2;1;-;-;4;-;2;-;-;1;-;-;-;13;2;-;1;1;-;133
"352350 Itatinga";-;-;-;-;-;-;-;2;-;-;1;13;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;18
"352360 Itirapina";-;-;-;-;-;-;-;4;-;-;1;17;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;1;-;-;28
"352370 Itirapuã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;5
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352390 Itu";-;1;-;-;-;2;-;17;-;-;12;149;-;1;2;1;-;-;-;47;-;3;-;-;1;-;-;-;18;-;-;-;2;-;256
"352400 Itupeva";-;-;-;-;-;1;-;13;-;-;4;18;1;-;1;1;-;-;-;2;-;-;-;-;1;-;-;-;5;-;-;-;1;-;48
"352410 Ituverava";-;-;-;-;-;1;-;12;1;-;8;125;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;10;1;-;1;-;-;163
"352420 Jaborandi";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;8
"352430 Jaboticabal";-;1;-;-;-;2;-;10;-;-;13;77;-;1;-;2;-;-;-;12;-;1;-;-;1;-;-;-;8;1;-;1;-;-;130
"352440 Jacareí";-;1;-;-;2;2;-;19;-;-;27;258;-;-;-;5;1;-;-;7;-;1;-;1;1;-;-;-;23;1;-;-;-;-;349
"352450 Jaci";-;-;-;-;-;-;-;3;-;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;5;-;-;1;6;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;17
"352470 Jaguariúna";-;1;-;-;-;1;-;8;1;-;5;31;-;1;-;1;1;-;-;12;1;1;-;-;1;-;-;-;8;-;-;-;2;-;75
"352480 Jales";-;1;1;-;-;1;-;11;-;-;10;148;-;-;1;1;-;-;-;2;-;1;-;1;1;-;-;-;16;2;-;3;-;-;200
"352490 Jambeiro";-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352500 Jandira";-;1;-;-;-;1;-;9;-;-;5;9;-;1;-;1;1;-;-;3;-;-;-;-;1;-;-;-;1;-;-;1;-;-;34
"352510 Jardinópolis";-;-;-;-;-;-;-;8;-;-;6;26;-;-;-;-;-;-;-;3;-;1;-;-;1;-;-;-;1;-;-;1;-;-;47
"352520 Jarinu";-;1;-;-;-;-;-;3;-;-;3;7;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3;-;1;-;-;-;20
"352530 Jaú";-;-;1;-;-;1;-;15;-;-;56;325;-;-;2;1;-;-;-;1;-;1;-;-;1;-;-;-;12;-;-;2;-;-;418
"352540 Jeriquara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352550 Joanópolis";-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;9
"352560 João Ramalho";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352570 José Bonifácio";-;-;-;-;-;-;-;7;-;-;2;21;-;-;-;1;-;-;-;4;-;-;-;-;1;-;-;-;5;-;-;1;-;-;42
"352580 Júlio Mesquita";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352585 Jumirim";-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352590 Jundiaí";1;2;1;-;5;3;-;37;-;-;196;1139;-;2;1;6;4;-;-;13;-;5;-;-;1;1;-;1;53;1;-;5;-;-;1477
"352600 Junqueirópolis";-;-;-;-;-;1;-;10;-;-;1;10;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;28
"352610 Juquiá";-;-;-;-;-;-;-;5;-;-;-;2;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;3;-;-;-;-;-;13
"352620 Juquitiba";-;-;-;-;-;1;-;4;-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;2;-;-;14
"352630 Lagoinha";-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"352640 Laranjal Paulista";-;-;-;-;-;1;-;6;-;-;5;51;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;6;-;-;-;-;-;73
"352650 Lavínia";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"352660 Lavrinhas";-;-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"352670 Leme";-;-;-;-;-;2;-;14;-;-;17;109;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;13;2;-;-;1;-;162
"352680 Lençóis Paulista";-;1;-;-;-;-;-;10;-;-;4;109;-;-;-;1;1;-;-;2;-;-;-;1;1;-;-;-;18;-;-;1;1;-;150
"352690 Limeira";-;-;1;-;-;2;-;29;-;-;47;438;-;-;-;4;-;-;-;11;1;-;-;-;1;-;-;-;23;1;-;5;-;-;563
"352700 Lindóia";-;-;-;1;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;2;-;-;12
"352710 Lins";-;-;-;-;1;3;-;10;-;-;8;352;-;-;2;3;-;-;-;3;2;-;-;-;1;-;-;-;20;-;-;-;-;-;405
"352720 Lorena";-;-;-;-;-;1;-;17;-;-;11;158;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;14;-;-;1;-;-;206
"352725 Lourdes";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352730 Louveira";-;-;-;-;-;1;-;4;-;-;4;16;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;2;-;-;-;-;-;31
"352740 Lucélia";3;-;-;-;-;1;-;6;-;-;3;20;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;35
"352750 Lucianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352760 Luís Antônio";1;-;-;-;-;-;-;4;-;-;2;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;18
