"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"351770 Guará";-;-;1;-;5;-;2;11;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;23
"351780 Guaraçaí";-;-;-;-;1;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"351790 Guaraci";-;-;-;-;3;-;1;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"351800 Guarani d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351810 Guarantã";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351820 Guararapes";-;-;-;-;4;-;-;19;-;-;-;1;-;-;-;-;-;-;-;3;1;-;-;-;-;28
"351830 Guararema";-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;9
"351840 Guaratinguetá";-;-;-;-;9;-;9;118;-;-;-;2;1;-;9;5;-;1;-;9;3;-;-;-;-;166
"351850 Guareí";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;6
"351860 Guariba";-;-;-;-;3;-;5;8;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;19
"351870 Guarujá";-;-;3;-;26;-;20;123;-;-;-;3;2;-;2;-;-;4;-;13;1;-;1;-;-;198
"351880 Guarulhos";-;-;4;-;70;1;127;212;-;1;3;8;1;-;22;1;-;6;1;52;1;-;1;-;-;511
"351885 Guatapará";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351890 Guzolândia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351900 Herculândia";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;6
"351905 Holambra";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351907 Hortolândia";-;-;2;-;19;-;10;18;-;2;-;1;1;-;4;-;-;1;-;4;2;-;1;-;2;67
"351910 Iacanga";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;6
"351920 Iacri";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351925 Iaras";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"351930 Ibaté";-;-;-;-;7;-;1;8;-;-;-;2;-;-;-;-;-;-;-;4;-;-;-;-;-;22
"351940 Ibirá";-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;8
"351950 Ibirarema";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351960 Ibitinga";-;-;-;-;6;-;1;79;-;-;-;2;-;-;1;1;-;2;-;8;1;-;-;-;-;101
"351970 Ibiúna";-;-;-;-;17;-;1;14;-;-;-;1;-;-;1;-;-;-;-;2;2;-;-;-;-;38
"351980 Icém";-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;7
"351990 Iepê";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352000 Igaraçu do Tietê";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352010 Igarapava";-;-;-;-;5;-;-;25;-;-;-;1;-;-;1;-;-;-;-;4;-;-;-;-;-;36
"352020 Igaratá";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;5
"352030 Iguape";-;-;-;-;2;-;-;6;-;-;-;-;-;-;1;4;-;-;-;1;-;1;-;-;-;15
"352042 Ilha Comprida";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;6
"352044 Ilha Solteira";-;-;-;-;4;-;5;38;-;-;-;1;-;-;2;2;-;-;-;3;1;-;-;-;-;56
"352040 Ilhabela";-;-;1;-;7;-;1;2;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;15
"352050 Indaiatuba";-;-;2;-;14;1;21;181;-;-;1;2;3;-;11;-;-;1;-;21;2;-;1;-;1;262
"352060 Indiana";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352070 Indiaporã";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352080 Inúbia Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352090 Ipaussu";-;-;-;-;2;-;-;6;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"352100 Iperó";-;-;-;-;4;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;8
"352110 Ipeúna";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3
"352115 Ipiguá";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352120 Iporanga";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;3;-;-;16;-;-;-;1;-;-;-;2;-;1;-;2;2;-;-;-;-;27
"352140 Iracemápolis";-;-;-;-;4;-;2;7;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;16
"352150 Irapuã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352160 Irapuru";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352170 Itaberá";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;1;-;-;-;-;12
"352180 Itaí";-;-;-;-;6;-;-;15;-;-;-;1;-;-;1;-;-;-;-;3;1;-;-;-;-;27
"352190 Itajobi";-;-;-;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"352200 Itaju";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352210 Itanhaém";-;-;1;-;9;-;12;12;-;2;-;1;-;-;3;-;-;1;-;2;2;-;1;-;1;47
"352215 Itaóca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"352220 Itapecerica da Serra";-;-;1;-;12;-;5;12;-;-;1;2;-;-;2;-;-;1;1;2;-;-;-;-;-;39
"352230 Itapetininga";-;-;2;-;23;-;11;146;-;-;-;2;-;-;4;7;-;-;-;14;4;-;-;-;-;213
"352240 Itapeva";-;-;2;-;21;-;13;66;-;1;-;1;-;-;9;-;-;-;-;6;3;-;-;-;-;122
"352250 Itapevi";-;-;1;-;12;-;10;15;-;-;-;2;1;-;1;-;-;4;1;3;1;-;1;-;1;53
"352260 Itapira";-;-;1;-;16;-;9;91;-;-;3;2;-;-;2;-;-;-;-;9;1;-;-;-;-;134
"352265 Itapirapuã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"352270 Itápolis";-;-;-;-;7;-;-;53;-;-;-;1;-;-;1;1;-;-;-;8;1;-;-;-;-;72
"352280 Itaporanga";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;6
"352290 Itapuí";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"352300 Itapura";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352310 Itaquaquecetuba";-;-;-;-;3;-;5;7;-;-;-;1;-;-;4;12;-;1;-;5;1;-;-;-;-;39
"352320 Itararé";-;-;1;-;7;-;6;44;-;-;-;1;-;-;2;5;-;-;-;4;1;-;-;-;-;71
"352330 Itariri";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352340 Itatiba";-;-;1;-;15;-;16;36;-;1;-;2;-;-;5;-;-;-;-;11;1;-;1;-;1;90
"352350 Itatinga";-;-;-;-;1;-;1;9;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;14
"352360 Itirapina";-;-;-;-;3;-;-;18;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;23
"352370 Itirapuã";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"352390 Itu";-;-;1;-;16;-;28;106;-;-;2;2;-;-;6;-;-;2;-;15;3;-;-;-;5;186
"352400 Itupeva";-;-;1;-;11;-;6;21;-;-;1;1;-;-;2;-;-;-;-;5;1;-;1;-;2;52
"352410 Ituverava";-;-;-;-;10;1;12;83;-;-;1;1;-;-;-;-;-;-;-;8;1;-;-;-;-;117
"352420 Jaborandi";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"352430 Jaboticabal";-;-;1;-;8;-;17;55;-;-;-;2;-;-;6;-;-;1;-;6;1;-;-;-;-;97
"352440 Jacareí";-;-;2;-;17;-;27;246;-;-;-;5;-;-;1;1;1;1;-;20;1;-;1;-;-;323
"352450 Jaci";-;-;-;-;2;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352460 Jacupiranga";-;-;-;-;4;-;-;5;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;11
"352470 Jaguariúna";-;-;-;-;6;-;2;31;-;-;-;1;-;-;2;-;-;-;-;4;2;-;-;-;1;49
"352480 Jales";-;-;-;-;9;-;9;103;-;-;-;1;-;-;2;-;-;1;-;15;1;-;-;-;-;141
"352490 Jambeiro";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352500 Jandira";-;-;1;-;9;-;4;4;-;-;1;1;-;-;2;-;-;1;-;1;1;-;-;-;1;26
"352510 Jardinópolis";-;-;-;-;8;-;4;6;-;-;-;1;-;-;3;-;-;-;-;3;1;-;-;-;-;26
"352520 Jarinu";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;9
"352530 Jaú";-;-;1;-;16;-;47;223;-;-;2;2;-;-;1;-;-;2;-;10;2;-;-;-;-;306
"352540 Jeriquara";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;5
"352560 João Ramalho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352570 José Bonifácio";-;-;-;-;8;-;6;9;-;-;-;1;-;-;3;-;-;-;-;5;-;-;-;-;-;32
"352580 Júlio Mesquita";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352585 Jumirim";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"352590 Jundiaí";-;1;3;-;35;-;142;910;-;1;1;5;3;-;9;-;-;3;3;38;-;-;-;-;-;1154
"352600 Junqueirópolis";-;-;1;-;4;-;-;7;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;16
"352610 Juquiá";-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;9
"352620 Juquitiba";-;-;1;-;4;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;10
"352630 Lagoinha";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352640 Laranjal Paulista";-;-;1;-;6;-;4;36;-;-;-;1;-;-;2;-;-;-;-;5;1;-;-;-;-;56
"352650 Lavínia";-;-;-;-;4;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"352660 Lavrinhas";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352670 Leme";-;-;1;-;12;-;24;89;-;-;-;2;-;-;2;-;-;-;1;10;1;-;-;-;3;145
"352680 Lençóis Paulista";-;-;-;-;10;-;1;103;-;-;-;1;1;-;1;-;-;1;-;7;1;-;-;-;1;127
"352690 Limeira";-;-;-;-;26;-;28;256;-;-;-;4;-;-;8;1;-;-;1;21;1;-;2;-;-;348
"352700 Lindóia";-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"352710 Lins";-;1;5;-;7;-;4;251;-;-;1;3;-;-;1;3;-;-;-;8;2;-;-;-;-;286
"352720 Lorena";-;-;2;-;19;-;7;133;-;-;-;2;-;-;-;-;-;-;-;9;-;-;-;-;-;172
"352725 Lourdes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352730 Louveira";-;-;-;-;2;-;2;11;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;18
"352740 Lucélia";-;-;-;-;4;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;20
"352750 Lucianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352760 Luís Antônio";-;-;-;-;4;-;1;3;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;10
"352770 Luiziânia";-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"352780 Lupércio";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352790 Lutécia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352800 Macatuba";-;-;-;-;3;-;4;5;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;14
"352810 Macaubal";-;-;-;-;1;-;1;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352820 Macedônia";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352830 Magda";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352840 Mairinque";-;-;-;-;16;-;6;12;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;38
"352850 Mairiporã";-;-;1;-;7;-;5;15;-;1;-;1;-;-;3;1;-;-;1;2;1;-;-;-;-;38
"352860 Manduri";-;-;-;-;3;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"352870 Marabá Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352880 Maracaí";-;-;1;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;12
"352885 Marapoama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352890 Mariápolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352900 Marília";-;-;2;-;48;1;32;394;-;2;2;6;-;1;2;-;1;1;-;17;2;-;3;-;-;514
"352910 Marinópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352920 Martinópolis";-;-;1;-;7;-;2;12;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;25
"352930 Matão";-;-;1;-;7;-;9;96;-;-;-;1;-;-;2;1;-;-;-;4;1;-;-;-;1;123
"352940 Mauá";-;-;3;-;23;-;19;108;-;-;1;4;-;-;8;-;-;-;-;24;2;-;1;-;1;194
"352950 Mendonça";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352960 Meridiano";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352965 Mesópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352970 Miguelópolis";-;-;-;-;7;-;2;7;-;-;-;1;-;-;-;-;-;1;-;5;1;-;-;-;-;24
"352980 Mineiros do Tietê";-;-;-;-;2;-;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"353000 Mira Estrela";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352990 Miracatu";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;-;9
"353010 Mirandópolis";-;-;-;-;6;-;-;24;-;-;-;2;-;-;-;3;-;-;-;7;2;-;-;-;-;44
"353020 Mirante do Paranapanema";-;-;-;-;7;-;1;4;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;16
"353030 Mirassol";-;-;1;-;5;-;18;19;-;-;-;2;-;-;-;1;-;1;-;7;1;-;-;-;-;55
"353040 Mirassolândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353050 Mococa";-;-;1;-;21;-;23;79;-;-;-;1;1;-;5;-;-;1;-;9;2;-;1;-;-;144
"353060 Mogi das Cruzes";-;-;-;-;33;1;90;118;-;1;-;7;-;-;6;-;-;-;1;37;3;-;-;-;1;298
"353070 Mogi Guaçu";-;-;2;-;17;-;27;179;-;1;-;3;-;-;4;-;-;1;-;12;1;-;-;-;-;247
"353080 Mogi Mirim";-;-;2;-;13;-;10;104;-;-;1;1;-;-;2;1;-;-;-;14;1;-;-;-;-;149
"353090 Mombuca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353100 Monções";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3
"353110 Mongaguá";-;-;-;-;8;-;6;5;-;1;-;1;-;-;1;-;-;2;-;1;1;-;-;-;-;26
"353120 Monte Alegre do Sul";-;-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;7
"353130 Monte Alto";-;-;-;-;7;-;6;124;1;-;-;2;-;-;12;-;-;1;-;1;1;-;-;-;-;155
"353140 Monte Aprazível";-;-;-;-;4;-;11;9;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;-;29
"353150 Monte Azul Paulista";-;-;-;-;2;-;1;10;-;-;-;2;-;-;1;-;-;1;-;3;-;-;-;-;-;20
"353160 Monte Castelo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353180 Monte Mor";-;-;1;-;11;-;5;18;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;1;40
"353170 Monteiro Lobato";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"353190 Morro Agudo";-;-;-;-;6;-;2;33;-;-;-;1;-;-;-;2;-;-;-;3;2;-;-;-;-;49
"353200 Morungaba";-;-;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;9
"353205 Motuca";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"353210 Murutinga do Sul";-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353215 Nantes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353220 Narandiba";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353230 Natividade da Serra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353240 Nazaré Paulista";-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353250 Neves Paulista";-;-;-;-;2;-;1;4;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"353260 Nhandeara";-;-;-;-;4;-;2;14;-;-;1;1;-;-;-;-;-;-;-;3;-;-;-;-;-;25
"353270 Nipoã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353280 Nova Aliança";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353282 Nova Campina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353284 Nova Canaã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353286 Nova Castilho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"353300 Nova Granada";-;-;-;-;3;-;2;1;-;-;-;1;-;-;1;2;-;-;-;1;-;-;-;-;-;11
"353310 Nova Guataporanga";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353320 Nova Independência";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353330 Nova Luzitânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353340 Nova Odessa";-;-;-;-;4;-;4;34;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;45
"353325 Novais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353350 Novo Horizonte";-;-;-;-;5;-;11;24;-;-;-;1;-;-;1;1;-;-;-;3;-;-;-;-;-;46
"353360 Nuporanga";-;-;-;-;4;-;-;12;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;19
"353370 Ocauçu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353380 Óleo";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353390 Olímpia";-;-;-;-;8;-;5;44;-;-;-;1;-;-;3;-;-;-;-;12;-;-;-;-;-;73
"353400 Onda Verde";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353410 Oriente";-;-;-;-;2;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"353420 Orindiúva";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353430 Orlândia";-;-;-;-;6;-;3;79;1;-;-;1;-;-;1;-;-;-;-;6;2;-;1;-;-;100
"353440 Osasco";-;1;2;-;36;1;117;300;-;4;1;7;-;-;7;-;-;4;-;32;3;-;1;-;1;517
"353450 Oscar Bressane";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353460 Osvaldo Cruz";-;-;-;-;5;-;1;22;-;-;-;2;-;-;1;2;-;-;-;9;1;-;-;-;1;44
"353470 Ourinhos";-;1;1;-;16;1;19;212;-;-;3;3;-;-;3;3;-;-;-;18;2;-;-;-;-;282
"353480 Ouro Verde";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4
"353475 Ouroeste";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"353490 Pacaembu";-;-;-;-;4;1;-;6;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;15
"353500 Palestina";-;-;-;-;1;-;2;2;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;9
"353510 Palmares Paulista";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353520 Palmeira d'Oeste";-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;9
"353530 Palmital";-;-;-;-;5;-;1;13;-;-;-;1;-;-;2;-;-;-;1;1;1;-;-;-;-;25
"353540 Panorama";-;-;-;-;1;-;1;2;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;8
"353550 Paraguaçu Paulista";-;-;1;-;12;-;1;38;-;-;-;1;-;-;-;-;-;-;-;5;1;-;-;-;1;60
"353560 Paraibuna";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;5;-;1;-;1;-;-;-;-;-;12
"353570 Paraíso";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353580 Paranapanema";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;7
"353590 Paranapuã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353600 Parapuã";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353610 Pardinho";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353620 Pariquera-Açu";-;-;-;-;5;-;-;3;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;-;-;12
"353625 Parisi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353630 Patrocínio Paulista";-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;9
"353640 Paulicéia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353650 Paulínia";-;-;2;-;6;1;13;64;-;-;-;2;-;-;9;-;-;-;1;4;1;-;-;-;1;104
"353657 Paulistânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353660 Paulo de Faria";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353670 Pederneiras";-;-;-;-;12;-;2;31;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;-;50
