"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"353310 Nova Guataporanga";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"353320 Nova Independência";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"353330 Nova Luzitânia";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"353340 Nova Odessa";-;-;-;-;-;-;5;-;4;38;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;50
"353325 Novais";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353350 Novo Horizonte";-;-;-;-;-;-;5;-;12;34;-;-;-;1;-;-;1;1;-;-;-;1;-;5;-;-;-;-;-;60
"353360 Nuporanga";-;-;-;-;-;-;4;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;19
"353370 Ocauçu";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;3
"353380 Óleo";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;4
"353390 Olímpia";-;-;-;-;-;-;8;-;9;56;-;-;-;1;-;-;7;-;1;-;-;1;-;13;-;-;1;-;-;97
"353400 Onda Verde";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"353410 Oriente";1;-;-;-;-;-;2;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;11
"353420 Orindiúva";-;-;-;-;-;-;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"353430 Orlândia";-;-;-;-;1;-;6;-;17;91;1;1;-;1;-;-;5;1;-;-;-;1;-;8;-;-;-;1;-;134
"353440 Osasco";-;1;-;1;2;-;37;-;174;374;-;4;2;6;1;-;7;-;4;-;4;1;-;37;1;-;7;1;-;664
"353450 Oscar Bressane";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"353460 Osvaldo Cruz";-;-;-;-;-;-;6;1;4;28;-;-;-;2;-;-;1;2;-;-;-;1;-;11;-;-;-;1;-;57
"353470 Ourinhos";-;-;-;1;1;-;13;1;21;223;-;1;2;3;-;-;3;3;-;-;-;1;-;26;1;-;-;-;-;300
"353480 Ouro Verde";-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;6
"353475 Ouroeste";-;-;-;-;-;-;2;-;-;9;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;15
"353490 Pacaembu";1;-;-;-;-;-;4;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;18
"353500 Palestina";-;-;-;-;-;-;1;-;2;4;-;-;-;-;-;-;1;2;-;-;-;1;-;2;-;-;1;-;-;14
"353510 Palmares Paulista";-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;7
"353520 Palmeira d'Oeste";-;-;-;-;-;-;3;-;-;5;-;-;-;1;-;-;-;2;-;-;-;1;-;1;-;-;1;-;-;14
"353530 Palmital";-;-;-;-;-;-;5;1;1;20;-;1;-;1;-;-;2;-;-;-;-;1;-;2;-;-;-;-;-;34
"353540 Panorama";-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;12
"353550 Paraguaçu Paulista";-;-;-;-;1;-;13;1;2;48;-;1;-;1;-;-;1;-;-;-;-;1;-;6;-;-;-;1;-;76
"353560 Paraibuna";-;-;-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;5;-;-;1;1;-;1;-;-;-;-;-;15
"353570 Paraíso";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"353580 Paranapanema";-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;11
"353590 Paranapuã";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353600 Parapuã";-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"353610 Pardinho";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"353620 Pariquera-Açu";-;-;-;-;-;-;7;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;4;-;-;1;-;-;17
"353625 Parisi";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353630 Patrocínio Paulista";-;-;-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;10
"353640 Paulicéia";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353650 Paulínia";-;-;-;-;2;-;7;-;17;72;-;-;-;1;-;-;9;-;2;-;-;1;-;6;-;-;-;1;-;118
"353657 Paulistânia";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353660 Paulo de Faria";-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;6
"353670 Pederneiras";-;-;-;-;1;-;12;-;2;37;-;-;-;1;-;-;-;-;-;-;-;1;-;5;-;-;-;-;-;59
"353680 Pedra Bela";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"353690 Pedranópolis";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;4
"353700 Pedregulho";-;-;-;-;-;-;6;-;3;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;17
"353710 Pedreira";-;-;-;-;1;-;8;-;2;12;-;-;-;1;-;-;3;-;-;-;1;1;-;9;-;-;-;-;-;38
"353715 Pedrinhas Paulista";-;-;-;-;-;-;2;1;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;9
"353720 Pedro de Toledo";-;-;-;-;-;-;5;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"353730 Penápolis";-;-;-;-;1;-;11;-;5;88;1;-;1;2;-;-;2;-;-;-;1;2;-;12;-;-;-;-;-;126
"353740 Pereira Barreto";-;-;-;-;-;-;6;-;4;26;-;-;-;1;-;-;-;-;-;-;-;1;-;5;-;-;-;-;-;43
"353750 Pereiras";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;7
"353760 Peruíbe";-;-;-;-;1;-;6;-;6;14;-;-;-;1;-;-;5;5;-;-;-;1;-;4;-;-;3;-;-;46
"353770 Piacatu";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353780 Piedade";-;-;-;-;-;-;6;-;2;23;-;-;1;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;37
"353790 Pilar do Sul";-;-;-;-;-;-;7;-;1;5;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;1;-;-;18
"353800 Pindamonhangaba";-;-;-;1;1;-;20;-;20;192;-;-;-;2;-;-;7;-;1;-;-;1;-;13;-;-;-;-;-;258
"353810 Pindorama";-;-;-;-;-;-;3;-;-;4;-;-;-;-;-;-;-;2;-;-;1;1;-;4;-;-;-;-;-;15
"353820 Pinhalzinho";-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;3;1;-;-;1;-;1;-;-;-;-;-;9
"353830 Piquerobi";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353850 Piquete";-;-;-;-;-;-;5;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;13
"353860 Piracaia";-;-;-;-;-;-;2;-;1;3;-;-;-;1;-;-;1;-;-;-;-;1;-;2;-;-;1;-;-;12
"353870 Piracicaba";-;1;-;-;1;-;62;-;166;460;-;1;-;5;1;-;5;-;-;1;4;2;-;73;-;-;-;1;-;783
"353880 Piraju";-;-;-;-;-;-;8;-;6;50;-;-;-;1;-;-;5;-;-;-;-;1;-;4;-;-;-;-;-;75
"353890 Pirajuí";-;-;-;-;-;-;4;-;1;25;-;-;1;1;-;-;-;3;-;-;1;1;-;4;-;-;-;1;-;42
"353900 Pirangi";-;-;-;-;-;-;3;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;15
"353910 Pirapora do Bom Jesus";-;-;-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;-;10
"353920 Pirapozinho";-;-;-;-;1;-;6;-;2;9;-;-;1;-;-;-;1;1;1;-;-;1;-;5;-;-;-;-;-;28
"353930 Pirassununga";-;-;-;-;2;-;-;-;9;147;-;-;-;1;-;-;2;15;1;-;1;1;-;8;1;-;1;-;-;189
"353940 Piratininga";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;6
"353950 Pitangueiras";-;-;-;-;-;-;6;-;4;37;-;-;-;1;-;-;7;-;1;-;-;1;-;3;-;-;-;-;-;60
"353960 Planalto";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;3
"353970 Platina";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"353980 Poá";-;-;-;-;-;-;9;1;8;9;-;-;-;1;-;-;2;7;-;-;-;1;-;6;3;-;-;-;-;47
"353990 Poloni";-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;7
"354000 Pompéia";-;-;-;-;1;-;6;-;11;76;-;-;-;1;-;-;-;1;-;-;1;1;-;4;-;-;-;-;-;102
"354010 Pongaí";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354020 Pontal";1;-;-;-;-;-;9;-;5;18;-;1;-;1;-;-;3;-;-;-;-;-;-;10;1;-;-;-;-;49
"354025 Pontalinda";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354030 Pontes Gestal";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354040 Populina";-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354050 Porangaba";-;-;-;-;-;-;1;-;-;6;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;10
"354060 Porto Feliz";-;-;-;-;-;-;7;-;7;39;-;1;-;1;-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;60
"354070 Porto Ferreira";-;-;-;-;1;-;10;-;5;89;-;-;-;1;-;-;4;-;1;-;-;1;-;18;-;-;-;-;-;130
"354075 Potim";-;-;-;-;1;-;5;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;11
"354080 Potirendaba";-;-;-;-;-;-;5;-;2;7;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;19
"354085 Pracinha";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354090 Pradópolis";-;-;-;-;-;-;5;-;-;6;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;14
"354100 Praia Grande";-;-;-;-;1;-;20;-;17;62;-;-;-;1;3;-;16;1;1;-;5;1;-;9;-;-;5;1;-;143
"354105 Pratânia";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"354110 Presidente Alves";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354120 Presidente Bernardes";-;-;-;-;-;-;9;-;-;11;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;25
"354130 Presidente Epitácio";-;-;-;-;-;-;9;-;1;19;-;-;-;1;-;-;-;1;-;-;-;1;-;7;-;-;-;-;-;39
"354140 Presidente Prudente";-;-;-;-;1;-;24;-;62;470;-;1;5;8;-;1;8;1;2;-;-;2;-;34;-;-;-;1;-;620
"354150 Presidente Venceslau";-;-;-;-;1;-;10;-;1;31;-;-;-;1;-;-;-;-;-;-;-;1;-;8;2;-;-;-;-;55
"354160 Promissão";-;-;-;-;-;-;10;-;6;35;-;-;-;1;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;58
"354165 Quadra";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;4
"354170 Quatá";-;-;-;-;-;-;3;-;1;11;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;-;-;20
"354180 Queiroz";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354190 Queluz";-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;8
"354200 Quintana";-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;10
"354210 Rafard";-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"354220 Rancharia";-;-;-;-;1;-;9;-;2;29;-;-;-;1;-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;47
"354230 Redenção da Serra";-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"354240 Regente Feijó";-;-;-;-;-;-;8;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;16
"354250 Reginópolis";-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"354260 Registro";-;-;-;-;1;-;15;-;13;49;-;1;-;2;-;-;2;-;-;-;1;2;-;8;-;-;-;-;-;94
"354270 Restinga";-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"354280 Ribeira";-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"354290 Ribeirão Bonito";-;-;-;-;-;-;4;-;1;16;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;24
"354300 Ribeirão Branco";-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;9
"354310 Ribeirão Corrente";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"354320 Ribeirão do Sul";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"354323 Ribeirão dos Índios";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"354330 Ribeirão Pires";-;-;-;-;3;-;9;-;21;45;-;-;-;2;1;-;9;-;-;-;1;1;-;9;-;-;-;-;-;101
"354340 Ribeirão Preto";-;1;-;5;3;-;36;-;289;1027;-;1;4;12;-;1;70;11;1;-;1;2;-;85;1;-;13;4;-;1567
"354360 Rifaina";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"354370 Rincão";-;-;-;-;-;-;1;-;1;6;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;12
"354380 Rinópolis";-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;10
"354390 Rio Claro";-;1;-;-;2;-;18;1;64;203;1;2;1;4;1;1;13;-;2;-;1;1;-;32;3;-;3;-;-;354
"354400 Rio das Pedras";-;-;-;-;1;-;1;-;4;54;-;-;-;1;-;-;3;-;-;-;1;1;-;3;-;-;-;-;-;69
"354410 Rio Grande da Serra";-;-;-;-;-;-;6;-;3;4;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;17
