"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"354310 Ribeirão Corrente";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354320 Ribeirão do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354323 Ribeirão dos Índios";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354325 Ribeirão Grande";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"354330 Ribeirão Pires";-;9;-;21;29;-;-;-;2;-;5;-;-;1;-;7;1;-;-;-;-;75
"354340 Ribeirão Preto";-;38;1;107;337;-;1;4;11;-;24;7;-;1;-;91;4;-;2;-;3;631
"354360 Rifaina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354370 Rincão";-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;5
"354380 Rinópolis";-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"354390 Rio Claro";-;14;-;58;115;-;-;1;4;2;5;-;-;2;-;34;2;-;-;-;-;237
"354400 Rio das Pedras";-;2;-;2;53;-;-;-;1;-;-;-;-;1;-;2;1;-;-;-;-;62
"354410 Rio Grande da Serra";-;6;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"354420 Riolândia";-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"354350 Riversul";-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;4
"354425 Rosana";-;3;-;1;7;-;-;-;1;-;-;2;-;-;-;3;1;-;-;-;-;18
"354430 Roseira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"354440 Rubiácea";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"354450 Rubinéia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354460 Sabino";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354470 Sagres";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354480 Sales";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354490 Sales Oliveira";-;2;-;-;7;-;-;-;1;-;-;2;-;1;-;1;-;-;-;-;-;14
"354500 Salesópolis";-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;7
"354510 Salmourão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354515 Saltinho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354520 Salto";-;10;-;10;25;-;-;-;3;-;2;-;-;-;-;5;2;-;-;-;-;57
"354530 Salto de Pirapora";-;8;-;2;10;-;-;3;1;-;1;-;-;-;-;-;-;-;-;-;-;25
"354540 Salto Grande";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"354550 Sandovalina";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354560 Santa Adélia";-;2;-;-;2;-;-;-;1;-;-;3;-;-;-;2;-;-;-;-;-;10
"354570 Santa Albertina";-;2;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;6
"354580 Santa Bárbara d'Oeste";-;12;-;9;46;-;-;-;1;1;3;-;-;1;-;11;3;-;1;-;-;88
"354600 Santa Branca";-;5;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;9
"354610 Santa Clara d'Oeste";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354620 Santa Cruz da Conceição";-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;4
"354625 Santa Cruz da Esperança";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354630 Santa Cruz das Palmeiras";-;2;-;1;39;-;-;-;1;-;4;-;-;-;-;3;-;-;-;-;-;50
"354640 Santa Cruz do Rio Pardo";-;6;-;7;21;-;-;-;2;-;1;-;-;-;-;6;1;-;-;-;-;44
"354650 Santa Ernestina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354660 Santa Fé do Sul";-;9;-;11;29;-;-;-;1;-;2;-;-;1;-;8;-;-;-;-;-;61
"354670 Santa Gertrudes";-;4;-;-;24;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;31
"354680 Santa Isabel";-;13;-;2;2;-;-;-;1;-;-;-;-;-;-;3;2;-;-;-;-;23
"354690 Santa Lúcia";-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4
"354700 Santa Maria da Serra";-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"354710 Santa Mercedes";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354740 Santa Rita d'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354750 Santa Rita do Passa Quatro";-;6;-;5;32;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;45
"354760 Santa Rosa de Viterbo";-;5;-;3;12;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;-;25
"354765 Santa Salete";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354720 Santana da Ponte Pensa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354730 Santana de Parnaíba";-;8;-;6;3;-;-;-;-;-;1;-;-;2;-;1;1;-;-;-;-;22
"354770 Santo Anastácio";-;4;-;2;14;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;23
"354780 Santo André";-;38;2;176;183;1;2;2;12;1;109;2;-;4;-;51;2;-;-;-;-;585
"354790 Santo Antônio da Alegria";-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;4
"354800 Santo Antônio de Posse";-;4;-;1;-;-;-;-;-;-;3;-;-;1;-;1;-;-;-;-;-;10
"354805 Santo Antônio do Aracanguá";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"354820 Santo Antônio do Pinhal";-;1;-;-;1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;7
"354830 Santo Expedito";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354840 Santópolis do Aguapeí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354850 Santos";-;26;2;131;1015;3;-;3;11;8;6;4;3;4;-;66;4;-;1;-;1;1288
"354860 São Bento do Sapucaí";-;1;-;-;1;-;-;-;1;-;-;4;-;1;-;2;-;-;-;-;-;10
"354870 São Bernardo do Campo";-;31;-;181;128;-;-;4;10;1;32;-;1;7;-;43;3;-;1;-;1;443
"354880 São Caetano do Sul";-;16;-;114;195;-;-;1;3;-;3;-;-;1;-;30;1;1;-;-;1;366
"354890 São Carlos";-;21;1;29;107;-;-;-;3;-;39;-;-;2;-;25;2;-;1;-;1;231
"354900 São Francisco";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354910 São João da Boa Vista";-;11;2;22;174;-;-;-;2;-;3;-;-;1;-;11;3;-;-;-;-;229
"354920 São João das Duas Pontes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354925 São João de Iracema";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354930 São João do Pau d'Alho";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354940 São Joaquim da Barra";-;10;-;2;65;-;-;-;1;-;-;-;-;-;-;8;-;-;-;-;-;86
"354950 São José da Bela Vista";-;2;-;-;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"354960 São José do Barreiro";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"354970 São José do Rio Pardo";-;4;-;21;31;1;-;-;1;-;5;-;-;1;-;9;1;-;-;-;-;74
"354980 São José do Rio Preto";-;24;3;205;95;1;2;6;6;1;62;-;-;1;1;63;4;-;1;-;1;476
"354990 São José dos Campos";-;43;1;154;609;3;1;7;10;5;6;1;1;5;-;45;3;1;-;-;2;897
"354995 São Lourenço da Serra";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355000 São Luís do Paraitinga";-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;7
"355010 São Manuel";-;6;-;-;24;-;-;-;1;-;-;-;-;-;-;9;1;-;-;-;-;41
"355020 São Miguel Arcanjo";-;9;-;1;22;-;-;-;1;-;1;-;-;-;-;1;1;-;-;-;-;36
"355030 São Paulo";1;416;10;1857;5023;7;16;51;143;15;202;34;4;17;1;486;39;1;10;-;7;8340
"355040 São Pedro";-;3;-;3;28;-;1;-;1;-;1;-;-;1;-;1;-;-;-;-;-;39
"355050 São Pedro do Turvo";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355060 São Roque";-;9;-;18;63;-;-;-;2;-;5;1;-;-;-;5;2;-;-;-;-;105
"355070 São Sebastião";-;18;1;12;86;-;-;-;1;-;-;1;-;2;-;3;1;-;-;-;2;127
"355080 São Sebastião da Grama";-;3;-;-;10;-;-;-;1;-;-;-;-;1;-;2;2;-;-;-;-;19
"355090 São Simão";-;3;-;2;22;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;-;31
"355100 São Vicente";-;29;1;25;114;-;1;-;3;1;3;2;1;3;1;7;1;-;-;-;-;192
"355110 Sarapuí";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"355120 Sarutaiá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355130 Sebastianópolis do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355140 Serra Azul";-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"355160 Serra Negra";-;6;-;1;13;-;-;-;1;-;1;-;-;-;-;5;-;-;-;-;-;27
"355150 Serrana";-;7;-;3;-;-;-;-;1;-;3;-;-;-;-;1;1;-;-;-;-;16
"355170 Sertãozinho";-;10;-;8;29;-;-;-;2;1;-;-;-;1;-;10;1;-;-;-;-;62
"355180 Sete Barras";-;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7
"355190 Severínia";-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;6
"355200 Silveiras";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"355210 Socorro";-;3;-;2;5;-;-;-;1;-;1;8;-;-;-;4;-;-;-;-;-;24
"355220 Sorocaba";-;30;1;77;166;-;-;7;7;3;23;-;-;4;-;49;6;-;4;-;8;385
"355230 Sud Mennucci";-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;7
"355240 Sumaré";-;17;-;13;33;-;-;-;1;1;11;-;-;1;1;14;1;-;-;-;-;93
"355255 Suzanápolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355250 Suzano";-;16;-;29;27;-;1;-;2;-;6;-;-;1;-;13;1;-;-;-;-;96
"355260 Tabapuã";-;2;-;1;4;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;10
"355270 Tabatinga";-;4;-;-;17;-;-;-;1;-;1;-;-;1;-;3;1;-;-;-;-;28
"355280 Taboão da Serra";-;10;1;16;20;-;1;1;3;-;7;-;-;2;-;6;1;-;1;-;-;69
"355290 Taciba";-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;1;-;-;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;9
"355310 Taiaçu";-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"355320 Taiúva";-;2;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"355330 Tambaú";-;1;-;1;20;-;-;-;1;-;1;3;-;1;-;4;1;-;-;-;-;33
"355340 Tanabi";-;4;-;12;1;-;-;-;1;-;-;3;-;-;-;2;-;-;-;-;-;23
"355350 Tapiraí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355360 Tapiratiba";-;2;-;-;2;-;-;-;1;-;1;1;-;-;-;2;1;-;-;-;-;10
"355365 Taquaral";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355370 Taquaritinga";-;10;-;10;54;-;-;1;1;-;1;-;-;1;-;9;1;-;-;-;1;89
"355380 Taquarituba";-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;10
"355385 Taquarivaí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"355390 Tarabai";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355395 Tarumã";-;4;-;3;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;11
"355400 Tatuí";-;15;-;19;150;-;-;-;2;-;5;1;-;1;-;18;2;-;-;-;-;213
"355410 Taubaté";-;56;1;117;228;-;-;-;3;1;4;-;-;1;-;31;6;-;-;-;3;451
"355420 Tejupá";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355430 Teodoro Sampaio";-;7;-;-;5;-;-;-;1;-;-;2;-;-;-;3;1;-;-;-;-;19
"355440 Terra Roxa";-;3;-;1;3;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;10
"355450 Tietê";-;3;-;10;50;-;-;-;1;-;-;5;-;-;-;11;2;-;1;-;-;83
"355460 Timburi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355465 Torre de Pedra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355470 Torrinha";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"355475 Trabiju";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355480 Tremembé";-;4;-;2;5;-;-;-;1;-;-;3;-;1;-;1;-;-;-;-;-;17
"355490 Três Fronteiras";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355495 Tuiuti";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355500 Tupã";-;7;-;8;57;-;-;3;2;-;5;7;-;-;-;7;-;-;-;-;-;96
"355510 Tupi Paulista";-;6;-;-;8;-;-;-;1;-;-;-;-;1;-;3;-;-;-;-;-;19
"355520 Turiúba";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355530 Turmalina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355535 Ubarana";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355540 Ubatuba";-;19;-;5;11;-;-;-;1;-;-;2;-;-;-;4;1;1;-;-;-;44
"355550 Ubirajara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355560 Uchoa";-;2;-;2;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;8
"355570 União Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"355580 Urânia";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;4
"355590 Uru";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355600 Urupês";-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;7
"355610 Valentim Gentil";-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355620 Valinhos";-;13;-;15;138;-;-;-;1;-;1;-;-;1;-;8;2;1;-;-;-;180
"355630 Valparaíso";-;4;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;9
"355635 Vargem";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355640 Vargem Grande do Sul";-;5;-;-;12;-;-;-;1;-;1;1;-;1;-;3;1;-;-;-;-;25
"355645 Vargem Grande Paulista";-;5;-;3;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;12
"355650 Várzea Paulista";-;11;-;7;4;-;-;-;-;-;1;-;-;-;-;2;1;1;-;-;-;27
"355660 Vera Cruz";-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"355670 Vinhedo";-;5;-;28;125;-;-;-;1;-;1;-;-;-;-;16;1;-;-;-;-;177
"355680 Viradouro";-;5;-;2;13;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;23
"355690 Vista Alegre do Alto";-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;6
"355695 Vitória Brasil";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355700 Votorantim";-;16;-;4;27;-;-;-;2;1;1;-;-;-;-;5;1;1;-;-;1;59
"355710 Votuporanga";-;14;-;19;91;-;-;-;2;-;-;-;-;-;-;14;-;-;-;-;1;141
"355715 Zacarias";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";2;4011;49;6228;19871;25;56;187;721;77;1081;304;18;199;14;2955;413;37;55;1;85;36389
&
