"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"350010 Adamantina";-;-;-;-;-;1;-;5;-;8;83;-;1;1;1;-;-;-;10;-;-;-;-;1;-;-;12;-;-;1;-;-;124
"350020 Adolfo";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"350030 Aguaí";-;-;-;-;-;-;-;5;-;3;25;-;4;-;-;-;-;-;1;-;-;-;1;1;-;-;5;1;-;-;-;-;46
"350040 Águas da Prata";-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;7
"350050 Águas de Lindóia";-;-;-;-;-;1;-;4;-;5;14;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;5;-;-;-;-;-;33
"350055 Águas de Santa Bárbara";-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350060 Águas de São Pedro";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;7
"350070 Agudos";-;-;-;-;-;1;-;8;-;4;24;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;42
"350075 Alambari";-;1;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;1;-;-;9
"350080 Alfredo Marcondes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350090 Altair";1;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"350100 Altinópolis";-;-;-;-;-;-;-;7;-;3;19;-;1;-;1;-;-;-;1;-;-;-;-;1;-;-;1;1;-;1;-;-;36
"350110 Alto Alegre";-;-;-;-;-;-;-;3;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350115 Alumínio";-;1;-;-;-;-;-;2;-;3;3;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;11
"350120 Álvares Florence";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350130 Álvares Machado";-;-;-;-;-;-;-;7;-;2;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;17
"350140 Álvaro de Carvalho";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350150 Alvinlândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350160 Americana";-;1;-;-;-;2;-;26;-;22;576;-;1;2;5;1;-;-;1;-;-;-;-;1;-;-;38;-;-;1;-;-;677
"350170 Américo Brasiliense";1;-;-;-;-;1;-;3;-;5;9;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;1;2;1;1;-;-;28
"350180 Américo de Campos";-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350190 Amparo";6;-;-;2;-;2;-;12;-;5;155;-;-;1;2;-;-;-;11;3;1;-;-;1;1;-;30;-;-;-;-;-;232
"350200 Analândia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"350210 Andradina";-;-;-;1;-;1;-;6;-;5;115;-;-;-;1;-;1;-;1;-;-;-;1;1;-;-;9;-;-;-;-;1;143
"350220 Angatuba";-;1;-;-;-;1;-;6;-;-;13;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;4;-;-;1;-;-;29
"350230 Anhembi";-;-;-;-;-;-;-;3;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;9
"350240 Anhumas";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350250 Aparecida";-;-;-;-;-;1;-;2;-;2;13;-;2;-;1;-;-;-;-;7;-;-;-;1;-;-;5;-;-;1;-;-;35
"350260 Aparecida d'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;6
"350270 Apiaí";-;1;-;-;-;1;-;9;-;3;20;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;4;-;-;2;-;-;43
"350275 Araçariguama";-;-;-;-;-;-;-;1;-;4;4;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;12
"350280 Araçatuba";-;1;1;-;1;1;-;16;-;78;379;2;1;5;2;-;1;-;3;4;2;-;-;2;3;-;31;-;-;-;2;-;535
"350290 Araçoiaba da Serra";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;3;-;-;1;-;-;12
"350300 Aramina";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;6
"350310 Arandu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"350315 Arapeí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"350320 Araraquara";2;1;1;-;-;2;-;31;2;48;441;-;6;3;3;1;-;-;11;-;2;-;2;2;-;-;17;3;-;17;1;-;596
"350330 Araras";-;-;-;-;-;1;-;21;-;34;244;-;-;1;3;-;-;-;1;2;1;-;-;1;-;-;9;2;-;-;-;-;320
"350335 Arco-Íris";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350340 Arealva";-;-;-;-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;8
"350350 Areias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350360 Areiópolis";-;-;-;-;-;-;-;3;-;1;10;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;-;-;1;-;-;19
"350370 Ariranha";-;-;-;-;-;-;-;2;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;9
"350380 Artur Nogueira";-;-;-;-;-;1;-;17;1;5;26;-;1;-;1;-;-;-;3;-;-;-;1;1;-;-;3;1;-;-;-;-;61
"350390 Arujá";-;-;-;-;-;1;-;7;-;12;21;-;-;-;2;-;-;-;3;-;-;-;-;1;-;-;7;-;-;1;1;-;56
"350395 Aspásia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350400 Assis";-;-;-;-;-;1;-;19;1;16;193;-;1;-;4;3;-;-;6;1;1;-;1;1;-;-;19;1;-;-;-;-;268
"350410 Atibaia";-;-;-;-;-;1;-;19;-;6;149;-;-;-;3;-;-;-;14;1;1;-;-;1;-;-;24;-;-;2;1;-;222
"350420 Auriflama";1;-;-;-;-;-;-;4;-;1;12;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;22
"350430 Avaí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350440 Avanhandava";-;-;-;-;-;-;-;4;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;14
"350450 Avaré";-;-;1;-;-;1;-;16;-;9;147;1;-;-;1;-;-;-;-;-;1;-;-;1;-;-;15;1;-;2;1;-;197
"350460 Bady Bassitt";-;-;-;-;-;-;-;3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;7
"350470 Balbinos";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350480 Bálsamo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350490 Bananal";-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;7
"350500 Barão de Antonina";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350510 Barbosa";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350520 Bariri";-;-;-;-;-;-;-;7;-;1;32;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;6;-;-;-;-;-;50
"350530 Barra Bonita";-;-;-;-;-;1;-;6;-;2;56;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;6;-;-;-;-;-;73
"350535 Barra do Chapéu";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;5
"350540 Barra do Turvo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;1;-;7
"350550 Barretos";-;2;1;-;-;1;-;15;-;18;171;-;2;2;2;1;-;1;2;-;1;-;-;2;-;-;7;-;-;3;-;-;231
"350560 Barrinha";-;-;-;-;-;-;-;4;-;1;4;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;2;-;1;1;-;-;17
"350570 Barueri";-;-;-;-;-;3;-;17;-;41;127;-;-;-;3;-;-;-;9;-;-;2;3;1;-;-;13;-;-;-;-;-;219
"350580 Bastos";-;1;-;-;-;-;-;6;-;6;6;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;24
"350590 Batatais";-;-;-;-;-;1;-;8;-;8;160;-;1;-;1;-;-;-;3;-;1;-;1;1;-;-;10;-;-;2;-;-;197
"350600 Bauru";-;2;1;-;-;3;-;25;-;50;393;-;2;3;7;2;1;-;14;2;4;-;1;2;-;-;24;-;-;13;1;-;550
"350610 Bebedouro";-;1;-;-;-;2;-;16;-;37;133;-;1;-;3;-;-;-;18;-;-;-;-;1;-;-;11;-;-;-;-;-;223
"350620 Bento de Abreu";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"350630 Bernardino de Campos";-;-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;10
"350635 Bertioga";-;-;-;-;-;1;-;5;-;7;8;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;5;1;-;2;1;-;33
"350640 Bilac";-;-;-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;8
"350650 Birigui";-;-;-;-;-;-;-;10;-;21;80;-;1;1;2;-;-;-;3;-;-;-;-;1;-;-;12;-;-;-;-;-;131
"350660 Biritiba-Mirim";-;-;-;-;-;1;-;5;1;1;9;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;21
"350670 Boa Esperança do Sul";-;-;-;-;-;-;-;4;-;1;8;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;17
"350680 Bocaina";-;-;-;-;-;-;-;4;-;2;8;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;17
"350690 Bofete";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350700 Boituva";-;1;-;-;-;1;-;6;-;10;37;-;1;-;1;-;-;-;1;1;-;-;-;1;-;-;5;-;-;-;2;-;67
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;-;-;-;1;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;16
"350715 Bom Sucesso de Itararé";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350720 Borá";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350730 Boracéia";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";-;-;-;-;-;-;-;5;-;5;15;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;3;-;-;-;-;-;33
"350745 Borebi";-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350750 Botucatu";-;-;1;-;-;3;-;14;1;32;423;-;1;1;2;-;-;-;3;-;1;-;-;3;-;-;6;1;-;2;1;-;495
"350760 Bragança Paulista";-;-;1;2;-;2;-;25;1;14;211;-;1;-;3;1;-;-;8;4;-;-;1;1;-;-;20;1;-;3;2;-;301
"350770 Braúna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"350780 Brodowski";-;-;-;-;-;-;-;4;-;1;29;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;4;-;-;1;-;-;43
"350790 Brotas";-;-;-;-;-;-;-;4;-;3;32;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;44
"350800 Buri";-;1;-;-;-;1;-;3;-;1;4;-;-;-;-;-;-;-;1;3;1;-;-;1;-;-;1;-;-;-;-;-;17
"350810 Buritama";1;-;-;-;-;1;-;2;-;4;4;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;18
"350820 Buritizal";-;-;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;7
"350830 Cabrália Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"350840 Cabreúva";-;-;-;-;-;-;-;4;-;2;5;-;1;-;1;-;-;-;1;-;1;-;-;1;-;-;4;-;-;-;-;-;20
"350850 Caçapava";-;-;-;1;-;2;-;18;-;7;183;-;2;1;3;-;-;-;1;-;1;-;-;1;-;-;2;-;-;-;-;-;222
"350860 Cachoeira Paulista";-;-;-;-;-;-;-;10;-;4;31;-;1;-;1;-;-;-;5;-;-;-;-;1;-;-;2;-;-;-;-;-;55
"350870 Caconde";-;-;-;-;-;-;-;2;-;3;17;-;1;-;1;-;-;-;-;1;-;-;-;1;-;-;4;-;-;-;-;-;30
"350880 Cafelândia";-;-;-;-;-;-;-;4;-;-;23;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;4;-;-;-;-;-;35
"350890 Caiabu";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"350900 Caieiras";-;-;-;-;-;1;-;6;-;16;10;-;-;-;1;-;-;-;6;5;-;-;-;-;-;-;4;2;1;-;-;-;52
"350910 Caiuá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"350920 Cajamar";-;-;-;-;-;-;-;11;-;5;19;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;2;-;-;-;1;-;41
"350925 Cajati";-;-;-;-;-;1;-;6;-;1;15;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;29
"350930 Cajobi";-;-;-;-;-;-;-;3;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;11
"350940 Cajuru";-;-;-;-;-;-;-;6;-;6;23;-;-;-;1;-;-;-;3;-;1;-;-;1;-;-;2;-;-;1;-;-;44
"350945 Campina do Monte Alegre";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"350950 Campinas";-;2;1;-;1;11;-;65;-;336;1469;1;4;7;20;12;1;-;56;5;4;-;-;7;1;-;114;-;-;21;-;-;2138
"350960 Campo Limpo Paulista";-;-;-;-;-;-;-;8;-;11;9;1;-;-;1;-;-;-;7;-;-;-;-;1;-;-;5;1;-;-;-;-;44
"350970 Campos do Jordão";-;-;-;-;-;1;-;3;-;3;26;-;-;-;3;-;-;-;1;10;-;-;1;1;-;-;3;-;-;-;-;-;52
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"350990 Cananéia";-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"350995 Canas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351000 Cândido Mota";-;-;-;-;-;1;-;6;-;3;42;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;4;-;-;-;-;-;60
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351015 Canitar";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351020 Capão Bonito";-;1;-;-;-;1;-;12;-;7;21;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;4;-;-;-;-;-;50
"351030 Capela do Alto";-;1;-;-;1;-;-;5;-;1;4;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;1;-;-;1;-;-;17
"351040 Capivari";-;-;-;-;-;2;-;4;-;14;102;-;-;-;2;-;-;-;7;3;-;-;-;1;-;-;13;-;-;-;-;-;148
"351050 Caraguatatuba";-;1;-;-;-;1;-;10;-;20;72;-;-;-;2;2;-;-;5;2;2;-;-;1;-;-;11;1;-;5;-;-;135
"351060 Carapicuíba";-;-;-;-;-;3;-;13;-;16;27;-;-;-;3;-;-;-;9;-;-;-;2;-;-;-;7;2;1;5;3;-;91
"351070 Cardoso";-;-;-;-;-;-;-;5;-;1;7;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;-;1;-;-;19
"351080 Casa Branca";-;-;-;-;-;1;-;7;1;4;41;-;-;1;1;-;-;-;-;-;-;-;1;1;-;-;9;-;-;1;-;-;68
"351090 Cássia dos Coqueiros";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"351100 Castilho";-;-;-;-;-;-;-;1;-;1;10;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;15
"351110 Catanduva";-;-;1;-;-;-;-;25;-;67;254;-;2;1;3;2;-;-;1;-;1;-;-;1;-;-;19;-;-;4;-;-;381
"351120 Catiguá";-;-;-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;8
"351130 Cedral";-;-;-;-;-;-;-;2;-;1;6;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;13
"351140 Cerqueira César";-;-;-;-;-;-;-;5;-;1;9;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;-;1;-;-;21
"351150 Cerquilho";-;1;-;-;-;-;-;6;-;8;94;-;-;-;1;-;-;1;9;-;-;-;-;1;-;-;6;-;-;-;-;-;127
"351160 Cesário Lange";-;1;-;-;-;-;-;5;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;16
"351170 Charqueada";-;-;-;-;-;-;-;5;-;2;7;-;-;-;1;-;-;-;4;-;-;-;-;1;-;-;1;-;-;-;-;-;21
"355720 Chavantes";-;-;-;-;-;1;-;3;-;1;9;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;17
"351190 Clementina";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"351200 Colina";-;-;-;-;-;-;-;5;-;11;30;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;50
"351210 Colômbia";-;-;-;-;-;-;-;3;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;12
"351220 Conchal";-;-;-;-;-;-;-;6;-;3;29;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;43
"351230 Conchas";-;-;-;-;-;-;-;4;-;2;28;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;6;-;-;-;-;-;43
"351240 Cordeirópolis";-;-;-;1;-;1;-;5;-;3;10;-;-;-;-;-;-;-;2;1;1;-;-;1;-;-;4;-;-;1;-;-;30
"351250 Coroados";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351260 Coronel Macedo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;4
"351280 Cosmópolis";-;-;-;-;-;2;-;11;1;7;45;-;-;-;1;-;-;-;6;-;-;-;-;1;-;-;7;1;-;-;-;-;82
"351290 Cosmorama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;5
"351300 Cotia";-;1;-;-;-;3;-;25;-;18;35;-;2;1;2;-;-;-;5;2;-;-;4;1;-;-;8;3;-;2;1;-;113
"351310 Cravinhos";-;-;-;-;-;-;-;2;-;3;27;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;2;-;-;1;-;-;39
"351320 Cristais Paulista";-;-;-;-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"351330 Cruzália";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"351340 Cruzeiro";-;1;-;-;-;1;-;12;-;54;160;-;1;-;1;1;-;-;5;4;1;-;-;-;-;-;19;1;-;2;-;-;263
"351350 Cubatão";-;-;1;-;-;2;-;13;-;16;104;-;-;-;2;-;-;-;2;-;-;2;1;2;-;-;17;1;-;5;-;-;168
"351360 Cunha";-;-;-;-;-;1;-;6;-;2;5;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;19
"351370 Descalvado";-;-;-;-;-;1;-;11;1;11;70;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;3;2;-;-;-;-;102
"351380 Diadema";-;1;2;-;-;5;-;21;-;23;64;-;-;-;5;2;-;-;15;-;1;-;2;1;-;-;11;2;-;25;-;-;180
"351385 Dirce Reis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;-;-;-;2;-;2;11;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;20
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;6
"351410 Dois Córregos";-;-;-;-;-;1;-;4;-;7;23;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;4;1;-;-;-;-;42
"351420 Dolcinópolis";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;-;2;-;-;1;2;-;-;1;-;-;-;-;-;12
"351440 Dracena";-;-;-;-;-;1;-;9;-;1;145;-;-;-;1;-;-;-;3;-;-;-;-;1;-;-;8;1;-;-;-;-;170
"351450 Duartina";-;-;-;-;-;-;-;5;-;1;23;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;5;-;-;1;-;-;37
"351460 Dumont";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351470 Echaporã";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;5
"351480 Eldorado";-;-;-;-;-;-;-;3;-;3;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"351490 Elias Fausto";-;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;9
"351492 Elisiário";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"351500 Embu das Artes";-;-;1;-;-;2;-;15;-;6;9;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;1;-;-;3;-;-;41
"351510 Embu-Guaçu";-;1;-;-;-;1;-;6;-;2;2;-;-;-;-;-;-;-;3;-;-;-;-;1;-;-;2;1;1;2;-;-;22
"351512 Emilianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;9
