"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"351770 Guará";-;-;1;-;5;-;1;8;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;19
"351780 Guaraçaí";-;-;-;-;1;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"351790 Guaraci";-;-;-;-;3;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351800 Guarani d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351810 Guarantã";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351820 Guararapes";-;-;-;-;4;-;-;16;-;-;-;1;-;-;-;-;-;-;-;5;1;-;-;-;-;27
"351830 Guararema";-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;7
"351840 Guaratinguetá";-;-;1;-;10;-;8;84;-;-;-;2;1;-;7;4;-;1;-;11;3;-;-;-;-;132
"351850 Guareí";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;6
"351860 Guariba";-;-;-;-;3;-;4;7;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;17
"351870 Guarujá";-;-;3;-;25;-;20;106;-;-;-;3;1;-;2;-;-;3;-;13;1;-;-;-;-;177
"351880 Guarulhos";-;-;4;-;69;1;114;158;-;1;3;7;1;-;19;1;-;7;-;50;1;-;1;-;-;437
"351885 Guatapará";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351890 Guzolândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351900 Herculândia";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"351905 Holambra";-;-;-;-;3;-;-;1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;7
"351907 Hortolândia";-;-;2;-;19;-;9;9;-;2;-;1;1;-;4;-;-;1;-;4;2;-;-;-;2;56
"351910 Iacanga";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351920 Iacri";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351925 Iaras";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351930 Ibaté";-;-;-;-;7;-;1;5;-;-;-;2;-;-;-;-;-;-;-;3;-;-;-;-;-;18
"351940 Ibirá";-;-;-;-;3;-;1;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;8
"351950 Ibirarema";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351960 Ibitinga";-;-;-;-;6;-;1;70;-;-;-;2;-;-;1;1;-;1;-;9;1;-;-;-;-;92
"351970 Ibiúna";-;-;-;-;16;-;1;10;-;-;-;1;-;-;1;-;-;-;-;2;2;-;-;-;-;33
"351980 Icém";-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;7
"351990 Iepê";-;-;-;-;3;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"352000 Igaraçu do Tietê";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352010 Igarapava";-;-;-;-;5;-;-;19;-;-;-;1;-;-;1;-;-;-;-;4;-;-;-;-;-;30
"352020 Igaratá";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;5
"352030 Iguape";-;-;-;-;6;-;-;4;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;13
"352042 Ilha Comprida";-;-;-;-;3;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;7
"352044 Ilha Solteira";-;-;-;-;4;-;6;34;-;-;-;1;-;-;2;2;-;-;-;8;1;-;-;-;-;58
"352040 Ilhabela";-;-;1;-;7;-;1;1;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;14
"352050 Indaiatuba";-;-;2;-;11;1;20;134;-;-;1;2;2;-;4;2;-;1;-;19;2;1;1;-;-;203
"352060 Indiana";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352070 Indiaporã";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352080 Inúbia Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352090 Ipaussu";-;-;-;-;2;-;-;6;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"352100 Iperó";-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;7
"352110 Ipeúna";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"352115 Ipiguá";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352120 Iporanga";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;5;-;-;15;-;-;-;1;-;-;-;-;-;1;-;2;2;-;-;-;-;26
"352140 Iracemápolis";-;-;-;-;2;-;2;3;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;10
"352150 Irapuã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352160 Irapuru";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352170 Itaberá";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;1;-;-;-;-;12
"352180 Itaí";-;-;-;-;6;-;-;14;-;-;-;1;-;-;2;-;-;-;-;2;1;-;-;-;-;26
"352190 Itajobi";-;-;-;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;11
"352200 Itaju";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352210 Itanhaém";-;-;1;-;8;-;13;8;-;1;-;1;-;-;3;-;-;1;-;2;2;-;-;-;1;41
"352215 Itaóca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"352220 Itapecerica da Serra";-;-;1;-;12;-;5;9;-;-;1;2;-;-;2;-;-;1;1;2;-;-;-;-;-;36
"352230 Itapetininga";-;-;2;-;22;-;10;127;-;-;-;2;-;-;5;7;-;-;-;13;4;-;-;-;-;192
"352240 Itapeva";-;-;2;-;23;-;9;58;-;-;-;1;-;-;7;-;-;-;-;6;3;-;1;-;1;111
"352250 Itapevi";-;-;-;-;12;-;8;14;-;-;-;2;1;-;1;-;-;3;1;2;1;-;1;-;1;47
"352260 Itapira";-;-;1;-;15;-;16;72;-;-;3;2;-;-;7;-;-;-;-;9;1;-;-;-;-;126
"352265 Itapirapuã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"352270 Itápolis";-;-;-;-;5;-;-;41;-;-;-;1;-;-;2;2;-;-;-;7;1;-;-;-;1;60
"352280 Itaporanga";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;5
"352290 Itapuí";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352300 Itapura";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352310 Itaquaquecetuba";-;-;-;-;4;-;5;3;-;-;-;1;-;-;2;10;-;1;-;5;1;-;-;-;-;32
"352320 Itararé";-;-;1;-;7;-;6;42;-;-;-;1;-;-;2;6;-;-;-;4;1;-;-;-;-;70
"352330 Itariri";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352340 Itatiba";-;-;1;-;14;-;15;29;-;-;-;2;-;-;7;-;-;-;-;9;1;-;1;-;1;80
"352350 Itatinga";-;-;-;-;1;-;1;6;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;11
"352360 Itirapina";-;-;-;-;3;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;10
"352370 Itirapuã";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352380 Itobi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
"352390 Itu";-;-;1;-;15;-;28;83;-;-;2;2;-;-;5;-;-;2;-;16;3;-;-;-;5;162
"352400 Itupeva";-;-;1;-;12;-;4;17;-;-;1;1;-;-;2;-;-;-;-;3;1;-;-;-;2;44
"352410 Ituverava";-;-;-;-;12;1;12;75;-;-;1;1;-;-;-;-;-;-;-;9;1;-;-;-;-;112
"352420 Jaborandi";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"352430 Jaboticabal";-;-;1;-;8;-;22;49;-;-;-;2;-;-;7;-;-;1;-;7;1;-;-;-;-;98
"352440 Jacareí";-;-;2;-;17;-;23;228;-;-;-;4;-;-;1;-;1;1;-;20;1;-;1;-;-;299
"352450 Jaci";-;-;-;-;2;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"352460 Jacupiranga";-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;9
"352470 Jaguariúna";-;-;-;-;5;-;2;23;-;2;-;1;-;-;3;-;-;-;-;3;2;-;-;-;1;42
"352480 Jales";-;-;-;-;9;-;18;56;-;-;-;1;-;-;1;-;-;1;-;17;1;-;-;-;-;104
"352490 Jambeiro";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352500 Jandira";-;-;1;-;10;-;3;2;-;-;1;1;-;-;1;-;-;-;-;1;1;-;-;-;1;22
"352510 Jardinópolis";-;-;-;-;9;-;4;4;-;-;-;1;-;-;2;-;-;-;-;3;1;-;-;-;-;24
"352520 Jarinu";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;8
"352530 Jaú";-;-;1;-;15;-;62;79;-;-;2;2;-;-;1;-;-;2;-;11;2;-;-;-;-;177
"352540 Jeriquara";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;4
"352560 João Ramalho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352570 José Bonifácio";-;-;-;-;8;-;5;8;-;-;-;1;-;-;2;-;-;-;-;4;-;-;-;-;-;28
"352580 Júlio Mesquita";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352585 Jumirim";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"352590 Jundiaí";-;1;3;-;36;-;134;715;-;1;2;4;4;-;10;-;-;4;3;38;-;-;1;-;-;956
"352600 Junqueirópolis";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;1;-;1;-;4;-;-;-;-;-;13
"352610 Juquiá";-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;8
"352620 Juquitiba";-;-;1;-;4;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;10
"352630 Lagoinha";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352640 Laranjal Paulista";-;-;1;-;7;-;2;32;-;-;-;1;-;-;2;-;-;-;-;5;1;-;-;-;-;51
"352650 Lavínia";-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"352660 Lavrinhas";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352670 Leme";-;-;-;-;17;-;37;54;-;-;-;2;-;-;2;-;-;-;1;13;1;-;-;-;3;130
"352680 Lençóis Paulista";-;-;-;-;10;-;2;96;-;-;-;1;1;-;1;-;-;1;-;10;1;-;-;-;1;124
"352690 Limeira";-;-;-;-;27;-;55;206;-;-;-;4;-;-;8;-;-;-;1;17;1;-;2;-;-;321
"352700 Lindóia";-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"352710 Lins";-;-;5;-;7;-;5;224;-;-;1;3;-;-;1;3;-;-;-;8;2;-;-;-;-;259
"352720 Lorena";-;-;2;-;17;-;7;126;-;-;-;2;-;-;-;-;-;-;-;9;-;-;-;-;-;163
"352725 Lourdes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352730 Louveira";-;-;-;-;2;-;1;10;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;17
"352740 Lucélia";-;-;-;-;3;-;-;11;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;17
"352750 Lucianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352760 Luís Antônio";-;-;-;-;4;-;1;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;9
"352770 Luiziânia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"352780 Lupércio";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352790 Lutécia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352800 Macatuba";-;-;-;-;3;-;3;4;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;12
"352810 Macaubal";-;-;-;-;1;-;1;2;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;7
"352820 Macedônia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352830 Magda";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352840 Mairinque";-;-;-;-;15;-;6;7;-;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;-;33
"352850 Mairiporã";-;-;1;-;8;-;4;13;-;1;-;1;-;-;3;1;-;-;-;2;1;-;-;-;-;35
"352860 Manduri";-;-;-;-;3;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"352870 Marabá Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352880 Maracaí";-;-;1;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"352885 Marapoama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352890 Mariápolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352900 Marília";-;-;2;-;47;1;31;316;-;-;2;6;-;1;2;-;1;1;-;18;2;-;3;-;-;433
"352910 Marinópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352920 Martinópolis";-;-;1;-;7;-;1;11;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;23
"352930 Matão";-;-;1;-;7;-;6;82;-;-;-;1;-;-;2;1;-;-;-;3;1;-;-;-;1;105
"352940 Mauá";-;-;2;-;23;-;19;95;-;-;1;4;-;-;7;-;-;-;-;26;2;-;1;-;1;181
"352950 Mendonça";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352960 Meridiano";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352965 Mesópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352970 Miguelópolis";-;-;-;-;7;-;1;5;-;-;-;1;-;-;-;-;-;1;-;6;-;-;-;-;-;21
"352980 Mineiros do Tietê";-;-;-;-;2;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;6
"353000 Mira Estrela";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352990 Miracatu";-;-;-;-;4;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;9
"353010 Mirandópolis";-;-;-;-;6;-;-;14;-;-;-;2;-;-;-;3;-;-;-;7;2;-;-;-;-;34
"353020 Mirante do Paranapanema";-;-;-;-;7;-;1;4;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;-;-;16
"353030 Mirassol";-;-;1;-;5;-;16;14;-;-;-;2;-;-;-;1;-;1;-;6;1;-;-;-;-;47
"353040 Mirassolândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353050 Mococa";-;-;2;-;61;-;41;7;1;-;-;1;1;-;4;-;-;1;-;10;2;-;1;-;-;132
"353060 Mogi das Cruzes";-;-;-;-;33;1;67;88;-;1;-;7;-;-;6;-;-;-;1;36;3;-;-;-;1;244
"353070 Mogi Guaçu";-;-;2;-;16;-;32;166;-;-;-;3;-;-;2;-;-;1;-;12;2;-;-;-;-;236
"353080 Mogi Mirim";-;-;2;-;13;-;8;70;-;-;1;1;-;-;1;-;-;-;-;13;1;-;-;-;-;110
"353090 Mombuca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353100 Monções";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3
"353110 Mongaguá";-;-;-;-;8;-;6;5;-;1;-;1;-;-;1;-;-;2;-;-;1;-;-;-;-;25
"353120 Monte Alegre do Sul";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"353130 Monte Alto";-;-;-;-;7;-;6;107;-;-;-;2;-;-;16;-;-;1;-;1;1;-;-;-;-;141
"353140 Monte Aprazível";-;-;-;-;4;-;11;7;-;-;-;1;-;-;-;2;-;-;-;1;1;-;-;-;-;27
"353150 Monte Azul Paulista";-;-;-;-;2;-;1;9;-;-;-;2;-;-;1;-;-;1;-;3;-;-;-;-;-;19
"353160 Monte Castelo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353180 Monte Mor";-;-;-;-;11;-;5;9;-;-;-;1;-;-;-;-;-;-;-;3;2;-;-;-;1;32
"353170 Monteiro Lobato";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;5
"353190 Morro Agudo";-;-;-;-;7;-;2;27;-;-;-;1;-;-;-;1;-;-;-;3;2;-;-;-;-;43
"353200 Morungaba";-;-;1;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;9
"353205 Motuca";-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353210 Murutinga do Sul";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353215 Nantes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353220 Narandiba";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353230 Natividade da Serra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353240 Nazaré Paulista";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353250 Neves Paulista";-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;7
"353260 Nhandeara";-;-;-;-;4;-;3;8;-;-;1;1;-;-;-;-;-;-;-;3;-;-;-;-;-;20
"353270 Nipoã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353280 Nova Aliança";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353282 Nova Campina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353284 Nova Canaã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353286 Nova Castilho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353300 Nova Granada";-;-;-;-;3;-;2;-;-;-;-;1;-;-;1;2;-;-;-;1;-;-;-;-;-;10
"353310 Nova Guataporanga";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353320 Nova Independência";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353330 Nova Luzitânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353340 Nova Odessa";-;-;-;-;4;-;5;24;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;36
"353325 Novais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353350 Novo Horizonte";-;-;-;-;5;-;23;9;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;42
"353360 Nuporanga";-;-;-;-;4;-;-;10;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;17
"353370 Ocauçu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"353380 Óleo";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353390 Olímpia";-;-;-;-;8;-;4;32;-;-;-;1;-;-;3;-;-;-;-;11;-;-;-;-;-;59
"353400 Onda Verde";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353410 Oriente";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353420 Orindiúva";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353430 Orlândia";-;-;-;-;6;-;1;74;-;-;-;1;-;-;2;-;-;-;-;4;2;-;1;-;-;91
"353440 Osasco";-;2;1;-;38;-;102;257;-;3;1;7;-;-;5;-;1;4;-;34;3;-;1;-;1;460
"353450 Oscar Bressane";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353460 Osvaldo Cruz";-;-;-;-;5;-;1;17;-;-;-;2;-;-;1;1;-;-;-;7;1;-;-;-;1;36
"353470 Ourinhos";-;1;1;-;15;-;21;186;-;-;3;3;-;-;5;3;-;-;-;20;2;-;-;-;-;260
"353480 Ouro Verde";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4
"353475 Ouroeste";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"353490 Pacaembu";-;-;-;-;4;1;-;4;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;13
"353500 Palestina";-;-;-;-;1;-;2;2;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;8
"353510 Palmares Paulista";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"353520 Palmeira d'Oeste";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;6
"353530 Palmital";-;-;-;-;5;-;1;5;-;-;-;2;-;-;1;-;-;-;1;1;1;-;-;-;-;17
"353540 Panorama";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;-;6
"353550 Paraguaçu Paulista";-;-;1;-;12;-;1;24;-;-;-;1;-;-;1;-;-;-;-;6;1;-;-;-;1;48
"353560 Paraibuna";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5;-;1;-;1;-;-;-;-;-;9
"353570 Paraíso";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353580 Paranapanema";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;6
"353590 Paranapuã";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353600 Parapuã";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353610 Pardinho";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353620 Pariquera-Açu";-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;10
"353625 Parisi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353630 Patrocínio Paulista";-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;8
"353640 Paulicéia";-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"353650 Paulínia";-;-;2;-;6;1;9;46;-;-;-;2;-;-;12;-;-;-;1;4;1;-;-;-;1;85
"353657 Paulistânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353660 Paulo de Faria";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353670 Pederneiras";-;-;-;-;11;-;2;15;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;-;33
