"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"351330 Cruzália";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;1;-;-;-;1;-;10;-;-;57;152;-;-;-;1;1;-;-;5;-;2;1;-;-;1;-;-;-;20;1;-;2;-;-;255
"351350 Cubatão";-;-;1;-;-;2;-;17;-;-;17;110;-;-;-;2;-;-;-;3;-;-;2;2;-;2;-;-;-;19;1;-;5;-;-;183
"351360 Cunha";-;-;-;-;-;1;-;6;-;-;2;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;20
"351370 Descalvado";-;1;-;-;-;1;-;11;-;-;13;78;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;3;1;-;-;-;-;111
"351380 Diadema";-;1;1;-;-;5;-;20;-;-;25;67;-;-;-;4;2;-;-;15;-;-;1;-;2;1;-;-;-;11;2;-;21;-;-;178
"351385 Dirce Reis";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351390 Divinolândia";-;-;-;-;-;-;-;1;-;-;4;10;-;-;-;1;-;-;-;1;-;3;-;-;-;-;-;-;-;2;1;-;-;-;-;23
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;5
"351410 Dois Córregos";1;-;-;-;-;1;-;4;-;-;5;25;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;5;-;-;-;-;-;44
"351420 Dolcinópolis";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;2;-;-;1;1;-;-;-;1;-;-;-;-;-;10
"351440 Dracena";-;-;-;-;-;1;-;13;-;-;3;143;-;-;-;1;-;-;-;4;-;-;1;-;-;1;-;-;-;8;1;-;-;-;-;176
"351450 Duartina";-;-;-;-;-;1;-;5;-;-;1;26;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;2;-;-;42
"351460 Dumont";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"351470 Echaporã";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;5
"351480 Eldorado";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;7
"351490 Elias Fausto";-;-;-;-;-;-;-;4;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;11
"351492 Elisiário";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351495 Embaúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"351500 Embu das Artes";-;1;1;-;-;2;-;15;-;-;6;27;-;-;-;2;-;-;-;1;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;61
"351510 Embu-Guaçu";-;1;-;-;-;1;-;12;-;-;2;3;-;1;-;-;-;-;-;3;1;-;-;-;-;1;1;-;-;2;1;1;2;-;-;32
"351512 Emilianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;4;-;-;3;3;-;1;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;16
"351518 Espírito Santo do Pinhal";-;1;-;-;-;2;-;7;-;-;15;119;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;154
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;-;-;3;-;-;2;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;11
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;2;-;-;1;10;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";1;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"351540 Fartura";-;-;-;-;-;-;-;4;-;-;2;19;-;-;-;1;-;-;-;1;-;-;-;-;-;2;1;-;-;4;-;-;1;-;-;35
"351560 Fernando Prestes";-;-;-;-;-;-;-;2;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;9
"351550 Fernandópolis";1;1;1;-;-;2;-;18;-;-;78;152;1;16;-;2;-;-;1;4;-;-;-;-;-;1;1;-;-;23;1;-;4;-;-;307
"351565 Fernão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;1;-;-;1;-;12;-;-;11;6;-;-;-;1;-;-;-;2;-;1;-;-;-;1;-;-;-;4;2;-;3;-;-;45
"351580 Flora Rica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351590 Floreal";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"351600 Flórida Paulista";1;-;-;-;-;-;-;4;-;-;-;3;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;15
"351610 Florínia";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351620 Franca";-;2;1;-;-;1;-;22;1;-;89;592;-;2;1;3;-;-;-;3;-;-;2;-;1;2;-;-;-;27;2;-;5;2;-;758
"351630 Francisco Morato";-;-;-;-;-;2;-;12;-;-;7;25;-;2;-;2;-;-;-;5;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;59
"351640 Franco da Rocha";3;2;-;1;-;1;-;13;-;-;9;36;-;3;1;3;-;-;-;-;-;-;1;-;-;1;-;-;-;6;2;-;-;-;-;82
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;-;2;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;12
"351670 Garça";1;-;-;1;-;2;-;13;-;-;7;34;-;1;2;2;-;-;-;2;-;-;1;-;-;1;-;-;-;2;1;-;-;-;1;71
"351680 Gastão Vidigal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;-;-;2;-;-;3;7;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;19
"351700 Getulina";-;-;-;-;-;-;-;3;-;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;14
"351710 Glicério";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;2;-;-;-;6;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;13
"351730 Guaimbê";1;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;7
"351740 Guaíra";1;1;-;-;-;1;-;7;-;-;8;44;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;70
"351750 Guapiaçu";-;-;-;-;-;1;-;8;-;-;4;6;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;1;-;-;-;-;25
"351760 Guapiara";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;7;-;-;1;1;-;-;-;-;-;-;1;-;-;14
"351770 Guará";2;-;-;-;-;1;-;5;1;-;3;27;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;45
"351780 Guaraçaí";1;-;-;-;-;-;-;1;-;-;-;8;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;16
"351790 Guaraci";-;-;-;-;-;-;-;3;-;-;1;6;-;2;-;-;-;-;1;2;-;1;-;-;-;1;-;-;-;1;1;-;1;-;-;20
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351810 Guarantã";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;6
"351820 Guararapes";-;-;-;-;-;-;-;4;-;-;2;29;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;41
"351830 Guararema";-;-;-;-;-;1;-;3;-;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;20
"351840 Guaratinguetá";-;1;1;-;-;1;-;12;-;-;15;197;-;1;-;3;2;-;-;17;-;3;-;-;1;1;-;-;-;14;1;-;3;2;-;275
"351850 Guareí";-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;8
"351860 Guariba";1;-;-;-;-;-;-;5;-;-;5;22;-;-;-;1;-;-;-;3;-;-;1;-;-;1;-;-;-;5;-;-;1;-;-;45
"351870 Guarujá";-;1;-;-;-;4;-;22;-;-;38;177;-;3;-;3;3;-;-;1;-;-;7;-;2;1;-;-;-;32;1;-;11;-;-;306
"351880 Guarulhos";1;1;1;-;2;7;-;72;-;-;163;337;-;2;3;11;-;-;-;33;-;-;5;-;-;5;-;-;-;54;1;-;17;-;-;715
"351885 Guatapará";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"351890 Guzolândia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;3;-;-;-;4;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;12
"351905 Holambra";-;-;-;-;-;-;-;4;-;-;3;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;17
"351907 Hortolândia";1;-;1;-;-;3;-;21;-;1;16;55;-;3;-;2;1;-;-;10;-;-;3;-;-;1;-;-;-;10;1;-;8;1;-;138
"351910 Iacanga";1;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;13
"351920 Iacri";-;-;-;-;-;-;-;2;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"351925 Iaras";1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"351930 Ibaté";-;-;-;-;-;-;-;9;-;-;1;17;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;2;-;-;-;-;36
"351940 Ibirá";-;-;-;-;-;-;-;3;-;-;1;7;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;19
"351950 Ibirarema";1;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;7
"351960 Ibitinga";-;-;-;-;-;1;-;9;-;-;2;104;-;-;-;2;-;-;-;1;-;-;1;2;-;1;-;-;-;11;-;-;1;-;-;135
"351970 Ibiúna";-;-;-;-;-;1;-;17;-;-;3;18;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;-;-;46
"351980 Icém";1;-;-;-;-;-;-;3;-;-;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;15
"351990 Iepê";1;-;-;-;-;-;-;3;-;-;2;5;-;5;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;19
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;4;-;-;3;10;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;19
"352010 Igarapava";1;-;-;-;-;1;-;7;-;-;5;36;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;57
"352020 Igaratá";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;6
"352030 Iguape";-;-;-;-;-;1;-;8;-;-;1;6;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;4;-;1;-;-;-;23
"352042 Ilha Comprida";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;8
"352044 Ilha Solteira";-;1;-;1;-;-;-;11;-;-;14;64;-;-;-;1;-;-;-;4;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;101
"352040 Ilhabela";1;-;-;-;-;1;-;9;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;23
"352050 Indaiatuba";-;-;-;-;1;3;-;14;-;-;52;251;-;-;1;2;3;-;-;17;-;-;1;-;-;1;-;-;-;22;1;-;1;2;-;372
"352060 Indiana";-;-;-;-;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"352070 Indiaporã";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352080 Inúbia Paulista";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352090 Ipaussu";-;-;-;-;-;-;-;3;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;17
"352100 Iperó";1;1;-;-;-;1;-;5;-;-;-;12;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;26
"352110 Ipeúna";-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;7
"352115 Ipiguá";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;4
"352130 Ipuã";-;-;-;-;-;-;-;6;-;-;1;17;-;-;-;1;-;-;-;-;-;1;-;-;1;1;-;-;-;2;-;-;-;-;-;30
"352140 Iracemápolis";-;-;-;-;-;1;-;4;-;-;3;10;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;22
"352150 Irapuã";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"352160 Irapuru";1;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"352170 Itaberá";-;1;-;-;-;-;-;6;-;-;2;-;-;-;-;1;-;-;-;1;-;3;-;-;-;1;-;-;-;3;-;-;-;1;-;19
"352180 Itaí";-;-;-;-;-;-;-;7;-;-;1;15;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;30
"352190 Itajobi";-;-;-;-;-;-;-;5;-;-;1;8;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;19
"352200 Itaju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";1;-;1;-;1;3;-;10;-;-;16;13;-;2;1;1;-;-;-;2;-;-;1;-;-;1;-;-;-;2;-;-;7;-;-;62
"352215 Itaóca";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352220 Itapecerica da Serra";-;-;-;-;-;1;-;12;-;-;4;19;-;-;3;1;-;-;-;4;-;-;-;-;2;1;-;-;-;2;-;-;2;-;-;51
"352230 Itapetininga";-;1;1;-;-;3;-;30;-;1;21;278;-;-;-;2;-;-;-;5;-;6;-;-;-;1;-;-;-;17;2;-;4;-;-;372
"352240 Itapeva";-;1;1;-;-;2;-;25;-;-;15;125;-;2;-;1;1;-;-;18;-;1;1;-;1;1;-;-;-;8;1;-;2;-;-;206
"352250 Itapevi";-;1;1;-;-;3;-;14;-;-;12;27;-;3;-;2;-;-;-;6;-;-;-;-;4;1;-;-;-;3;2;-;6;-;-;85
"352260 Itapira";1;-;-;-;-;2;-;15;-;-;9;82;-;-;3;2;-;-;-;5;-;-;-;-;-;1;-;-;-;7;-;-;2;-;-;129
"352265 Itapirapuã Paulista";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"352270 Itápolis";-;-;-;-;-;1;-;8;-;-;8;59;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;8;-;-;1;-;-;88
"352280 Itaporanga";-;-;-;-;-;-;-;5;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;11
"352290 Itapuí";-;-;1;-;-;-;-;4;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"352300 Itapura";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352310 Itaquaquecetuba";-;1;1;-;-;-;-;17;-;-;10;8;-;2;-;1;-;-;1;5;-;-;4;-;-;1;-;-;-;6;3;-;6;1;-;67
"352320 Itararé";1;1;-;-;-;1;-;7;-;-;9;47;-;1;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;6;-;-;1;-;-;81
"352330 Itariri";-;-;-;-;-;-;-;5;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;10
"352340 Itatiba";1;-;-;-;-;2;-;19;-;-;24;74;-;1;-;2;1;-;-;3;-;-;2;-;-;1;-;-;-;10;2;-;1;-;-;143
"352350 Itatinga";-;-;-;-;-;-;-;3;-;-;1;14;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;20
"352360 Itirapina";-;-;-;-;-;-;-;3;-;-;1;16;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;2;-;-;27
"352370 Itirapuã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;5
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352390 Itu";-;1;-;-;-;2;-;16;-;1;13;156;-;1;2;1;-;-;-;47;-;-;4;-;-;1;-;-;-;21;-;-;-;2;-;268
"352400 Itupeva";-;-;-;-;-;1;-;12;-;-;6;20;-;-;1;1;-;-;-;2;-;-;-;-;-;1;-;-;-;5;-;-;-;1;-;50
"352410 Ituverava";-;-;-;-;-;1;-;12;1;-;8;125;-;-;-;2;-;-;-;2;-;-;-;-;-;-;2;-;-;9;1;-;1;-;-;164
"352420 Jaborandi";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;9
"352430 Jaboticabal";1;1;-;-;-;2;-;10;-;-;16;76;-;1;-;2;-;-;-;13;-;-;2;-;-;1;-;-;-;7;1;-;1;-;-;134
"352440 Jacareí";-;1;-;-;2;3;-;18;-;-;31;276;-;-;-;5;1;-;-;8;-;-;1;-;1;1;-;-;-;22;1;-;4;-;-;375
"352450 Jaci";-;-;-;-;-;-;-;3;-;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;5;-;-;1;7;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;18
"352470 Jaguariúna";-;1;-;-;-;1;-;8;1;-;6;33;-;1;-;1;1;-;-;12;-;1;1;-;-;1;-;-;-;8;1;-;-;2;-;79
"352480 Jales";-;1;1;-;-;1;-;11;-;-;10;147;-;-;1;1;-;-;-;3;-;-;1;-;1;1;-;-;-;16;2;-;3;-;-;200
"352490 Jambeiro";-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"352500 Jandira";-;1;-;-;-;1;-;9;-;-;7;9;-;1;-;1;1;-;-;3;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;37
"352510 Jardinópolis";-;-;-;-;-;-;-;11;-;-;7;31;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;2;1;-;1;-;-;58
"352520 Jarinu";-;1;-;-;-;-;-;3;-;-;3;7;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3;-;1;-;-;-;20
"352530 Jaú";-;-;1;-;-;1;-;15;-;-;55;347;-;-;2;1;-;-;-;2;-;-;2;-;-;1;-;-;-;13;-;-;4;-;-;444
"352540 Jeriquara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352550 Joanópolis";-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;9
"352560 João Ramalho";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352570 José Bonifácio";-;-;-;-;-;-;-;7;-;-;3;29;-;-;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;50
"352580 Júlio Mesquita";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352585 Jumirim";-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352590 Jundiaí";1;2;1;-;5;3;-;38;-;-;195;1170;-;2;2;6;5;-;-;15;-;-;5;-;-;1;2;-;1;54;1;-;5;-;-;1514
"352600 Junqueirópolis";-;-;-;-;-;1;-;10;-;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;29
"352610 Juquiá";1;-;-;-;-;-;-;5;-;-;-;2;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;3;1;-;-;-;-;15
"352620 Juquitiba";-;-;-;-;-;1;-;4;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;12
"352630 Lagoinha";-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"352640 Laranjal Paulista";-;-;-;-;-;1;-;6;-;-;4;50;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;6;-;-;-;-;-;71
"352650 Lavínia";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"352660 Lavrinhas";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;-;2;-;14;-;-;18;117;-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;14;3;-;-;1;-;173
"352680 Lençóis Paulista";-;1;-;-;-;-;-;10;-;-;8;125;-;-;-;1;1;-;-;2;-;-;1;-;-;1;-;-;-;18;-;-;2;1;-;171
"352690 Limeira";-;-;1;-;-;2;-;30;-;-;54;470;-;-;-;4;-;-;-;12;-;3;-;-;-;1;-;-;-;24;2;-;4;-;-;607
