"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"351495 Embaúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"351500 Embu das Artes";-;-;1;-;-;2;-;15;-;6;9;-;-;-;2;-;-;1;-;-;-;-;1;-;-;1;-;-;3;-;-;41
"351510 Embu-Guaçu";-;1;-;-;-;1;-;6;-;2;2;-;-;-;-;-;-;3;-;-;-;-;1;-;-;2;1;1;2;-;-;22
"351512 Emilianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;9
"351518 Espírito Santo do Pinhal";-;-;-;-;-;1;-;5;1;10;102;-;-;2;1;-;-;-;-;-;-;-;1;-;-;6;-;-;1;-;-;130
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;-;-;1;-;-;11
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;1;-;1;12;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;5
"351540 Fartura";-;-;-;-;-;-;-;2;-;2;20;-;-;-;1;-;-;1;-;-;-;-;2;1;-;3;-;-;1;-;-;33
"351560 Fernando Prestes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"351550 Fernandópolis";-;1;1;-;1;1;-;16;-;36;160;1;10;-;2;-;-;3;1;-;-;-;1;-;-;22;-;-;4;-;-;260
"351565 Fernão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;-;-;-;1;-;13;-;9;5;-;-;-;1;-;-;2;1;-;-;-;1;-;-;4;2;-;1;-;-;40
"351580 Flora Rica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351590 Floreal";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"351600 Flórida Paulista";-;-;-;-;-;-;-;2;-;-;4;-;-;-;1;-;-;-;2;-;-;-;1;-;-;3;-;-;-;-;-;13
"351610 Florínia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351620 Franca";-;2;1;-;1;1;-;22;1;40;527;-;2;1;3;-;-;4;-;2;-;-;2;-;-;27;2;-;5;1;-;644
"351630 Francisco Morato";-;-;-;-;-;1;-;12;-;6;21;-;1;-;2;-;-;2;-;-;-;-;1;-;-;2;-;-;-;1;-;49
"351640 Franco da Rocha";-;-;-;-;-;-;-;12;1;6;31;-;2;2;3;-;-;-;-;1;-;-;1;-;-;5;5;-;-;-;-;69
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;-;2;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;11
"351670 Garça";1;-;-;1;-;2;-;12;-;4;31;-;1;2;1;-;-;1;-;1;-;-;1;-;-;2;-;-;-;-;-;60
"351680 Gastão Vidigal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;-;-;1;-;3;6;-;-;-;1;-;-;-;2;-;-;-;1;-;-;2;-;-;-;-;-;16
"351700 Getulina";-;-;-;-;-;-;-;3;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;13
"351710 Glicério";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;3;-;-;-;1;-;-;2;-;-;-;-;-;12
"351730 Guaimbê";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;5
"351740 Guaíra";-;-;-;-;-;1;-;8;-;5;39;-;-;-;1;-;-;-;-;1;-;-;1;-;-;4;-;-;1;-;-;61
"351750 Guapiaçu";-;-;-;-;-;1;-;8;-;4;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;20
"351760 Guapiara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7;-;-;1;1;-;-;-;-;-;-;-;-;12
"351770 Guará";1;-;-;-;-;1;-;5;1;4;15;-;-;-;1;-;-;-;1;-;-;-;1;-;-;2;1;-;-;-;-;33
"351780 Guaraçaí";-;-;-;-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;13
"351790 Guaraci";-;-;-;-;-;-;-;4;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"351810 Guarantã";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;4
"351820 Guararapes";-;-;-;-;-;-;-;4;-;2;23;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;34
"351830 Guararema";-;-;-;-;-;-;-;3;-;1;11;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;19
"351840 Guaratinguetá";-;1;1;-;-;1;-;12;-;14;173;-;1;-;2;2;-;16;3;-;-;1;1;-;-;11;1;-;4;1;-;245
"351850 Guareí";-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;6
"351860 Guariba";-;-;-;-;-;-;-;3;-;5;19;-;-;-;1;-;-;6;-;1;-;-;1;-;-;4;-;-;1;-;-;41
"351870 Guarujá";-;1;-;-;-;4;-;23;-;30;169;-;2;-;1;3;-;-;1;1;-;8;-;-;-;29;1;-;6;-;-;279
"351880 Guarulhos";1;1;1;-;1;7;-;70;-;136;272;-;1;3;10;-;-;35;1;1;-;4;1;-;-;51;1;-;18;-;-;615
"351885 Guatapará";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;4
"351890 Guzolândia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;3;1;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;9
"351905 Holambra";-;-;-;-;-;-;-;3;-;2;8;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;15
"351907 Hortolândia";-;-;1;-;-;3;-;22;-;13;43;-;3;-;2;1;-;5;-;1;-;1;1;-;-;7;1;-;8;2;-;114
"351910 Iacanga";-;-;-;-;-;-;-;-;-;1;5;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;11
"351920 Iacri";-;-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"351925 Iaras";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"351930 Ibaté";-;-;-;-;-;-;-;8;-;1;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4;1;-;-;-;-;28
"351940 Ibirá";-;-;-;-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4;-;-;1;-;-;15
"351950 Ibirarema";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"351960 Ibitinga";-;-;-;-;-;-;-;7;-;2;85;-;-;-;2;-;-;1;-;-;-;2;1;-;-;9;-;-;-;-;-;109
"351970 Ibiúna";-;1;-;-;-;-;-;16;-;4;11;-;-;1;1;-;-;-;-;-;-;-;1;-;-;2;-;-;1;-;-;38
"351980 Icém";-;-;-;-;-;-;-;2;-;4;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;11
"351990 Iepê";-;-;-;-;-;-;-;3;-;3;5;-;5;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;19
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;4;-;3;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;12
"352010 Igarapava";-;-;-;-;-;-;-;6;-;2;35;-;-;-;1;-;-;1;-;-;-;-;1;-;-;4;-;-;-;-;-;50
"352020 Igaratá";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;5
"352030 Iguape";-;-;-;-;-;-;-;1;-;1;5;-;-;-;-;-;-;1;5;-;-;-;1;-;-;3;-;1;-;-;-;18
"352042 Ilha Comprida";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;7
"352044 Ilha Solteira";-;-;-;-;-;-;-;10;-;4;50;-;-;-;1;-;-;2;-;-;-;-;1;-;-;3;-;-;-;-;-;71
"352040 Ilhabela";-;-;-;-;-;1;-;9;-;1;4;-;-;-;1;-;-;-;-;-;-;1;1;-;-;2;-;-;2;-;-;22
"352050 Indaiatuba";-;-;-;-;1;3;-;13;-;36;214;-;-;1;2;4;-;18;-;1;-;-;1;-;-;22;1;-;1;-;-;318
"352060 Indiana";-;-;-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;8
"352070 Indiaporã";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"352080 Inúbia Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;-;-;3;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;15
"352100 Iperó";-;1;-;-;-;1;-;5;-;-;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;22
"352110 Ipeúna";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;6
"352115 Ipiguá";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;4
"352130 Ipuã";-;-;-;-;-;-;-;4;-;1;22;-;-;-;1;-;-;-;1;-;-;1;1;-;-;2;-;-;-;-;-;33
"352140 Iracemápolis";-;-;-;-;-;-;-;3;-;2;9;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;-;-;18
"352150 Irapuã";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352160 Irapuru";-;-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"352170 Itaberá";-;1;-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;2;-;-;-;-;-;15
"352180 Itaí";-;-;-;-;-;-;-;8;-;-;15;-;-;-;1;-;-;1;-;-;-;-;1;-;-;2;-;-;1;-;-;29
"352190 Itajobi";-;-;-;-;-;-;-;5;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;15
"352200 Itaju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";-;-;1;-;-;3;-;10;-;14;15;-;2;-;1;-;-;2;-;-;-;1;1;-;-;2;2;-;3;-;-;57
"352215 Itaóca";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352220 Itapecerica da Serra";-;-;-;-;-;1;-;12;-;5;18;-;-;2;1;-;-;2;-;-;-;2;1;-;-;2;-;-;2;-;-;48
"352230 Itapetininga";-;1;1;1;-;2;-;25;-;11;209;-;-;-;2;-;-;4;7;-;-;-;1;-;-;13;1;-;-;-;-;278
"352240 Itapeva";-;1;1;-;-;2;-;23;-;15;79;-;2;-;1;1;-;18;-;-;-;-;1;-;-;5;1;-;2;-;-;152
"352250 Itapevi";-;1;1;-;-;1;-;12;-;15;18;-;1;-;2;-;-;2;-;-;-;4;1;-;-;4;1;-;6;1;-;70
"352260 Itapira";-;-;-;-;-;1;-;16;-;10;119;-;-;3;2;-;-;6;-;-;-;-;1;-;-;10;-;-;2;-;-;170
"352265 Itapirapuã Paulista";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;5
"352270 Itápolis";-;-;-;-;-;1;-;8;-;8;56;-;-;-;1;-;-;1;-;-;-;-;1;-;-;7;-;-;-;-;-;83
"352280 Itaporanga";-;-;-;-;-;-;-;5;-;1;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;3;1;-;1;-;-;14
"352290 Itapuí";-;-;-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"352300 Itapura";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"352310 Itaquaquecetuba";-;1;1;-;-;-;-;17;-;5;14;-;2;-;1;-;-;4;-;-;-;1;1;-;-;6;3;-;1;-;-;57
"352320 Itararé";-;-;-;-;-;1;-;6;1;9;43;-;1;-;1;-;-;-;5;-;-;-;1;-;-;5;-;-;1;-;-;74
"352330 Itariri";-;-;-;-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;7
"352340 Itatiba";-;-;-;-;-;2;-;17;-;19;55;-;1;-;2;1;-;4;-;2;-;-;1;-;-;15;1;-;1;1;-;122
"352350 Itatinga";-;-;-;-;-;-;-;2;-;1;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;17
"352360 Itirapina";-;-;-;-;-;-;-;4;-;1;18;-;-;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;1;-;-;29
"352370 Itirapuã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352390 Itu";-;1;-;-;-;2;-;15;-;4;134;-;1;2;1;-;-;45;-;3;-;-;1;-;-;17;-;-;-;3;-;229
"352400 Itupeva";-;-;-;-;-;1;-;12;-;5;17;-;-;1;1;-;-;2;-;-;-;-;1;-;-;5;-;-;-;1;-;46
"352410 Ituverava";-;-;-;-;-;1;-;11;1;9;115;-;-;-;2;-;-;1;-;-;-;-;-;1;-;10;1;-;1;-;-;153
"352420 Jaborandi";-;-;-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;7
"352430 Jaboticabal";-;-;-;-;-;2;-;10;-;11;65;-;1;-;2;-;-;13;-;1;-;-;1;-;-;8;-;-;1;-;-;115
"352440 Jacareí";-;1;-;-;2;2;-;16;-;24;238;-;-;-;5;1;-;6;-;1;-;1;1;-;-;22;-;-;-;-;-;320
"352450 Jaci";-;-;-;-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;5;-;-;6;-;1;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;15
"352470 Jaguariúna";-;-;-;-;-;-;-;6;1;2;30;-;-;-;1;-;-;15;-;1;-;-;1;-;-;7;-;-;-;2;-;66
"352480 Jales";-;1;1;-;-;-;-;11;-;9;135;-;-;1;1;-;-;2;-;1;-;1;1;-;-;15;1;-;2;-;-;182
"352490 Jambeiro";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352500 Jandira";-;-;-;-;-;1;-;9;-;5;9;-;-;-;1;1;-;3;-;-;-;-;1;-;-;1;-;-;-;-;-;31
"352510 Jardinópolis";-;-;-;-;-;-;-;8;-;6;21;-;-;-;-;-;-;3;-;1;-;-;1;-;-;1;-;-;-;-;-;41
"352520 Jarinu";-;1;-;-;-;-;-;3;-;3;4;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;1;-;-;-;16
"352530 Jaú";-;-;1;-;-;1;-;16;-;52;303;-;-;2;1;-;-;1;-;1;-;-;1;-;-;12;-;-;2;-;-;393
"352540 Jeriquara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;8
"352560 João Ramalho";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352570 José Bonifácio";-;-;-;-;-;-;-;7;-;1;22;-;-;-;1;-;-;4;-;-;-;-;1;-;-;5;-;-;1;-;-;42
"352580 Júlio Mesquita";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352585 Jumirim";-;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352590 Jundiaí";-;2;1;-;4;3;-;37;-;192;1117;-;2;1;5;4;-;12;-;5;-;-;1;1;-;51;-;-;5;-;-;1443
"352600 Junqueirópolis";-;-;-;-;-;1;-;10;-;1;10;-;-;-;1;-;-;-;-;-;-;1;1;-;-;2;-;-;-;-;-;27
"352610 Juquiá";-;-;-;-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;-;-;3;-;-;-;-;-;13
"352620 Juquitiba";-;-;-;-;-;1;-;4;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;2;-;-;14
"352630 Lagoinha";-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352640 Laranjal Paulista";-;-;-;-;-;1;-;6;-;5;48;-;-;-;1;-;-;2;-;-;-;-;1;-;-;5;-;-;-;-;-;69
"352650 Lavínia";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352660 Lavrinhas";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;-;1;-;14;-;13;103;-;-;-;2;-;-;2;-;1;-;-;1;-;-;13;1;-;-;1;-;152
"352680 Lençóis Paulista";-;1;-;-;-;-;-;10;-;5;101;-;-;-;1;1;-;2;-;-;-;1;1;-;-;20;-;-;1;1;-;145
"352690 Limeira";-;-;1;-;-;2;-;27;-;42;426;-;-;-;4;-;-;10;1;-;-;-;1;-;-;24;1;-;5;-;-;544
"352700 Lindóia";-;-;-;-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;-;2;-;-;12
"352710 Lins";-;-;-;-;1;4;-;7;-;6;318;-;-;2;3;-;-;1;3;-;-;-;1;-;-;14;-;-;-;-;-;360
"352720 Lorena";-;-;-;-;-;1;-;16;-;9;148;-;-;-;2;-;-;-;-;-;-;1;1;-;-;11;-;-;1;-;-;190
"352725 Lourdes";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352730 Louveira";-;-;-;-;-;-;-;4;-;3;15;-;-;-;1;-;-;3;-;-;-;-;1;-;-;2;-;-;-;-;-;29
"352740 Lucélia";-;-;-;-;-;-;-;6;-;3;18;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;29
"352750 Lucianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352760 Luís Antônio";1;-;-;-;-;-;-;4;-;1;9;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;17
"352770 Luiziânia";-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;7
"352780 Lupércio";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"352790 Lutécia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352800 Macatuba";-;-;-;-;-;-;-;4;-;4;15;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;27
"352810 Macaubal";-;-;-;-;-;-;-;1;-;1;6;-;-;-;1;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;12
"352820 Macedônia";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"352830 Magda";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352840 Mairinque";-;1;-;-;-;-;-;15;-;9;18;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;47
"352850 Mairiporã";-;1;-;-;-;2;-;9;-;12;15;-;2;-;1;-;-;3;3;-;-;-;1;-;-;2;-;-;-;-;-;51
"352860 Manduri";-;-;-;-;-;-;-;2;-;2;5;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;12
"352870 Marabá Paulista";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"352880 Maracaí";-;-;-;-;-;1;-;4;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4;-;-;-;-;-;14
"352885 Marapoama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352890 Mariápolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352900 Marília";-;1;1;-;-;3;-;50;1;37;516;-;4;2;4;-;1;1;-;3;-;-;2;1;-;26;1;-;5;1;-;660
"352910 Marinópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352920 Martinópolis";-;-;-;-;-;2;-;7;-;3;15;-;-;-;1;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;-;32
"352930 Matão";-;-;-;-;-;1;-;13;-;25;99;-;-;-;1;-;-;2;-;1;-;-;1;-;-;7;-;-;1;1;-;152
"352940 Mauá";-;-;2;-;-;3;-;26;1;15;132;-;2;1;5;-;-;8;-;3;-;-;1;-;-;17;1;-;15;1;-;233
"352950 Mendonça";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;4
"352960 Meridiano";-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"352965 Mesópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352970 Miguelópolis";-;-;-;-;-;-;-;7;1;3;13;-;-;-;1;-;-;1;-;-;-;1;-;-;-;4;-;-;-;-;-;31
"352980 Mineiros do Tietê";-;-;-;-;-;-;-;2;-;1;4;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;9
"353000 Mira Estrela";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352990 Miracatu";-;-;-;-;-;-;-;4;-;1;2;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;-;-;-;-;-;11
"353010 Mirandópolis";-;-;-;-;-;-;-;6;-;-;27;-;1;-;1;-;-;-;3;-;-;-;1;-;-;7;1;-;-;-;-;47
"353020 Mirante do Paranapanema";-;-;-;-;-;-;-;8;-;1;7;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;1;-;-;-;-;21
"353030 Mirassol";-;-;-;-;-;1;-;6;-;13;76;-;-;-;2;-;-;-;1;-;-;1;1;-;-;8;1;-;1;-;-;111
"353040 Mirassolândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
