"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"351330 Cruzália";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;1;-;-;-;1;-;9;-;60;152;-;-;-;1;2;-;-;5;-;2;-;-;-;1;-;-;-;23;1;-;2;-;-;1;261
"351350 Cubatão";-;-;1;-;-;2;-;18;-;16;108;-;-;-;2;-;-;-;3;-;-;2;2;-;2;-;-;-;17;1;-;3;-;-;-;177
"351360 Cunha";-;1;-;-;-;1;-;5;-;2;7;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;1;-;-;-;22
"351370 Descalvado";-;1;-;-;-;1;-;11;-;13;77;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;3;1;-;-;-;-;-;110
"351380 Diadema";-;1;1;-;-;5;-;20;-;27;71;-;-;-;4;2;-;-;18;-;-;2;-;2;1;-;-;-;14;2;-;12;-;-;-;182
"351385 Dirce Reis";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351390 Divinolândia";-;-;-;-;-;-;-;1;-;8;10;-;-;-;1;-;-;-;1;-;3;-;-;-;1;-;-;-;2;-;-;-;-;-;-;27
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;5
"351410 Dois Córregos";1;-;-;-;-;1;-;4;-;4;29;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;5;-;-;-;-;-;-;47
"351420 Dolcinópolis";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;-;-;2;-;-;1;1;-;-;-;1;-;-;-;-;-;-;11
"351440 Dracena";-;-;-;-;-;1;-;13;-;3;157;-;-;-;1;-;-;-;5;-;-;1;-;-;1;-;-;-;7;1;-;-;-;-;-;190
"351450 Duartina";-;-;-;-;-;1;-;5;-;1;29;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;44
"351460 Dumont";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5
"351470 Echaporã";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"351480 Eldorado";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;7
"351490 Elias Fausto";-;-;-;-;-;1;-;4;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;13
"351492 Elisiário";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351495 Embaúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"351500 Embu das Artes";-;1;1;-;-;2;-;17;-;1;38;-;-;-;2;-;-;-;5;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;-;73
"351510 Embu-Guaçu";-;1;-;-;-;1;-;12;-;3;4;-;1;-;-;-;-;-;4;1;-;1;-;-;1;1;-;-;2;1;1;2;-;-;-;36
"351512 Emilianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;1;-;4;-;3;4;-;1;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;18
"351518 Espírito Santo do Pinhal";-;1;-;-;-;2;-;7;-;16;121;-;-;2;1;-;-;-;1;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;158
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;11
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;2;-;2;12;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;21
"351530 Estrela do Norte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";1;-;-;-;-;-;-;2;-;1;2;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;-;12
"351540 Fartura";-;-;-;-;-;-;-;4;-;2;21;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;3;-;-;1;-;-;-;35
"351560 Fernando Prestes";-;-;-;-;-;-;-;2;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;9
"351550 Fernandópolis";1;1;1;1;-;2;-;18;-;112;170;2;16;-;2;1;-;1;6;-;-;1;-;-;1;1;-;-;22;1;-;4;-;-;-;364
"351565 Fernão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;1;1;-;-;1;-;13;-;10;10;-;1;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;2;2;-;3;1;-;-;49
"351580 Flora Rica";1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"351590 Floreal";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
"351600 Flórida Paulista";1;-;-;-;-;1;-;4;-;-;4;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;-;17
"351610 Florínia";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351620 Franca";-;2;1;-;-;1;-;22;-;113;617;-;2;1;3;-;-;-;3;-;-;3;-;1;3;-;-;-;30;2;-;4;2;-;1;811
"351630 Francisco Morato";-;-;-;-;-;3;-;12;-;7;29;-;2;-;2;-;-;-;4;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;63
"351640 Franco da Rocha";3;2;-;1;-;3;-;13;-;11;38;-;3;1;3;-;-;-;-;-;-;2;-;-;1;-;-;-;7;2;-;-;-;-;-;90
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;-;2;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;12
"351670 Garça";1;-;-;1;-;2;-;14;-;5;34;-;1;2;2;-;-;-;2;-;-;1;-;-;1;-;-;-;2;1;-;-;-;1;-;70
"351680 Gastão Vidigal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;-;-;3;-;3;7;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;18
"351700 Getulina";-;-;-;-;-;-;-;3;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;14
"351710 Glicério";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;2;-;1;6;-;-;-;-;-;-;-;1;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;15
"351730 Guaimbê";1;-;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"351740 Guaíra";1;1;-;-;-;1;-;6;-;8;41;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;6;-;-;1;-;-;-;68
"351750 Guapiaçu";-;-;-;-;-;1;-;8;-;4;4;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;22
"351760 Guapiara";-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;1;-;7;-;-;-;1;-;-;-;1;-;-;1;-;-;-;16
"351770 Guará";2;1;-;-;-;1;-;5;-;3;27;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;-;45
"351780 Guaraçaí";1;-;-;-;-;-;-;1;-;-;8;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;-;16
"351790 Guaraci";-;-;-;-;-;-;-;3;-;-;6;-;2;-;-;-;-;1;1;-;1;1;-;-;1;-;-;-;2;-;-;1;-;-;-;19
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351810 Guarantã";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351820 Guararapes";-;-;-;-;-;1;-;4;-;2;30;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;1;-;-;-;-;-;45
"351830 Guararema";-;-;-;-;-;1;-;2;-;1;18;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;27
"351840 Guaratinguetá";-;1;1;-;-;1;-;12;-;17;216;-;1;-;3;2;-;-;17;-;3;-;-;1;1;-;-;3;16;1;-;3;2;-;4;305
"351850 Guareí";-;1;-;-;-;1;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;11
"351860 Guariba";1;-;-;-;-;-;-;5;-;5;21;-;-;-;1;-;-;-;4;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;-;44
"351870 Guarujá";-;1;-;-;-;4;-;23;-;43;189;-;4;-;4;3;-;-;1;-;-;6;-;3;1;-;-;1;32;2;-;7;-;-;-;324
"351880 Guarulhos";1;1;1;-;2;7;-;73;-;188;409;-;1;3;12;1;-;-;35;-;-;8;-;1;5;1;-;-;60;1;-;22;-;-;-;832
"351885 Guatapará";1;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;8
"351890 Guzolândia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";1;-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;13
"351905 Holambra";-;-;-;-;-;-;-;4;-;4;13;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;23
"351907 Hortolândia";1;-;1;-;-;3;-;21;2;16;64;-;3;-;2;1;-;-;14;-;-;3;-;-;1;-;-;-;15;1;-;8;1;-;-;157
"351910 Iacanga";1;-;-;-;-;1;-;-;-;-;8;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;2;-;-;-;17
"351920 Iacri";-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"351925 Iaras";1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"351930 Ibaté";-;-;-;-;-;-;-;9;-;1;18;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;2;-;-;-;-;-;37
"351940 Ibirá";-;-;-;-;-;-;-;4;-;1;7;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;-;19
"351950 Ibirarema";1;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;7
"351960 Ibitinga";-;-;-;-;-;2;-;9;-;3;108;-;-;-;2;-;-;-;1;-;-;1;1;-;1;-;-;-;11;-;-;1;-;-;-;140
"351970 Ibiúna";-;-;-;-;-;1;-;17;-;3;22;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;1;-;-;-;53
"351980 Icém";1;-;-;-;-;-;-;4;-;4;5;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;18
"351990 Iepê";1;-;-;-;-;-;-;3;-;2;5;-;5;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;19
"352000 Igaraçu do Tietê";-;-;-;-;-;1;-;4;-;3;10;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;21
"352010 Igarapava";1;-;-;-;-;1;-;5;-;6;34;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;55
"352020 Igaratá";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;5
"352030 Iguape";-;-;-;-;-;1;-;6;-;1;6;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;4;-;1;-;-;-;1;22
"352042 Ilha Comprida";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;8
"352044 Ilha Solteira";-;1;-;1;-;2;-;11;-;15;72;-;-;-;1;-;-;-;4;-;-;-;-;-;1;-;-;-;5;-;-;-;-;-;-;113
"352040 Ilhabela";1;-;-;-;-;1;-;11;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;25
"352050 Indaiatuba";-;-;-;-;1;3;-;16;-;57;284;-;1;1;2;3;-;-;15;-;-;1;-;-;1;1;-;-;26;1;-;1;2;-;-;416
"352060 Indiana";-;-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"352070 Indiaporã";-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"352080 Inúbia Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;-;-;3;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;16
"352100 Iperó";1;1;-;-;-;1;-;4;-;1;12;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;2;-;-;1;-;-;-;27
"352110 Ipeúna";-;-;-;-;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;8
"352115 Ipiguá";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4
"352130 Ipuã";-;-;-;-;-;1;-;6;-;1;20;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;33
"352140 Iracemápolis";-;-;-;-;-;1;-;4;-;4;12;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2;-;-;-;-;-;-;25
"352150 Irapuã";-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;6
"352160 Irapuru";1;-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"352170 Itaberá";-;1;-;-;-;-;-;6;-;2;1;-;-;-;1;-;-;-;1;-;3;-;-;-;1;-;-;-;3;-;-;-;1;-;-;20
"352180 Itaí";-;-;-;-;-;-;-;7;-;1;15;-;2;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;34
"352190 Itajobi";1;-;-;-;-;1;-;5;-;1;12;-;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;-;27
"352200 Itaju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";1;1;1;-;1;3;-;10;-;14;16;-;2;1;1;-;-;-;5;-;-;1;-;-;1;-;-;-;4;-;-;7;-;-;-;69
"352215 Itaóca";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"352220 Itapecerica da Serra";-;-;-;-;-;1;-;13;-;4;22;-;-;3;1;-;-;-;4;-;-;-;-;2;1;-;-;-;2;-;-;2;-;-;1;56
"352230 Itapetininga";-;1;1;1;-;3;-;26;1;27;286;-;1;-;2;-;-;-;5;-;2;-;-;-;1;-;-;-;16;1;-;4;-;-;-;378
"352240 Itapeva";-;1;1;-;-;1;-;25;-;16;155;-;3;-;1;1;-;-;18;-;1;1;-;1;1;-;-;-;8;1;-;2;-;-;-;237
"352250 Itapevi";-;1;1;-;-;3;-;15;-;14;31;-;1;-;2;-;-;-;6;-;-;-;-;4;1;-;-;-;3;2;-;6;-;-;-;90
"352260 Itapira";1;1;-;-;-;2;-;13;-;10;86;-;-;2;2;-;-;-;5;-;-;-;-;-;1;-;-;-;7;-;-;2;-;-;-;132
"352265 Itapirapuã Paulista";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5
"352270 Itápolis";-;-;-;-;-;1;-;8;-;8;57;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;8;-;-;1;-;-;-;86
"352280 Itaporanga";-;-;-;-;-;-;-;5;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;11
"352290 Itapuí";-;-;2;-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;15
"352300 Itapura";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"352310 Itaquaquecetuba";-;1;1;-;-;-;-;17;-;10;17;-;1;-;1;-;-;1;6;-;-;4;-;-;1;-;-;-;6;3;-;3;1;-;-;73
"352320 Itararé";1;1;-;-;-;1;-;6;-;9;46;-;1;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;6;-;-;1;-;-;-;79
"352330 Itariri";-;-;-;-;-;-;-;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;11
"352340 Itatiba";2;-;-;-;-;2;-;20;-;29;91;-;1;-;2;1;-;-;3;-;-;2;-;-;1;-;-;-;10;2;-;1;-;-;-;167
"352350 Itatinga";-;-;-;-;-;-;-;2;-;1;15;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;20
"352360 Itirapina";-;-;-;-;-;-;-;3;-;1;16;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;2;-;-;-;27
"352370 Itirapuã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;5
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"352390 Itu";-;1;-;-;-;2;-;15;1;5;161;-;1;2;2;-;-;-;60;-;-;5;-;-;1;-;-;-;22;2;-;-;2;-;-;282
"352400 Itupeva";-;-;-;-;-;1;-;12;-;5;21;-;-;1;1;-;-;-;2;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;49
"352410 Ituverava";-;-;-;-;-;1;-;13;-;8;139;-;-;-;2;-;-;-;2;-;-;-;-;-;1;2;-;-;9;1;-;1;-;-;-;179
"352420 Jaborandi";-;-;-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;9
"352430 Jaboticabal";1;1;-;-;-;1;-;11;-;18;81;-;1;-;2;-;-;-;14;-;-;2;-;-;1;-;-;-;7;1;-;1;-;-;-;142
"352440 Jacareí";-;1;-;-;2;3;-;18;-;32;309;-;-;-;5;1;-;-;8;-;2;1;-;1;1;-;-;-;26;1;-;4;-;-;1;416
"352450 Jaci";-;-;-;-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;5;-;1;7;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;18
"352470 Jaguariúna";-;1;-;-;-;1;-;8;-;7;39;-;1;-;1;1;-;-;14;-;1;1;-;-;1;-;-;-;8;1;-;-;2;-;-;87
"352480 Jales";-;1;1;-;-;1;-;11;-;15;155;-;-;1;1;-;-;-;2;-;-;1;-;-;1;-;-;-;15;2;-;3;-;-;-;210
"352490 Jambeiro";-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5
"352500 Jandira";-;1;-;-;-;1;-;10;-;10;9;-;1;-;-;1;-;-;3;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;-;41
"352510 Jardinópolis";-;-;-;-;-;-;-;12;-;7;30;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;2;1;-;1;-;-;1;59
"352520 Jarinu";-;1;-;-;-;-;-;4;-;3;7;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;1;-;-;-;-;22
"352530 Jaú";-;-;1;-;-;1;-;17;-;67;358;-;-;2;1;-;-;-;4;-;-;2;-;-;1;-;-;-;17;-;-;4;-;-;-;475
"352540 Jeriquara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"352550 Joanópolis";-;-;-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;9
"352560 João Ramalho";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"352570 José Bonifácio";-;-;-;-;-;-;-;7;-;3;34;-;-;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;55
"352580 Júlio Mesquita";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"352585 Jumirim";-;1;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"352590 Jundiaí";1;2;1;-;6;4;-;37;-;193;1180;-;2;3;6;2;-;-;13;-;-;5;-;-;1;3;-;-;57;1;-;5;-;-;-;1522
"352600 Junqueirópolis";-;-;-;-;-;1;-;10;-;1;12;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;-;30
"352610 Juquiá";1;-;-;-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;3;1;-;-;-;-;-;15
"352620 Juquitiba";-;-;-;-;-;1;-;4;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;2;-;-;-;13
"352630 Lagoinha";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;8
"352640 Laranjal Paulista";-;-;-;-;-;1;-;6;-;5;56;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;-;79
"352650 Lavínia";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"352660 Lavrinhas";-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;-;3;-;14;-;16;131;-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;14;3;-;-;1;-;-;186
"352680 Lençóis Paulista";-;1;-;-;-;-;-;10;-;10;144;-;-;-;1;1;-;-;2;-;-;1;-;-;1;-;-;-;19;-;-;1;1;-;-;192
"352690 Limeira";-;-;1;-;-;3;-;31;-;46;520;-;-;-;4;1;-;-;18;-;2;-;-;-;1;-;-;-;29;3;-;4;-;-;-;663
