"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"351460 Dumont";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351470 Echaporã";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;4
"351480 Eldorado";-;-;-;-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"351490 Elias Fausto";-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;7
"351492 Elisiário";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351495 Embaúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351500 Embu das Artes";-;-;1;-;-;2;-;15;-;6;8;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;1;-;-;3;-;-;40
"351510 Embu-Guaçu";-;1;-;-;-;1;-;6;-;2;2;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;2;1;1;2;-;-;21
"351512 Emilianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;9
"351518 Espírito Santo do Pinhal";-;-;-;-;-;1;-;5;1;10;102;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;6;-;-;1;-;-;130
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;-;-;3;-;1;2;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;-;-;1;-;-;11
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;2;-;1;11;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"351540 Fartura";-;-;-;-;-;-;-;2;-;2;22;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;3;-;-;1;-;-;33
"351560 Fernando Prestes";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351550 Fernandópolis";-;-;1;-;1;1;-;17;-;22;169;1;7;-;2;-;-;3;1;-;-;-;1;-;-;-;21;-;-;4;1;-;252
"351565 Fernão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;-;-;-;1;-;13;-;9;5;-;-;-;1;-;-;2;1;-;-;-;1;-;-;-;4;2;-;1;-;-;40
"351580 Flora Rica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351590 Floreal";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"351600 Flórida Paulista";-;-;-;-;-;-;-;2;-;-;4;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;13
"351610 Florínia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351620 Franca";-;-;1;-;1;1;-;22;1;38;523;-;2;1;3;-;-;4;-;2;-;-;2;-;-;-;25;2;-;5;1;-;634
"351630 Francisco Morato";-;-;-;-;-;1;-;12;-;6;17;-;1;-;2;-;-;2;-;-;-;-;1;-;-;-;2;-;-;-;1;-;45
"351640 Franco da Rocha";-;-;-;-;-;-;-;11;1;6;30;-;2;2;3;-;-;-;-;1;-;-;1;-;-;-;5;5;-;-;-;-;67
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;-;2;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;11
"351670 Garça";1;-;-;1;-;2;-;12;-;4;30;-;1;2;1;-;-;1;-;1;-;-;1;-;-;-;2;-;-;-;-;-;59
"351680 Gastão Vidigal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;-;-;1;-;3;5;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;-;15
"351700 Getulina";-;-;-;-;-;-;-;3;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;13
"351710 Glicério";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;2;-;-;4;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;2;-;-;-;-;-;12
"351730 Guaimbê";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;5
"351740 Guaíra";-;-;-;-;-;-;-;9;-;5;39;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;61
"351750 Guapiaçu";-;-;-;-;-;1;-;8;-;4;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;20
"351760 Guapiara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7;-;-;1;1;-;-;-;-;-;-;-;-;-;11
"351770 Guará";1;-;-;-;-;1;-;5;1;4;15;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;33
"351780 Guaraçaí";-;-;-;-;-;-;-;1;-;-;9;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;13
"351790 Guaraci";-;-;-;-;-;-;-;4;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351810 Guarantã";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;3
"351820 Guararapes";-;-;-;-;-;-;-;4;-;1;24;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;34
"351830 Guararema";-;-;-;-;-;-;-;2;-;1;9;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;15
"351840 Guaratinguetá";-;-;1;-;-;1;-;12;1;11;171;-;1;-;2;2;-;16;3;-;-;1;1;-;-;-;11;1;-;3;1;-;239
"351850 Guareí";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"351860 Guariba";-;-;-;-;-;-;-;3;-;5;17;-;-;-;1;-;-;6;-;1;-;-;1;-;-;-;4;-;-;-;-;-;38
"351870 Guarujá";-;-;-;-;-;4;-;23;1;26;167;-;2;-;1;3;-;-;1;-;-;9;-;-;-;-;28;1;-;6;-;-;272
"351880 Guarulhos";1;-;1;-;1;7;-;70;-;140;270;-;1;3;10;-;-;34;1;1;-;4;1;-;-;-;51;1;-;18;-;-;615
"351885 Guatapará";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351890 Guzolândia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;3;1;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"351905 Holambra";-;-;-;-;-;-;-;3;-;2;8;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;15
"351907 Hortolândia";-;-;1;-;-;3;-;22;-;12;39;-;3;-;2;1;-;5;-;1;-;1;1;-;-;-;7;1;-;6;2;-;107
"351910 Iacanga";-;-;-;-;-;-;-;-;-;1;5;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"351920 Iacri";-;-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"351925 Iaras";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351930 Ibaté";-;-;-;-;-;-;-;8;-;1;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;28
"351940 Ibirá";-;-;-;-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;15
"351950 Ibirarema";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"351960 Ibitinga";-;-;-;-;-;-;-;6;-;2;84;-;-;-;2;-;-;1;1;-;-;2;1;-;-;-;9;-;-;-;-;-;108
"351970 Ibiúna";-;-;-;-;-;-;-;16;-;5;11;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;37
"351980 Icém";-;-;-;-;-;-;-;2;-;2;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"351990 Iepê";-;-;-;-;-;-;-;3;-;3;5;-;5;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;19
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;4;-;3;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"352010 Igarapava";-;-;-;-;-;-;-;5;-;1;35;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;4;-;-;-;-;-;48
"352020 Igaratá";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;5
"352030 Iguape";-;-;-;-;-;-;-;1;-;1;5;-;-;-;-;-;-;1;5;-;-;-;1;-;-;-;3;-;1;-;-;-;18
"352042 Ilha Comprida";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;7
"352044 Ilha Solteira";-;-;-;-;-;-;-;11;-;5;52;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;3;-;-;-;-;-;75
"352040 Ilhabela";-;-;-;-;-;1;-;8;-;1;2;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;2;-;-;2;-;-;19
"352050 Indaiatuba";-;-;-;-;-;3;-;12;-;34;212;-;-;1;2;4;-;18;1;1;-;-;1;-;-;-;22;1;-;1;-;-;313
"352060 Indiana";-;-;-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"352070 Indiaporã";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352080 Inúbia Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;-;-;3;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;15
"352100 Iperó";-;-;-;-;-;1;-;5;-;-;11;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;20
"352110 Ipeúna";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;1;-;1;-;-;7
"352115 Ipiguá";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;-;-;-;4;-;1;22;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;2;-;-;-;-;-;33
"352140 Iracemápolis";-;-;-;-;-;-;-;3;-;2;9;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;18
"352150 Irapuã";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352160 Irapuru";-;-;-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"352170 Itaberá";-;-;-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;2;-;-;-;-;-;14
"352180 Itaí";-;-;-;-;-;-;-;7;-;-;15;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;2;-;-;1;-;-;28
"352190 Itajobi";-;-;-;-;-;-;-;5;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;15
"352200 Itaju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";-;-;1;-;-;3;-;10;-;13;14;-;2;-;1;-;-;2;-;-;-;1;1;-;-;-;2;2;-;3;-;-;55
"352215 Itaóca";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352220 Itapecerica da Serra";-;-;-;-;-;1;-;12;-;5;17;-;-;1;2;-;-;2;-;-;-;1;1;-;-;-;2;-;-;2;-;-;46
"352230 Itapetininga";-;-;1;1;-;2;-;26;-;11;206;-;-;-;2;-;-;3;7;-;-;-;1;-;-;-;13;1;-;-;-;-;274
"352240 Itapeva";-;-;1;-;-;2;-;23;-;15;72;-;2;-;1;1;-;18;-;-;-;-;1;-;-;-;5;1;-;1;-;-;143
"352250 Itapevi";-;-;1;-;-;1;-;12;1;14;18;-;1;-;2;-;-;1;-;-;-;4;1;-;-;-;3;1;-;6;1;-;67
"352260 Itapira";-;-;-;-;-;1;-;16;-;10;116;-;-;3;2;-;-;6;-;-;-;-;1;-;-;-;10;-;-;2;-;-;167
"352265 Itapirapuã Paulista";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352270 Itápolis";-;-;-;-;-;1;-;8;-;6;55;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;7;-;-;-;-;-;80
"352280 Itaporanga";-;-;-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3;1;-;-;-;-;12
"352290 Itapuí";-;-;-;-;-;-;-;4;-;-;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"352300 Itapura";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"352310 Itaquaquecetuba";-;1;-;-;-;-;-;18;-;5;14;-;2;-;1;-;-;4;-;-;-;1;1;-;-;-;6;3;-;2;-;-;58
"352320 Itararé";-;-;-;-;-;1;-;6;1;9;43;-;1;-;1;-;-;-;5;-;-;-;1;-;-;-;5;-;-;1;-;-;74
"352330 Itariri";-;-;-;-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7
"352340 Itatiba";-;-;-;-;-;2;-;16;-;18;55;-;1;-;2;1;-;4;-;2;-;-;1;-;-;-;15;1;-;1;1;-;120
"352350 Itatinga";-;-;-;-;-;-;-;2;-;1;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;17
"352360 Itirapina";-;-;-;-;-;-;-;4;-;1;18;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;1;-;-;1;-;-;29
"352370 Itirapuã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352390 Itu";-;-;-;-;-;2;-;15;-;4;126;-;1;2;1;-;-;45;-;3;-;-;1;-;-;-;17;-;-;-;4;-;221
"352400 Itupeva";-;-;-;-;-;1;-;12;-;5;17;-;-;1;1;-;-;2;-;-;-;-;1;-;-;-;5;-;-;-;1;-;46
"352410 Ituverava";-;-;-;-;-;-;-;11;1;9;111;-;-;-;2;-;-;1;-;-;-;-;-;1;-;-;10;1;-;1;-;-;148
"352420 Jaborandi";-;-;-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;7
"352430 Jaboticabal";-;-;-;-;-;2;-;10;-;11;64;-;1;-;2;-;-;13;-;1;-;-;1;-;-;-;8;-;-;1;-;-;114
"352440 Jacareí";-;1;-;-;1;2;-;17;-;23;234;-;-;-;5;1;-;6;-;1;-;1;1;-;-;-;21;-;-;-;-;-;314
"352450 Jaci";-;-;-;-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;5;-;-;6;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;15
"352470 Jaguariúna";-;-;-;-;-;-;-;6;1;-;30;-;-;-;1;-;-;15;-;1;-;-;1;-;-;-;6;-;-;-;2;-;63
"352480 Jales";-;-;1;-;-;-;-;11;-;8;124;-;-;1;1;-;-;2;-;1;-;1;1;-;-;-;14;1;-;4;-;-;170
"352490 Jambeiro";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352500 Jandira";-;-;-;-;-;1;-;9;-;4;9;-;-;-;1;1;-;3;-;-;-;-;1;-;-;-;1;-;-;-;-;-;30
"352510 Jardinópolis";-;-;-;-;-;-;-;8;-;4;20;-;-;-;-;-;-;3;-;1;-;-;1;-;-;-;2;-;-;-;-;-;39
"352520 Jarinu";-;-;-;-;-;-;-;3;1;3;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;15
"352530 Jaú";-;-;1;-;-;1;-;16;-;51;292;-;-;2;1;-;-;1;-;1;-;-;1;-;-;-;12;-;-;2;-;-;381
"352540 Jeriquara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;7
"352560 João Ramalho";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352570 José Bonifácio";-;-;-;-;-;-;-;7;-;1;23;-;-;-;1;-;-;4;-;-;-;-;1;-;-;-;5;-;-;1;-;-;43
"352580 Júlio Mesquita";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352585 Jumirim";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352590 Jundiaí";-;-;3;-;2;3;-;36;-;187;1105;-;2;1;5;4;-;12;-;5;-;-;1;1;-;-;51;-;-;10;-;-;1428
"352600 Junqueirópolis";-;-;-;-;-;1;-;10;-;1;8;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;25
"352610 Juquiá";-;-;-;-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;3;-;-;-;-;-;13
"352620 Juquitiba";-;-;-;-;-;1;-;4;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;2;-;-;14
"352630 Lagoinha";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352640 Laranjal Paulista";-;-;-;-;-;1;-;6;-;5;45;-;-;-;1;-;-;2;-;-;-;-;1;-;-;-;5;-;-;-;-;-;66
"352650 Lavínia";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352660 Lavrinhas";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;-;1;-;13;-;12;100;-;-;-;2;-;-;2;-;1;-;-;1;-;-;-;13;1;-;-;1;-;147
"352680 Lençóis Paulista";-;1;-;-;-;-;-;9;-;5;98;-;-;-;1;1;-;2;-;-;-;1;1;-;-;-;19;-;-;1;1;-;140
"352690 Limeira";-;-;1;-;-;2;-;25;-;39;423;-;-;-;4;-;-;11;-;-;-;-;1;-;-;-;24;1;-;4;-;-;535
"352700 Lindóia";-;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;11
"352710 Lins";-;-;-;-;1;4;-;7;-;6;314;-;-;2;3;-;-;1;3;-;-;-;1;-;-;-;13;-;-;-;-;-;355
"352720 Lorena";-;-;-;-;-;1;-;16;-;8;146;-;-;-;2;-;-;-;-;-;-;1;1;-;-;-;11;-;-;1;-;-;187
"352725 Lourdes";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352730 Louveira";-;-;-;-;-;-;-;4;-;3;15;-;-;-;1;-;-;3;-;-;-;-;1;-;-;-;2;-;-;-;-;-;29
"352740 Lucélia";-;-;-;-;-;-;-;6;-;3;16;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;27
"352750 Lucianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352760 Luís Antônio";1;-;-;-;-;-;-;4;-;1;9;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;16
"352770 Luiziânia";-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;7
"352780 Lupércio";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352790 Lutécia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352800 Macatuba";-;-;-;-;-;-;-;4;-;4;15;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;27
"352810 Macaubal";-;-;-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"352820 Macedônia";-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352830 Magda";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352840 Mairinque";-;-;-;-;-;-;-;15;-;8;18;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;-;45
"352850 Mairiporã";-;-;-;-;-;2;-;8;-;9;13;-;2;-;1;-;-;4;2;-;-;-;1;-;-;-;3;-;-;-;-;-;45
"352860 Manduri";-;-;-;-;-;-;-;2;-;3;5;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;13
"352870 Marabá Paulista";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352880 Maracaí";-;-;-;-;-;1;-;4;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;14
"352885 Marapoama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352890 Mariápolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352900 Marília";-;-;1;-;-;3;-;49;-;36;499;-;4;2;4;-;1;1;-;3;-;-;2;1;-;-;23;1;-;5;1;-;636
"352910 Marinópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352920 Martinópolis";-;-;-;-;-;2;-;7;-;3;15;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;32
"352930 Matão";-;-;-;-;-;1;-;13;-;26;98;-;-;-;1;-;-;2;-;1;-;-;1;-;-;-;7;-;-;-;1;-;151
"352940 Mauá";-;-;1;-;-;3;-;25;1;14;131;-;-;1;5;-;-;8;-;3;-;-;1;-;-;-;17;1;-;13;1;-;225
"352950 Mendonça";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;3
