"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"351330 Cruzália";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351340 Cruzeiro";-;1;-;-;-;1;-;10;-;60;156;-;-;-;1;2;-;-;5;-;2;-;-;-;1;-;-;-;24;1;-;2;-;-;1;267
"351350 Cubatão";-;-;1;-;-;2;-;18;-;16;110;-;-;-;2;-;-;-;3;-;-;2;2;-;2;-;-;-;17;1;-;3;-;-;-;179
"351360 Cunha";-;1;-;-;-;1;-;5;-;2;6;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;1;-;-;-;21
"351370 Descalvado";-;1;-;-;-;1;-;11;-;13;78;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;3;1;-;-;-;-;-;111
"351380 Diadema";-;1;1;-;-;5;-;20;-;28;72;-;-;-;4;2;-;-;17;-;-;2;-;2;1;-;-;-;13;2;-;12;-;-;-;182
"351385 Dirce Reis";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351390 Divinolândia";-;-;-;-;-;-;-;1;-;8;10;-;-;-;1;-;-;-;1;-;3;-;-;-;1;-;-;-;2;-;-;-;-;-;-;27
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;5
"351410 Dois Córregos";1;-;-;-;-;1;-;5;-;4;31;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;-;-;-;-;49
"351420 Dolcinópolis";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;1;-;-;4;-;-;-;1;-;-;-;-;-;2;-;-;1;1;-;-;-;1;-;-;-;-;-;-;11
"351440 Dracena";-;-;-;-;-;1;-;13;-;3;167;-;-;-;1;-;-;-;5;-;-;1;-;-;1;-;-;-;7;1;-;-;-;-;-;200
"351450 Duartina";-;-;-;-;-;1;-;5;-;1;30;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;-;44
"351460 Dumont";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5
"351470 Echaporã";1;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"351480 Eldorado";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;7
"351490 Elias Fausto";-;-;-;-;-;1;-;4;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;13
"351492 Elisiário";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351495 Embaúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;3
"351500 Embu das Artes";-;1;1;-;-;3;-;17;-;1;47;-;-;-;2;-;-;-;5;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;-;83
"351510 Embu-Guaçu";-;1;-;-;-;1;-;12;-;3;4;-;1;-;-;-;-;-;4;1;-;1;-;-;1;1;-;-;2;1;1;2;-;-;-;36
"351512 Emilianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;1;-;4;-;3;5;-;1;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;19
"351518 Espírito Santo do Pinhal";-;1;-;-;-;2;-;7;-;16;123;-;-;2;1;-;-;-;1;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;160
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;-;-;3;-;2;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;10
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;2;-;2;13;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;22
"351530 Estrela do Norte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";1;-;-;-;-;-;-;2;-;1;3;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;-;13
"351540 Fartura";-;-;-;-;-;-;-;4;-;2;21;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;3;-;-;1;-;-;-;35
"351560 Fernando Prestes";-;-;-;-;-;-;-;2;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;9
"351550 Fernandópolis";1;1;1;1;-;2;-;18;-;118;174;2;16;-;2;1;-;1;6;-;-;1;-;-;1;1;-;-;23;1;-;4;-;-;-;375
"351565 Fernão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;1;1;-;-;1;-;13;-;10;11;-;1;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;3;2;-;7;1;-;-;55
"351580 Flora Rica";1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"351590 Floreal";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;5
"351600 Flórida Paulista";1;-;-;-;-;1;-;4;-;-;4;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;-;17
"351610 Florínia";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351620 Franca";-;2;1;-;-;1;-;22;-;128;632;-;2;1;3;-;-;-;3;-;-;3;-;1;3;-;-;-;30;2;-;5;2;-;1;842
"351630 Francisco Morato";-;-;-;-;-;3;-;12;-;7;29;-;2;-;2;-;-;-;4;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;63
"351640 Franco da Rocha";3;2;-;1;-;3;-;15;-;16;38;-;2;1;3;-;-;-;-;-;-;2;-;-;1;1;-;-;7;2;-;-;-;-;-;97
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;-;2;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;12
"351670 Garça";1;-;-;1;-;2;-;14;-;5;34;-;1;1;2;-;-;-;2;-;-;1;-;-;1;-;-;-;2;1;-;-;-;1;-;69
"351680 Gastão Vidigal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;6
"351690 General Salgado";1;-;-;-;-;-;-;3;-;3;7;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;19
"351700 Getulina";-;-;-;-;-;-;-;3;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;14
"351710 Glicério";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351720 Guaiçara";-;-;-;-;-;-;-;2;-;1;6;-;-;-;-;-;-;-;1;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;15
"351730 Guaimbê";1;-;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"351740 Guaíra";1;1;-;-;-;1;-;6;-;8;42;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;6;-;-;1;-;-;-;69
"351750 Guapiaçu";-;-;-;-;-;1;-;8;-;4;4;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;22
"351760 Guapiara";-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;1;-;7;-;-;-;1;-;-;-;1;-;-;1;-;-;1;17
"351770 Guará";2;1;-;-;-;1;-;5;-;3;28;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;-;46
"351780 Guaraçaí";1;-;-;-;-;-;-;1;-;-;8;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;-;16
"351790 Guaraci";-;-;-;-;-;-;-;3;-;-;6;-;2;-;-;-;-;1;1;-;1;1;-;-;1;-;-;-;2;-;-;1;-;-;-;19
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;4
"351810 Guarantã";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"351820 Guararapes";-;-;-;-;-;1;-;4;-;2;29;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;1;-;-;-;-;-;44
"351830 Guararema";-;-;-;-;-;1;-;3;-;1;18;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;27
"351840 Guaratinguetá";-;1;1;-;-;1;-;12;-;19;222;-;1;-;4;1;-;-;17;-;3;-;-;1;1;-;-;-;18;1;-;3;2;-;4;312
"351850 Guareí";-;1;-;-;-;1;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;11
"351860 Guariba";1;-;-;-;-;-;-;4;-;5;22;-;-;-;1;-;-;-;5;-;-;1;-;-;1;-;-;-;4;-;-;1;-;-;-;45
"351870 Guarujá";-;1;-;-;-;4;-;22;-;46;196;-;4;-;4;2;-;-;2;-;1;5;-;3;1;-;-;1;32;2;-;7;-;-;-;333
"351880 Guarulhos";1;1;1;-;2;7;-;73;-;193;437;-;1;3;12;1;-;-;35;-;-;8;-;1;5;1;-;-;64;1;-;21;-;-;-;868
"351885 Guatapará";1;-;-;-;-;-;-;1;-;2;1;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;9
"351890 Guzolândia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";1;-;-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;-;-;-;-;-;14
"351905 Holambra";-;-;-;-;-;-;-;4;-;2;13;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;21
"351907 Hortolândia";1;-;1;-;-;3;-;21;3;16;69;-;3;-;2;1;-;-;18;-;-;3;-;-;1;-;-;-;14;1;-;8;1;-;-;166
"351910 Iacanga";1;-;-;-;-;1;-;-;-;-;8;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;2;-;-;-;17
"351920 Iacri";-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"351925 Iaras";1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"351930 Ibaté";-;-;-;-;-;-;-;8;-;1;19;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;2;-;-;-;-;-;37
"351940 Ibirá";-;-;-;-;-;-;-;4;-;1;7;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;-;19
"351950 Ibirarema";1;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;7
"351960 Ibitinga";-;-;-;-;-;1;-;10;-;4;110;-;1;-;2;-;-;-;-;-;1;1;-;1;1;-;-;-;11;3;-;2;-;-;-;148
"351970 Ibiúna";-;-;-;-;-;1;-;17;-;3;22;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;1;-;-;-;53
"351980 Icém";1;-;-;-;-;-;-;4;-;5;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;20
"351990 Iepê";1;-;-;-;-;-;-;3;-;2;5;-;5;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;19
"352000 Igaraçu do Tietê";-;-;-;-;-;1;-;4;-;3;10;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;21
"352010 Igarapava";1;-;-;-;-;1;-;6;-;6;36;-;-;-;1;-;-;1;2;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;-;59
"352020 Igaratá";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;5
"352030 Iguape";-;-;-;-;-;1;-;6;-;1;5;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;5;-;1;-;-;-;1;22
"352042 Ilha Comprida";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"352044 Ilha Solteira";-;1;-;1;-;1;-;11;-;16;77;-;-;-;1;-;-;-;4;-;-;-;-;-;1;-;-;-;5;-;-;-;-;-;-;118
"352040 Ilhabela";1;-;-;-;-;1;-;11;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;2;-;-;-;26
"352050 Indaiatuba";-;-;-;-;1;3;-;16;-;60;289;-;2;1;2;3;-;-;15;-;-;1;-;-;1;1;-;-;26;1;-;1;2;-;-;425
"352060 Indiana";-;-;-;-;-;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"352070 Indiaporã";-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"352080 Inúbia Paulista";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"352090 Ipaussu";-;-;-;-;-;1;-;3;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;1;-;-;-;17
"352100 Iperó";1;1;-;-;-;1;-;4;-;1;12;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;3;-;-;1;-;-;-;28
"352110 Ipeúna";-;-;-;-;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;8
"352115 Ipiguá";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;4
"352130 Ipuã";-;-;-;-;-;1;-;6;-;1;20;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;33
"352140 Iracemápolis";-;-;-;-;-;1;-;4;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;-;1;-;-;-;-;27
"352150 Irapuã";-;-;-;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;6
"352160 Irapuru";1;-;-;-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"352170 Itaberá";-;1;-;-;-;-;-;6;-;2;1;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;3;-;-;-;1;-;-;19
"352180 Itaí";-;-;-;-;-;1;-;7;-;-;16;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;1;-;-;-;35
"352190 Itajobi";1;-;-;-;-;1;-;5;-;1;12;-;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;4;-;-;-;-;-;-;28
"352200 Itaju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";1;1;1;-;1;3;-;10;-;14;18;-;2;1;1;-;-;-;5;-;-;1;-;-;1;-;-;-;5;-;-;7;-;-;-;72
"352215 Itaóca";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"352220 Itapecerica da Serra";-;-;-;-;-;1;-;13;-;4;24;-;-;3;1;-;-;-;4;-;-;-;-;2;1;-;-;-;2;1;-;2;-;-;2;60
"352230 Itapetininga";-;1;1;-;-;3;-;26;1;25;291;-;1;-;2;-;-;-;5;-;2;-;-;-;2;-;-;-;13;1;-;4;-;-;-;378
"352240 Itapeva";-;1;1;-;-;1;-;25;-;18;160;-;2;-;1;1;-;-;18;-;1;1;-;1;1;-;-;-;8;1;-;2;-;-;3;246
"352250 Itapevi";-;1;1;-;-;3;-;15;-;15;35;-;1;-;2;-;-;-;7;-;-;-;-;4;1;-;-;-;4;2;-;6;-;-;-;97
"352260 Itapira";1;1;-;-;-;2;-;13;-;9;92;-;-;2;2;-;-;-;5;-;-;-;-;-;1;-;-;-;8;-;-;2;-;-;-;138
"352265 Itapirapuã Paulista";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5
"352270 Itápolis";-;-;-;-;-;1;-;8;-;8;57;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;8;-;-;1;-;-;-;86
"352280 Itaporanga";-;-;-;-;-;-;-;5;-;1;1;-;1;-;1;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;13
"352290 Itapuí";-;-;-;-;-;-;-;4;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;12
"352300 Itapura";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;4
"352310 Itaquaquecetuba";-;1;1;-;-;-;-;18;-;13;18;-;-;-;1;-;-;1;6;-;-;5;-;-;1;-;-;-;6;3;-;2;-;-;-;76
"352320 Itararé";1;1;-;-;-;1;-;7;-;9;48;-;1;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;6;1;-;1;-;-;-;83
"352330 Itariri";1;-;-;-;-;-;-;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;1;13
"352340 Itatiba";2;-;-;-;-;2;-;20;-;30;96;-;1;-;2;1;-;-;3;-;-;2;-;-;1;-;-;-;11;2;-;1;-;-;-;174
"352350 Itatinga";-;-;-;-;-;-;-;2;-;2;14;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;20
"352360 Itirapina";-;-;-;-;-;-;-;3;-;1;17;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;2;-;-;-;28
"352370 Itirapuã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;5
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"352390 Itu";-;1;-;-;-;2;-;16;1;5;177;-;1;2;2;-;-;-;65;-;-;4;-;-;1;-;-;-;23;2;-;-;2;-;-;304
"352400 Itupeva";-;-;-;-;-;1;-;12;-;5;21;-;-;1;1;-;-;-;2;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;49
"352410 Ituverava";-;-;-;-;-;1;-;13;-;8;145;-;-;-;2;-;-;-;2;-;-;-;-;-;1;2;-;-;9;1;-;1;-;-;-;185
"352420 Jaborandi";-;-;-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;9
"352430 Jaboticabal";1;1;-;-;-;1;-;11;-;17;85;-;1;-;2;-;-;-;14;-;-;2;-;-;1;-;-;-;9;1;-;1;-;-;-;147
"352440 Jacareí";-;1;-;-;2;3;-;18;-;32;316;-;1;-;5;1;-;-;8;-;2;2;-;1;1;-;-;-;30;2;-;4;-;-;1;430
"352450 Jaci";-;-;-;-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;6;-;1;7;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;19
"352470 Jaguariúna";-;1;-;-;-;1;-;8;-;7;39;-;1;-;1;1;-;-;18;-;1;1;-;-;1;-;-;-;8;1;-;-;2;-;-;91
"352480 Jales";-;1;1;-;-;1;-;11;-;15;155;-;-;1;1;-;-;-;2;-;-;1;-;-;1;-;-;-;16;2;-;3;-;-;-;211
"352490 Jambeiro";-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5
"352500 Jandira";-;1;-;-;-;1;-;10;-;13;10;-;1;-;-;1;-;-;3;-;-;1;-;-;1;-;-;-;2;-;-;1;-;-;-;45
"352510 Jardinópolis";-;-;-;-;-;-;-;12;-;7;33;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;2;1;-;1;-;-;1;62
"352520 Jarinu";-;1;-;-;-;-;-;4;-;3;7;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;-;1;-;-;-;-;23
"352530 Jaú";-;-;1;-;-;1;-;17;-;74;365;-;-;2;1;-;-;-;4;-;-;2;-;-;1;-;-;-;18;1;-;4;-;-;-;491
"352540 Jeriquara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"352550 Joanópolis";-;-;-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;10
"352560 João Ramalho";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"352570 José Bonifácio";-;-;-;-;-;-;-;7;-;3;36;-;-;-;1;-;-;-;3;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;-;57
"352580 Júlio Mesquita";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"352585 Jumirim";-;1;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"352590 Jundiaí";1;2;1;-;6;4;-;37;-;197;1206;-;2;3;6;3;-;-;13;-;-;5;-;-;1;3;-;-;57;1;-;5;-;-;-;1553
"352600 Junqueirópolis";-;-;-;-;-;1;-;10;-;1;15;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;-;33
"352610 Juquiá";1;-;-;-;-;-;-;4;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;3;1;-;-;-;-;-;15
"352620 Juquitiba";-;-;-;-;-;1;-;5;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;14
"352630 Lagoinha";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;8
"352640 Laranjal Paulista";-;-;-;-;-;1;-;6;-;4;59;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;-;81
"352650 Lavínia";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"352660 Lavrinhas";-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;-;3;-;14;-;15;136;-;-;-;2;-;-;-;-;-;-;2;-;-;1;-;-;-;14;3;-;-;1;-;-;191
"352680 Lençóis Paulista";-;1;-;-;-;1;-;11;-;13;150;-;-;-;1;-;-;-;2;-;-;1;-;-;1;-;-;-;19;-;-;1;1;-;-;202
"352690 Limeira";-;-;1;-;-;3;-;31;-;30;538;-;-;-;4;1;-;-;18;-;2;-;-;-;1;-;-;-;47;3;-;4;-;-;-;683
