"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"Total"
"351370 Descalvado";-;1;-;-;-;1;-;11;-;-;13;78;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;3;2;-;-;-;-;112
"351380 Diadema";-;1;1;-;-;5;-;20;-;-;25;68;-;-;-;4;2;-;-;14;-;1;-;3;1;-;-;-;12;2;-;21;-;-;180
"351385 Dirce Reis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351390 Divinolândia";-;-;-;-;-;-;-;2;-;-;2;11;-;-;-;1;-;-;-;1;3;-;-;-;-;-;-;-;2;1;-;-;-;-;23
"351400 Dobrada";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;5
"351410 Dois Córregos";-;-;-;-;-;1;-;4;-;-;5;24;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;5;1;-;-;-;-;42
"351420 Dolcinópolis";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351430 Dourado";-;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;2;-;-;1;1;-;-;-;1;-;-;-;-;-;11
"351440 Dracena";-;-;-;-;-;1;-;10;-;-;3;130;-;-;-;1;-;-;-;5;-;-;-;-;1;-;-;-;8;1;-;-;-;-;160
"351450 Duartina";-;-;-;-;-;-;-;5;-;-;1;25;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;39
"351460 Dumont";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351470 Echaporã";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;6
"351480 Eldorado";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"351490 Elias Fausto";-;-;-;-;-;-;-;4;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;11
"351492 Elisiário";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351495 Embaúba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"351500 Embu das Artes";-;1;1;-;-;2;-;15;-;-;6;17;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;1;1;-;3;-;-;51
"351510 Embu-Guaçu";-;1;-;-;-;1;-;11;-;-;2;3;-;1;-;-;-;-;-;3;-;-;-;-;1;1;-;-;2;1;1;2;-;-;30
"351512 Emilianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;5;-;-;3;2;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;14
"351518 Espírito Santo do Pinhal";-;-;-;-;-;2;-;5;1;-;15;112;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;145
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;4
"355730 Estiva Gerbi";-;-;-;-;-;-;-;3;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;10
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;3;-;-;1;10;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351535 Euclides da Cunha Paulista";1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;9
"351540 Fartura";-;-;-;-;-;-;-;4;-;-;2;19;-;-;-;1;-;-;-;1;-;-;-;-;2;1;-;-;3;-;-;1;-;-;34
"351560 Fernando Prestes";-;-;-;-;-;-;-;2;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;9
"351550 Fernandópolis";-;1;1;-;1;2;-;16;-;-;63;148;1;15;-;2;1;-;1;4;1;-;-;-;1;-;-;-;23;1;-;4;-;-;286
"351565 Fernão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351570 Ferraz de Vasconcelos";-;-;1;-;-;1;-;13;-;-;9;6;-;-;-;1;-;-;-;2;1;-;-;-;1;-;-;-;5;2;-;3;-;-;45
"351580 Flora Rica";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351590 Floreal";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"351600 Flórida Paulista";-;-;-;-;-;-;-;4;-;-;-;4;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;15
"351610 Florínia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351620 Franca";-;2;1;-;-;1;-;22;1;-;71;587;-;2;1;3;-;-;-;3;-;2;-;1;2;-;-;-;27;2;-;5;2;-;735
"351630 Francisco Morato";-;-;-;-;-;2;-;12;-;-;6;23;-;1;-;2;-;-;-;3;-;-;-;-;1;-;-;-;2;-;-;-;1;-;53
"351640 Franco da Rocha";2;2;-;1;-;1;-;13;-;-;9;34;-;2;1;3;-;-;-;-;-;1;-;-;1;-;-;-;5;5;-;-;-;-;80
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351660 Gália";-;-;-;-;-;-;-;2;-;-;2;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;13
"351670 Garça";1;-;-;1;-;2;-;13;-;-;6;33;-;1;2;1;-;-;-;1;-;1;-;-;1;-;-;-;2;1;-;-;-;1;67
"351680 Gastão Vidigal";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"351685 Gavião Peixoto";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;6
"351690 General Salgado";-;-;-;-;-;-;-;1;-;-;3;7;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;3;-;-;-;-;-;18
"351700 Getulina";-;-;-;-;-;-;-;3;-;-;-;8;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;13
"351710 Glicério";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351720 Guaiçara";-;-;-;-;-;-;-;2;-;-;-;7;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;14
"351730 Guaimbê";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;6
"351740 Guaíra";1;1;-;-;-;1;-;7;-;-;7;44;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;3;-;-;1;-;-;68
"351750 Guapiaçu";-;-;-;-;-;1;-;8;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;22
"351760 Guapiara";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;7;-;-;1;1;-;-;-;-;-;-;-;-;-;13
"351770 Guará";2;-;-;-;-;1;-;5;1;-;3;25;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;2;1;-;-;-;-;43
"351780 Guaraçaí";1;-;-;-;-;-;-;1;-;-;-;8;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;14
"351790 Guaraci";-;-;-;-;-;-;-;4;-;-;1;5;-;2;-;-;-;-;1;2;-;-;-;-;1;-;-;-;1;1;-;1;-;-;19
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351810 Guarantã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;5
"351820 Guararapes";-;-;-;-;-;-;-;4;-;-;2;25;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;37
"351830 Guararema";-;-;-;-;-;1;-;3;-;-;1;11;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;20
"351840 Guaratinguetá";-;1;1;-;-;1;-;12;-;-;14;190;-;1;-;2;2;-;-;17;3;-;-;1;1;-;-;-;12;1;-;4;1;-;264
"351850 Guareí";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;7
"351860 Guariba";1;-;-;-;-;-;-;5;-;-;5;20;-;-;-;1;-;-;-;4;-;1;-;-;1;-;-;-;5;-;-;1;-;-;44
"351870 Guarujá";-;1;-;-;-;4;-;22;-;-;38;173;-;2;1;2;3;-;-;1;-;7;-;2;1;-;-;1;30;1;-;9;-;-;298
"351880 Guarulhos";1;1;1;-;3;7;-;73;-;-;153;312;-;2;3;10;-;-;-;36;1;1;-;3;1;-;-;-;53;1;-;17;-;-;679
"351885 Guatapará";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;5
"351890 Guzolândia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"351900 Herculândia";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"351905 Holambra";-;-;-;-;-;-;-;3;-;-;3;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;16
"351907 Hortolândia";1;-;1;-;-;3;-;21;-;1;14;51;-;3;-;2;-;-;-;9;-;3;-;-;1;-;-;-;7;1;-;8;1;-;127
"351910 Iacanga";-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;-;12
"351920 Iacri";-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"351925 Iaras";1;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"351930 Ibaté";-;-;-;-;-;-;-;9;-;-;1;16;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;5;1;-;-;-;-;34
"351940 Ibirá";-;-;-;-;-;-;-;3;-;-;1;4;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;1;-;-;16
"351950 Ibirarema";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;6
"351960 Ibitinga";-;-;-;-;-;1;-;7;-;-;2;99;-;-;-;2;-;-;-;1;-;-;2;-;1;-;-;-;11;-;-;1;-;-;127
"351970 Ibiúna";-;1;-;-;-;1;-;17;-;-;4;16;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;-;-;46
"351980 Icém";1;-;-;-;-;-;-;2;-;-;4;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;14
"351990 Iepê";1;-;-;-;-;-;-;3;-;-;2;5;-;5;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;19
"352000 Igaraçu do Tietê";-;-;-;-;-;-;-;4;-;-;3;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;15
"352010 Igarapava";-;-;-;-;-;-;-;7;-;-;4;32;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;4;-;-;-;-;-;50
"352020 Igaratá";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;5
"352030 Iguape";-;-;-;-;-;1;-;6;-;-;1;6;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;3;-;1;-;-;-;20
"352042 Ilha Comprida";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;7
"352044 Ilha Solteira";-;1;-;1;-;-;-;12;-;-;12;55;-;-;-;1;-;-;-;4;-;-;-;-;1;-;-;-;4;-;-;-;-;-;91
"352040 Ilhabela";-;-;-;-;-;1;-;9;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;2;-;-;23
"352050 Indaiatuba";-;-;-;-;1;3;-;14;-;-;47;230;-;-;1;2;3;-;-;17;-;1;-;-;1;-;-;-;23;1;-;1;2;-;347
"352060 Indiana";-;-;-;-;-;-;-;3;-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;8
"352070 Indiaporã";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352080 Inúbia Paulista";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352090 Ipaussu";-;-;-;-;-;-;-;3;-;-;1;6;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;17
"352100 Iperó";-;1;-;-;-;1;-;5;-;-;-;12;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;25
"352110 Ipeúna";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;4
"352115 Ipiguá";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;4
"352130 Ipuã";-;-;-;-;-;-;-;4;-;-;1;20;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;2;-;-;-;-;-;31
"352140 Iracemápolis";-;-;-;-;-;-;-;3;-;-;2;9;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;18
"352150 Irapuã";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352160 Irapuru";1;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"352170 Itaberá";-;1;-;-;-;-;-;5;-;-;2;-;-;-;-;2;-;-;-;1;4;-;-;-;1;-;-;-;2;-;-;-;1;-;19
"352180 Itaí";-;-;-;-;-;-;-;7;-;-;-;14;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;3;-;-;1;-;-;28
"352190 Itajobi";-;-;-;-;-;-;-;5;-;-;1;7;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;17
"352200 Itaju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352210 Itanhaém";1;-;1;-;-;3;-;10;-;-;16;14;-;2;-;1;-;-;-;2;-;1;-;1;1;-;-;-;2;-;-;6;-;-;61
"352215 Itaóca";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352220 Itapecerica da Serra";-;-;-;-;-;1;-;12;-;-;4;16;-;-;2;1;-;-;-;2;-;-;-;2;1;-;-;-;2;-;-;2;-;-;45
"352230 Itapetininga";-;1;1;1;-;3;-;30;-;-;18;262;-;-;-;2;-;-;-;5;6;-;-;-;1;-;-;-;18;2;-;4;-;-;354
"352240 Itapeva";-;1;1;-;-;2;-;24;-;-;16;108;-;2;-;1;1;-;-;18;1;1;-;-;1;-;-;-;7;1;-;2;-;-;187
"352250 Itapevi";-;1;1;-;-;3;-;14;-;-;16;22;-;3;-;2;-;-;-;4;-;-;-;4;1;-;-;-;4;2;-;6;-;-;83
"352260 Itapira";1;-;-;-;-;1;-;15;-;-;8;75;-;-;3;2;-;-;-;6;-;-;-;-;1;-;-;-;7;-;-;2;-;-;121
"352265 Itapirapuã Paulista";-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"352270 Itápolis";-;-;-;-;-;1;-;8;-;-;7;56;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;7;-;-;1;-;-;83
"352280 Itaporanga";-;-;-;-;-;-;-;5;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;11
"352290 Itapuí";-;-;-;-;-;-;-;4;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"352300 Itapura";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352310 Itaquaquecetuba";-;1;1;-;-;-;-;17;-;-;11;7;-;2;-;1;-;-;1;6;-;3;-;-;1;-;-;-;5;3;-;6;1;-;66
"352320 Itararé";1;1;-;-;-;1;-;7;-;-;9;45;-;1;-;1;-;-;-;-;5;-;-;-;1;-;-;-;6;-;-;1;-;-;79
"352330 Itariri";-;-;-;-;-;-;-;5;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;10
"352340 Itatiba";-;-;-;-;-;2;-;18;-;-;23;64;-;1;-;2;1;-;-;3;-;2;-;-;1;-;-;-;12;2;-;1;1;-;133
"352350 Itatinga";-;-;-;-;-;-;-;2;-;-;1;13;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;18
"352360 Itirapina";-;-;-;-;-;-;-;3;-;-;1;17;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;1;-;-;27
"352370 Itirapuã";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;5
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352390 Itu";-;1;-;-;-;2;-;16;-;-;12;153;-;1;2;1;-;-;-;45;-;3;-;-;1;-;-;-;19;-;-;-;2;-;258
"352400 Itupeva";-;-;-;-;-;1;-;13;-;-;4;19;1;-;1;1;-;-;-;2;-;-;-;-;1;-;-;-;5;-;-;-;1;-;49
"352410 Ituverava";-;-;-;-;-;1;-;12;1;-;8;125;-;-;-;2;-;-;-;2;-;-;-;-;-;1;-;-;10;1;-;1;-;-;164
"352420 Jaborandi";-;-;-;-;-;-;-;3;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;9
"352430 Jaboticabal";-;1;-;-;-;2;-;10;-;-;14;76;-;1;-;2;-;-;-;13;-;2;-;-;1;-;-;-;7;1;-;1;-;-;131
"352440 Jacareí";-;1;-;-;2;2;-;19;-;-;29;261;-;-;-;5;1;-;-;7;-;1;-;1;1;-;-;-;23;1;-;-;-;-;354
"352450 Jaci";-;-;-;-;-;-;-;3;-;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;-;-;-;5;-;-;1;7;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;18
"352470 Jaguariúna";-;1;-;-;-;1;-;8;1;-;5;33;-;1;-;1;1;-;-;12;1;-;-;-;1;-;-;-;8;1;-;-;2;-;77
"352480 Jales";-;1;1;-;-;1;-;11;-;-;11;152;-;-;1;1;-;-;-;3;-;1;-;1;1;-;-;-;16;2;-;3;-;-;206
"352490 Jambeiro";-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352500 Jandira";-;1;-;-;-;1;-;9;-;-;5;9;-;1;-;1;1;-;-;3;-;-;-;-;1;-;-;-;1;-;-;1;-;-;34
"352510 Jardinópolis";-;-;-;-;-;-;-;8;-;-;6;28;-;-;-;-;-;-;-;3;-;1;-;-;1;-;-;-;1;-;-;1;-;-;49
"352520 Jarinu";-;1;-;-;-;-;-;3;-;-;3;7;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3;-;1;-;-;-;20
"352530 Jaú";-;-;1;-;-;1;-;15;-;-;49;336;-;-;2;1;-;-;-;2;-;2;-;-;1;-;-;-;13;-;-;3;-;-;426
"352540 Jeriquara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352550 Joanópolis";-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;1;-;-;9
"352560 João Ramalho";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"352570 José Bonifácio";-;-;-;-;-;-;-;7;-;-;2;22;-;-;-;1;-;-;-;4;-;-;-;-;1;-;-;-;5;-;-;1;-;-;43
"352580 Júlio Mesquita";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"352585 Jumirim";-;1;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352590 Jundiaí";1;2;1;-;5;3;-;37;-;-;194;1152;-;2;2;6;4;-;-;14;-;5;-;-;1;2;-;1;54;1;-;5;-;-;1492
"352600 Junqueirópolis";-;-;-;-;-;1;-;10;-;-;1;10;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;3;-;-;-;-;-;28
"352610 Juquiá";-;-;-;-;-;-;-;5;-;-;-;2;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;3;-;-;-;-;-;13
"352620 Juquitiba";-;-;-;-;-;1;-;5;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;13
"352630 Lagoinha";-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"352640 Laranjal Paulista";-;-;-;-;-;1;-;6;-;-;4;48;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;6;-;-;-;-;-;69
"352650 Lavínia";-;1;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;6
"352660 Lavrinhas";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352670 Leme";-;-;-;-;-;2;-;14;-;-;17;109;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;13;3;-;-;1;-;163
"352680 Lençóis Paulista";-;1;-;-;-;-;-;10;-;-;5;115;-;-;-;1;1;-;-;2;-;1;-;-;1;-;-;-;19;-;-;1;1;-;158
"352690 Limeira";-;-;1;-;-;2;-;29;-;-;48;451;-;-;-;4;-;-;-;12;-;-;-;-;1;-;-;-;22;2;-;4;-;-;576
"352700 Lindóia";-;-;-;1;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;-;-;1;-;-;12
"352710 Lins";-;-;-;-;1;3;-;10;-;-;9;360;-;-;1;3;-;-;-;4;2;-;-;-;1;-;-;-;20;-;-;-;-;-;414
"352720 Lorena";1;-;-;-;-;1;-;17;-;-;12;166;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;15;-;-;1;1;-;218
"352725 Lourdes";2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5
"352730 Louveira";-;-;-;-;-;1;-;4;-;-;4;17;-;-;-;1;-;-;-;3;-;-;-;-;1;-;-;-;4;-;-;-;-;-;35
"352740 Lucélia";3;-;-;-;-;1;-;6;-;-;4;20;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;36
"352750 Lucianópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
"352760 Luís Antônio";1;-;-;-;-;-;-;4;-;-;2;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;18
