"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"355280 Taboão da Serra";-;-;-;2;-;11;1;26;40;-;1;1;3;-;-;10;-;-;1;1;-;-;7;1;-;1;-;106
"355290 Taciba";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"355300 Taguaí";-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;11
"355310 Taiaçu";-;-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;8
"355320 Taiúva";-;-;-;-;-;2;-;-;7;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;11
"355330 Tambaú";-;-;-;-;-;6;-;-;22;-;-;-;1;-;-;1;1;-;-;1;1;-;7;-;-;-;-;40
"355340 Tanabi";-;-;-;-;-;6;-;12;6;-;-;-;1;-;-;-;3;-;-;-;1;-;3;-;-;-;-;32
"355350 Tapiraí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;4
"355360 Tapiratiba";-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;7
"355365 Taquaral";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"355370 Taquaritinga";-;-;-;2;-;8;-;10;86;1;-;-;1;-;-;2;-;-;-;1;1;-;10;-;-;-;1;123
"355380 Taquarituba";-;-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;11
"355385 Taquarivaí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"355390 Tarabai";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"355395 Tarumã";1;-;-;1;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;13
"355400 Tatuí";-;-;-;-;-;16;1;31;238;-;-;-;1;-;-;4;1;-;-;2;1;-;19;-;-;1;1;316
"355410 Taubaté";-;-;-;3;-;53;-;124;354;-;-;1;4;2;1;5;-;1;-;1;2;-;32;-;-;1;3;587
"355420 Tejupá";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"355430 Teodoro Sampaio";-;-;-;-;-;9;-;3;9;-;-;-;1;-;-;-;-;1;-;-;1;-;4;-;-;-;-;28
"355440 Terra Roxa";-;-;-;-;-;4;-;1;6;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;14
"355450 Tietê";-;-;-;-;-;2;-;12;59;-;-;-;1;-;-;-;6;-;-;-;1;-;10;-;-;-;-;91
"355460 Timburi";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"355465 Torre de Pedra";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"355470 Torrinha";-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"355475 Trabiju";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"355480 Tremembé";-;-;-;-;-;4;-;5;10;-;-;-;1;-;-;-;8;1;-;-;1;-;2;-;-;-;-;32
"355490 Três Fronteiras";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"355495 Tuiuti";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;3
"355500 Tupã";-;1;-;-;-;13;-;14;103;-;-;3;2;-;-;7;-;-;-;-;2;-;8;-;-;-;-;153
"355510 Tupi Paulista";-;-;-;-;-;7;-;-;20;-;-;-;1;-;-;1;-;-;-;1;1;-;1;-;-;-;-;32
"355520 Turiúba";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"355530 Turmalina";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"355535 Ubarana";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"355540 Ubatuba";-;-;-;1;-;20;-;5;28;-;-;-;1;-;-;-;7;-;-;-;-;-;4;1;-;-;-;67
"355550 Ubirajara";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"355560 Uchoa";1;-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;9
"355570 União Paulista";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"355580 Urânia";-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;6
"355590 Uru";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"355600 Urupês";-;-;-;-;-;3;-;2;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;10
"355610 Valentim Gentil";1;-;-;-;-;4;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;9
"355620 Valinhos";-;-;-;2;-;13;-;23;227;-;-;-;2;-;-;2;-;1;-;-;1;-;11;-;-;-;-;282
"355630 Valparaíso";-;-;-;-;-;6;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;22
"355635 Vargem";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"355640 Vargem Grande do Sul";-;-;-;-;-;2;-;4;54;-;-;-;1;-;-;2;4;-;-;1;1;-;5;-;-;-;-;74
"355645 Vargem Grande Paulista";-;-;-;1;-;7;-;5;1;-;-;-;-;-;-;5;-;1;-;-;2;-;-;1;-;1;-;24
"355650 Várzea Paulista";-;-;-;1;-;13;-;6;6;-;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;-;-;32
"355660 Vera Cruz";-;-;-;-;-;2;-;2;7;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;13
"355670 Vinhedo";-;-;-;1;-;5;-;32;183;-;-;-;1;-;-;2;-;-;-;-;1;-;16;-;-;-;-;241
"355680 Viradouro";-;-;-;-;-;3;-;5;17;-;1;-;1;-;-;4;-;-;-;-;1;-;4;-;-;-;-;36
"355690 Vista Alegre do Alto";-;-;-;-;-;1;-;2;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;9
"355695 Vitória Brasil";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"355700 Votorantim";-;-;-;1;-;13;-;6;38;-;-;-;2;-;-;2;1;-;-;-;1;-;8;-;-;-;1;73
"355710 Votuporanga";-;-;-;1;-;11;-;21;192;-;1;-;2;-;-;1;-;2;-;-;1;-;14;-;-;1;-;247
"355715 Zacarias";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"Total";28;10;23;325;2;4288;67;7885;36348;26;143;169;718;110;15;1376;358;105;21;184;617;1;3407;163;26;113;95;56623
&
