"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"Total"
"351840 Guaratinguetá";-;-;-;-;9;1;9;136;-;-;-;2;1;-;9;5;-;1;-;10;3;-;-;-;186
"351850 Guareí";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"351860 Guariba";-;-;-;-;4;-;5;11;-;-;-;1;-;-;2;-;-;-;1;2;1;-;-;-;27
"351870 Guarujá";-;-;3;-;26;1;24;130;-;1;1;2;3;-;2;-;-;5;-;15;1;-;1;-;215
"351880 Guarulhos";-;-;6;-;71;-;137;233;-;1;3;9;1;-;24;1;-;5;1;51;1;-;2;-;546
"351885 Guatapará";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351890 Guzolândia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351900 Herculândia";-;-;-;-;2;1;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;7
"351905 Holambra";-;-;-;-;3;-;1;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"351907 Hortolândia";-;-;2;-;20;-;10;23;-;2;-;1;1;-;5;-;-;1;1;4;1;-;1;2;74
"351910 Iacanga";-;-;-;-;-;-;1;5;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;9
"351920 Iacri";-;-;-;-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"351925 Iaras";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;6
"351930 Ibaté";-;-;-;-;8;-;1;8;-;-;-;2;-;-;-;-;-;-;1;4;-;-;-;-;24
"351940 Ibirá";-;-;-;-;3;-;1;1;-;-;-;1;-;-;-;-;-;-;1;3;-;-;-;-;10
"351950 Ibirarema";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351960 Ibitinga";-;-;-;-;6;-;2;81;-;-;-;2;-;-;2;1;-;2;1;7;-;-;-;-;104
"351970 Ibiúna";-;-;-;-;15;-;4;13;-;-;-;1;-;-;1;-;-;-;1;2;2;-;-;-;39
"351980 Icém";-;-;-;-;2;-;2;4;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;10
"351990 Iepê";-;-;-;-;3;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;8
"352000 Igaraçu do Tietê";-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;6
"352010 Igarapava";-;-;-;-;5;-;-;28;-;-;-;1;-;-;1;-;-;-;-;4;-;-;-;-;39
"352020 Igaratá";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;4
"352030 Iguape";-;-;-;-;1;-;-;6;-;-;-;-;-;-;1;5;-;-;-;1;-;1;-;-;15
"352042 Ilha Comprida";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;6
"352044 Ilha Solteira";-;-;-;-;4;-;5;43;-;-;-;1;-;-;2;2;-;-;1;3;1;-;-;-;62
"352040 Ilhabela";-;-;1;-;7;-;1;2;-;-;-;1;-;-;-;-;1;-;1;2;-;-;-;-;16
"352050 Indaiatuba";-;-;2;-;12;-;26;189;-;-;1;2;3;-;18;-;-;1;1;23;2;-;1;1;282
"352060 Indiana";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"352070 Indiaporã";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;5
"352080 Inúbia Paulista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352090 Ipaussu";-;-;-;-;2;-;-;5;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;10
"352100 Iperó";-;-;-;-;5;-;-;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;10
"352110 Ipeúna";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;3
"352115 Ipiguá";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352120 Iporanga";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352130 Ipuã";-;-;-;-;4;-;-;18;-;-;-;1;-;-;-;1;-;1;1;2;-;-;-;-;28
"352140 Iracemápolis";-;-;-;-;3;-;2;8;-;-;-;-;-;-;1;1;-;1;1;1;-;-;-;-;18
"352150 Irapuã";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352160 Irapuru";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352170 Itaberá";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;4;-;-;1;2;-;-;-;-;13
"352180 Itaí";-;-;-;-;6;-;-;16;-;-;-;1;-;-;1;-;-;-;-;2;1;-;-;-;27
"352190 Itajobi";-;-;-;-;4;-;-;5;-;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;13
"352200 Itaju";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352210 Itanhaém";-;-;1;-;9;-;13;12;-;2;-;1;-;-;3;-;-;1;1;2;2;-;1;1;49
"352215 Itaóca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352220 Itapecerica da Serra";-;-;1;-;12;-;5;12;-;-;1;2;-;-;2;-;-;1;1;2;-;-;-;-;39
"352230 Itapetininga";-;-;2;-;24;-;12;164;-;-;-;2;-;-;3;7;-;-;1;14;-;-;-;-;229
"352240 Itapeva";-;-;2;-;21;-;13;68;-;2;-;1;-;-;12;-;-;-;1;5;1;-;-;-;126
"352250 Itapevi";-;-;1;-;12;-;14;15;-;-;-;2;1;-;2;-;-;4;1;3;1;-;1;1;58
"352260 Itapira";-;-;1;-;16;-;10;103;-;-;3;2;-;-;2;-;-;-;-;9;1;-;-;-;147
"352265 Itapirapuã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"352270 Itápolis";-;-;-;-;7;-;4;51;-;-;-;1;-;-;1;-;-;-;1;8;-;-;-;-;73
"352280 Itaporanga";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;1;-;-;-;8
"352290 Itapuí";-;-;-;-;4;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;7
"352300 Itapura";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352310 Itaquaquecetuba";-;-;-;-;15;-;5;7;-;-;-;1;-;-;4;-;-;1;1;5;1;-;-;-;40
"352320 Itararé";-;-;1;-;5;-;7;42;-;-;-;1;-;-;1;5;-;-;1;4;-;-;-;-;67
"352330 Itariri";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"352340 Itatiba";-;-;1;-;16;-;18;37;-;1;-;2;-;-;5;-;-;-;1;12;1;-;1;1;96
"352350 Itatinga";-;-;-;-;1;-;1;11;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;16
"352360 Itirapina";-;-;-;-;6;-;1;18;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;27
"352370 Itirapuã";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352380 Itobi";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;3
"352390 Itu";-;-;1;-;16;-;28;118;-;1;2;2;-;-;7;-;-;3;1;17;1;-;-;5;202
"352400 Itupeva";-;-;1;-;12;-;6;21;-;-;1;1;-;-;2;-;-;-;1;5;-;-;1;2;53
"352410 Ituverava";-;-;-;-;10;1;12;91;-;-;1;1;-;-;-;-;-;-;-;8;1;-;-;-;125
"352420 Jaborandi";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;5
"352430 Jaboticabal";-;-;2;-;8;-;17;56;-;-;-;2;-;-;6;-;-;1;1;7;1;-;-;-;101
"352440 Jacareí";-;-;2;-;18;1;26;263;-;-;-;5;-;-;2;-;1;1;-;20;-;-;1;-;340
"352450 Jaci";-;-;-;-;3;-;4;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;10
"352460 Jacupiranga";-;-;-;-;4;-;-;5;-;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;13
"352470 Jaguariúna";-;-;-;-;6;1;3;32;-;-;-;1;-;-;2;-;-;-;1;6;2;-;-;1;55
"352480 Jales";-;-;-;-;9;-;9;109;-;-;-;1;-;-;2;-;-;1;1;14;1;-;-;-;147
"352490 Jambeiro";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"352500 Jandira";-;-;1;-;9;1;4;8;-;-;1;1;-;-;3;-;-;1;-;1;1;-;-;1;32
"352510 Jardinópolis";-;-;-;-;8;-;4;6;-;-;-;1;-;-;4;-;-;-;1;4;1;-;-;-;29
"352520 Jarinu";-;-;-;-;2;1;2;3;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;12
"352530 Jaú";-;-;1;-;15;-;46;247;-;-;2;1;-;-;1;-;-;2;1;10;-;-;-;-;326
"352540 Jeriquara";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352550 Joanópolis";-;-;-;-;2;-;-;1;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;6
"352560 João Ramalho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352570 José Bonifácio";-;-;-;-;7;-;6;9;-;-;-;1;-;-;3;-;-;-;1;5;-;-;-;-;32
"352580 Júlio Mesquita";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352585 Jumirim";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352590 Jundiaí";-;1;3;-;35;-;160;981;-;1;1;5;3;-;10;-;-;3;3;40;-;-;-;-;1246
"352600 Junqueirópolis";-;-;1;-;4;-;-;7;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;16
"352610 Juquiá";-;-;-;-;5;-;-;2;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;11
"352620 Juquitiba";-;-;-;-;4;-;1;3;-;-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;12
"352630 Lagoinha";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"352640 Laranjal Paulista";-;-;1;-;6;-;5;41;-;-;-;1;-;-;2;-;-;-;1;5;-;-;-;-;62
"352650 Lavínia";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"352660 Lavrinhas";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"352670 Leme";-;-;1;-;12;-;25;92;-;-;-;2;-;-;2;-;-;-;1;11;1;-;-;2;149
"352680 Lençóis Paulista";-;-;-;-;10;1;2;104;-;-;-;1;1;-;1;-;-;1;1;9;-;-;-;1;132
"352690 Limeira";-;-;-;-;25;-;33;293;-;-;-;4;-;-;6;-;-;-;1;21;1;-;1;-;385
"352700 Lindóia";-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;10
"352710 Lins";-;1;4;-;7;-;4;255;-;-;2;3;-;-;1;3;-;-;1;8;1;-;-;-;290
"352720 Lorena";-;-;1;-;17;-;7;137;-;-;-;2;-;-;-;-;-;-;-;10;-;-;-;-;174
"352725 Lourdes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352730 Louveira";-;-;-;-;3;-;2;12;-;-;-;1;-;-;-;-;-;-;1;1;1;-;-;-;21
"352740 Lucélia";-;-;-;-;5;-;2;12;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;21
"352750 Lucianópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352760 Luís Antônio";-;-;-;-;4;-;1;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"352770 Luiziânia";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;5
"352780 Lupércio";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"352790 Lutécia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352800 Macatuba";-;-;-;-;4;-;4;5;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;16
"352810 Macaubal";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;9
"352820 Macedônia";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"352830 Magda";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352840 Mairinque";-;-;-;-;17;-;7;13;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;41
"352850 Mairiporã";-;-;1;-;7;-;6;13;-;1;-;1;-;-;4;1;-;-;1;5;2;-;-;-;42
"352860 Manduri";-;-;-;-;3;-;1;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;10
"352870 Marabá Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"352880 Maracaí";-;-;1;-;4;-;-;4;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;12
"352885 Marapoama";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352890 Mariápolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"352900 Marília";-;-;2;-;51;-;33;423;-;2;2;5;-;1;2;1;1;1;2;19;2;-;3;-;550
"352910 Marinópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352920 Martinópolis";-;-;2;-;7;-;2;12;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;26
"352930 Matão";-;-;1;-;11;-;24;86;-;-;-;1;-;-;2;-;-;-;1;5;-;-;-;1;132
"352940 Mauá";-;-;3;-;23;-;21;118;-;-;1;4;-;-;8;-;-;-;1;24;2;-;1;1;207
"352950 Mendonça";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352960 Meridiano";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;4
"352965 Mesópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352970 Miguelópolis";-;-;-;-;6;1;3;9;-;-;-;1;-;-;1;-;-;1;-;5;1;-;-;-;28
"352980 Mineiros do Tietê";-;-;-;-;2;-;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"353000 Mira Estrela";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"352990 Miracatu";-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;10
"353010 Mirandópolis";-;-;-;-;6;-;-;26;-;-;-;2;-;-;-;3;-;-;-;7;2;-;-;-;46
"353020 Mirante do Paranapanema";-;-;-;-;6;-;1;7;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;17
"353030 Mirassol";-;-;1;-;5;-;20;21;-;-;-;2;-;-;-;1;-;1;1;7;1;-;-;-;60
"353040 Mirassolândia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353050 Mococa";-;-;2;-;8;1;32;88;-;-;-;1;-;-;5;1;1;-;1;7;2;-;1;1;151
"353060 Mogi das Cruzes";-;1;1;-;28;1;97;135;-;1;1;7;-;-;8;-;-;-;-;35;3;-;-;1;319
"353070 Mogi Guaçu";-;-;2;-;17;-;31;194;-;1;-;3;-;-;5;-;-;1;1;12;1;-;-;-;268
"353080 Mogi Mirim";-;-;2;-;14;1;14;114;-;-;1;1;-;-;5;-;-;-;1;15;1;-;-;-;169
"353090 Mombuca";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"353100 Monções";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;4
"353110 Mongaguá";-;-;-;-;8;-;6;5;-;1;-;1;-;-;1;-;-;2;-;1;1;-;-;-;26
"353120 Monte Alegre do Sul";-;-;-;-;3;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;8
"353130 Monte Alto";-;-;1;-;7;-;7;129;1;1;-;2;-;-;14;-;-;1;1;1;1;-;-;-;166
"353140 Monte Aprazível";-;-;-;-;4;-;11;9;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;29
"353150 Monte Azul Paulista";-;-;-;-;2;-;1;11;-;-;-;2;-;-;1;-;-;1;-;3;-;-;-;-;21
"353160 Monte Castelo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353180 Monte Mor";-;-;1;-;11;-;6;20;-;-;-;1;-;-;-;-;-;-;1;2;2;-;-;1;45
"353170 Monteiro Lobato";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;5
"353190 Morro Agudo";-;-;1;-;5;-;5;33;-;-;-;1;-;-;-;2;-;-;2;4;2;-;-;-;55
"353200 Morungaba";-;-;-;-;5;-;2;-;-;-;-;1;-;-;-;-;-;-;1;2;-;-;-;-;11
"353205 Motuca";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;5
"353210 Murutinga do Sul";-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"353215 Nantes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"353220 Narandiba";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353230 Natividade da Serra";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"353240 Nazaré Paulista";-;-;-;-;1;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;5
"353250 Neves Paulista";-;-;-;-;3;-;1;4;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;12
"353260 Nhandeara";-;-;-;-;4;-;2;16;-;-;1;1;-;-;-;-;-;-;1;2;-;-;-;-;27
"353270 Nipoã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353280 Nova Aliança";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"353282 Nova Campina";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353284 Nova Canaã Paulista";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353286 Nova Castilho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353290 Nova Europa";-;-;-;-;4;-;2;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;10
"353300 Nova Granada";-;-;-;-;3;-;2;2;-;-;-;1;-;-;1;2;-;-;1;1;-;-;-;-;13
"353310 Nova Guataporanga";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353320 Nova Independência";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"353330 Nova Luzitânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353340 Nova Odessa";-;-;-;-;4;-;4;37;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;48
"353325 Novais";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353350 Novo Horizonte";-;-;-;-;5;-;11;27;-;-;-;1;-;-;1;1;-;-;1;4;-;-;-;-;51
"353360 Nuporanga";-;-;-;-;4;-;-;12;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;19
"353370 Ocauçu";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"353380 Óleo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;4
"353390 Olímpia";-;-;-;-;7;-;10;42;-;-;-;1;-;-;4;-;-;-;1;12;-;-;-;-;77
"353400 Onda Verde";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"353410 Oriente";-;-;-;-;2;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"353420 Orindiúva";-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"353430 Orlândia";-;-;-;-;7;-;7;90;1;-;-;1;-;-;1;-;-;-;1;8;2;-;1;-;119
"353440 Osasco";-;1;2;-;36;-;142;359;-;4;2;6;-;-;7;-;-;4;1;37;1;-;1;1;604
"353450 Oscar Bressane";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353460 Osvaldo Cruz";-;-;-;-;6;1;3;26;-;-;-;2;-;-;1;1;-;-;-;8;1;-;-;1;50
"353470 Ourinhos";-;1;1;-;15;1;19;224;-;-;3;3;-;-;3;3;-;-;1;22;2;-;-;-;298
"353480 Ouro Verde";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;4
"353475 Ouroeste";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;9
"353490 Pacaembu";-;-;-;-;4;-;-;8;-;-;-;1;-;-;-;-;-;-;1;2;1;-;-;-;17
"353500 Palestina";-;-;-;-;1;-;2;3;-;-;-;-;-;-;1;2;-;-;1;1;-;-;-;-;11
"353510 Palmares Paulista";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
"353520 Palmeira d'Oeste";-;-;-;-;3;-;-;5;-;-;-;1;-;-;-;2;-;-;1;1;-;-;-;-;13
"353530 Palmital";-;-;-;-;5;1;-;14;-;-;-;1;-;-;2;-;-;-;1;1;1;-;-;-;26
"353540 Panorama";-;-;-;-;1;-;1;4;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;10
"353550 Paraguaçu Paulista";-;-;1;-;12;1;1;42;-;1;-;1;-;-;-;-;-;-;1;5;-;-;-;1;66
"353560 Paraibuna";-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;4;-;1;-;1;-;-;-;-;11
"353570 Paraíso";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;4
"353580 Paranapanema";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;1;-;-;7
"353590 Paranapuã";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353600 Parapuã";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;5
"353610 Pardinho";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"353620 Pariquera-Açu";-;-;-;-;7;-;-;3;-;-;-;1;-;-;-;-;-;-;1;2;-;-;1;-;15
"353625 Parisi";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"353630 Patrocínio Paulista";-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;9
"353640 Paulicéia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"353650 Paulínia";-;-;2;-;6;1;14;66;-;-;-;2;-;-;9;-;-;-;1;5;1;-;-;1;108
"353657 Paulistânia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353660 Paulo de Faria";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;5
"353670 Pederneiras";-;-;1;-;12;-;2;32;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;52
"353680 Pedra Bela";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353690 Pedranópolis";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;4
"353700 Pedregulho";-;-;-;-;6;-;3;5;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;17
"353710 Pedreira";-;-;1;-;8;-;1;8;-;-;-;1;-;-;3;-;-;1;1;9;-;-;-;-;33
"353715 Pedrinhas Paulista";-;-;-;-;2;1;-;3;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;8
"353720 Pedro de Toledo";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"353730 Penápolis";-;-;1;-;10;-;4;107;1;-;1;2;-;-;3;-;-;1;2;15;1;-;-;-;148
"353740 Pereira Barreto";-;-;-;-;5;-;3;18;-;-;-;1;-;-;-;1;-;-;1;3;-;-;-;-;32
"353750 Pereiras";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;-;8
"353760 Peruíbe";-;-;1;-;6;-;7;15;-;-;-;1;-;-;1;6;-;-;1;1;1;-;-;-;40
"353770 Piacatu";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"353780 Piedade";-;-;-;-;7;-;1;18;-;-;1;1;-;-;-;-;-;-;1;3;-;-;-;-;32
"353790 Pilar do Sul";-;-;-;-;7;-;1;4;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;-;16
"353800 Pindamonhangaba";-;-;1;-;20;1;16;157;-;-;-;3;-;-;7;-;-;1;-;13;1;-;-;-;220
