"Município";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"POLICLINICA";"POSTO DE SAUDE";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"Total"
"354470 Sagres";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354480 Sales";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354490 Sales Oliveira";-;2;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;6
"354500 Salesópolis";-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;6
"354510 Salmourão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354515 Saltinho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354520 Salto";-;10;-;9;14;-;-;-;3;-;2;-;-;-;6;2;-;-;-;-;46
"354530 Salto de Pirapora";-;8;-;2;3;-;-;3;1;-;1;-;-;-;1;-;-;-;-;-;19
"354540 Salto Grande";-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;3
"354550 Sandovalina";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354560 Santa Adélia";-;2;-;-;-;-;-;-;1;-;-;3;-;-;2;-;-;-;-;-;8
"354570 Santa Albertina";-;2;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;6
"354580 Santa Bárbara d'Oeste";-;11;-;7;19;-;-;-;1;1;2;-;-;1;10;2;-;1;-;-;55
"354600 Santa Branca";-;9;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;12
"354610 Santa Clara d'Oeste";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354620 Santa Cruz da Conceição";-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;4
"354625 Santa Cruz da Esperança";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354630 Santa Cruz das Palmeiras";-;2;-;1;36;-;-;-;1;-;4;-;-;-;3;-;-;-;-;-;47
"354640 Santa Cruz do Rio Pardo";-;6;-;7;1;-;-;-;2;-;1;-;-;-;4;1;-;-;-;-;22
"354650 Santa Ernestina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354660 Santa Fé do Sul";-;9;-;7;26;-;-;-;1;-;2;-;-;1;8;-;-;-;-;-;54
"354670 Santa Gertrudes";-;3;-;-;24;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;30
"354680 Santa Isabel";-;13;-;2;-;-;-;-;1;-;-;-;-;-;3;1;-;-;-;-;20
"354690 Santa Lúcia";-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;3
"354700 Santa Maria da Serra";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"354710 Santa Mercedes";-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"354740 Santa Rita d'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354750 Santa Rita do Passa Quatro";-;6;-;3;20;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;31
"354760 Santa Rosa de Viterbo";-;4;-;1;6;-;-;-;1;-;-;-;-;-;5;-;-;-;-;-;17
"354765 Santa Salete";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354720 Santana da Ponte Pensa";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354730 Santana de Parnaíba";-;8;-;6;-;-;-;-;-;-;1;-;-;2;1;1;-;-;-;-;19
"354770 Santo Anastácio";-;4;-;1;9;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;17
"354780 Santo André";-;36;2;148;108;1;2;2;13;1;102;2;-;4;50;2;-;-;-;-;473
"354790 Santo Antônio da Alegria";-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;4
"354800 Santo Antônio de Posse";-;3;-;-;-;-;-;-;-;-;3;-;-;1;1;-;-;-;-;-;8
"354805 Santo Antônio do Aracanguá";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"354810 Santo Antônio do Jardim";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"354820 Santo Antônio do Pinhal";-;1;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;6
"354830 Santo Expedito";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354840 Santópolis do Aguapeí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354850 Santos";-;21;-;96;732;-;-;2;11;5;7;3;2;4;59;4;-;-;-;1;947
"354860 São Bento do Sapucaí";-;1;-;-;1;-;-;-;1;-;-;5;-;1;1;-;-;-;-;-;10
"354870 São Bernardo do Campo";-;30;-;139;86;-;-;4;10;1;25;-;1;5;42;3;-;1;-;1;348
"354880 São Caetano do Sul";-;12;-;99;145;-;-;1;3;-;5;-;-;1;30;1;-;-;-;1;298
"354890 São Carlos";-;19;-;5;7;-;-;-;3;-;7;-;-;2;23;2;-;-;-;1;69
"354900 São Francisco";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354910 São João da Boa Vista";-;11;1;21;76;-;-;-;2;-;2;-;-;1;9;3;-;-;-;-;126
"354920 São João das Duas Pontes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"354925 São João de Iracema";-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354930 São João do Pau d'Alho";-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"354940 São Joaquim da Barra";-;9;-;2;57;-;-;-;1;-;-;-;-;-;7;-;-;-;-;-;76
"354950 São José da Bela Vista";-;2;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"354960 São José do Barreiro";-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;4
"354970 São José do Rio Pardo";-;3;-;12;-;1;-;-;1;-;6;-;-;1;7;1;-;-;-;-;32
"354980 São José do Rio Preto";-;25;3;152;73;-;2;5;6;1;61;-;-;1;65;6;-;-;-;1;401
"354990 São José dos Campos";-;43;2;131;263;1;1;7;9;4;3;2;1;4;38;3;1;-;-;1;514
"354995 São Lourenço da Serra";-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"355000 São Luís do Paraitinga";-;4;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"355010 São Manuel";-;6;-;-;4;-;-;-;1;-;-;-;-;-;9;1;-;-;-;-;21
"355020 São Miguel Arcanjo";-;9;-;1;-;-;-;-;1;-;1;-;-;-;2;1;-;-;-;-;15
"355030 São Paulo";1;406;2;1598;3086;4;16;49;138;15;170;48;4;16;440;40;1;9;1;7;6051
"355040 São Pedro";-;4;-;1;8;-;-;-;2;-;1;-;-;1;1;-;-;-;-;-;18
"355050 São Pedro do Turvo";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355060 São Roque";-;9;-;15;48;-;-;-;2;-;5;1;-;-;6;2;-;-;-;-;88
"355070 São Sebastião";-;16;1;14;67;-;-;-;1;-;-;1;-;2;2;1;-;-;-;2;107
"355080 São Sebastião da Grama";-;3;-;-;10;-;-;-;1;-;-;-;-;1;2;2;-;-;-;-;19
"355090 São Simão";-;3;-;2;20;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;28
"355100 São Vicente";-;22;-;24;93;-;-;-;3;-;4;2;1;3;5;2;-;-;-;-;159
"355110 Sarapuí";-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"355120 Sarutaiá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355130 Sebastianópolis do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355140 Serra Azul";-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"355160 Serra Negra";-;6;-;-;13;-;-;-;1;-;1;-;-;-;5;-;-;-;-;-;26
"355150 Serrana";-;6;-;1;-;-;-;-;1;-;3;-;-;-;1;1;-;-;-;-;13
"355170 Sertãozinho";-;9;-;6;18;-;-;-;2;1;-;-;-;1;10;1;-;-;-;-;48
"355180 Sete Barras";-;6;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;8
"355190 Severínia";-;2;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;6
"355200 Silveiras";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"355210 Socorro";-;3;-;2;3;-;-;-;1;-;1;7;-;-;5;-;-;-;-;-;22
"355220 Sorocaba";-;30;-;63;65;-;-;6;7;2;17;-;-;3;41;6;-;4;-;8;252
"355230 Sud Mennucci";-;2;-;-;3;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;7
"355240 Sumaré";-;17;-;7;24;-;-;-;2;1;11;-;-;1;14;2;-;-;-;-;79
"355255 Suzanápolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355250 Suzano";-;14;-;21;19;-;-;-;4;-;6;-;-;1;17;1;-;1;-;-;84
"355260 Tabapuã";-;2;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;6
"355270 Tabatinga";-;4;-;-;9;-;-;-;1;-;1;-;-;1;2;1;-;-;-;-;19
"355280 Taboão da Serra";-;11;-;16;12;-;1;-;3;-;6;-;-;2;3;1;-;-;-;-;55
"355290 Taciba";-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"355300 Taguaí";-;1;-;-;6;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;9
"355310 Taiaçu";-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"355320 Taiúva";-;2;-;-;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"355330 Tambaú";-;1;-;1;18;-;-;-;1;-;1;3;-;1;2;1;-;-;-;-;29
"355340 Tanabi";-;3;-;10;-;-;-;-;1;-;-;4;-;-;2;-;-;-;-;-;20
"355350 Tapiraí";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"355360 Tapiratiba";-;2;-;-;-;-;-;-;1;-;1;1;-;-;2;1;-;-;-;-;8
"355365 Taquaral";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355370 Taquaritinga";-;10;-;7;18;-;-;1;1;-;1;-;-;1;6;1;-;-;-;1;47
"355380 Taquarituba";-;5;-;1;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;10
"355385 Taquarivaí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"355390 Tarabai";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355395 Tarumã";-;4;-;3;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;11
"355400 Tatuí";-;15;-;16;125;-;-;-;2;-;5;-;-;1;15;2;-;-;-;-;181
"355410 Taubaté";-;56;1;96;126;-;-;1;4;1;5;-;-;1;29;6;-;-;-;3;329
"355420 Tejupá";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355430 Teodoro Sampaio";-;7;-;-;-;-;-;-;1;-;-;2;-;-;3;1;-;-;-;-;14
"355440 Terra Roxa";-;2;-;1;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;8
"355450 Tietê";-;6;-;8;25;-;-;-;1;-;-;3;-;-;10;2;-;1;-;-;56
"355460 Timburi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355465 Torre de Pedra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355470 Torrinha";-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"355475 Trabiju";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355480 Tremembé";-;2;-;1;4;-;-;-;1;-;-;5;-;1;1;-;-;-;-;-;15
"355490 Três Fronteiras";-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355495 Tuiuti";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355500 Tupã";-;7;-;1;3;-;-;3;2;-;5;7;-;-;6;-;-;-;-;-;34
"355510 Tupi Paulista";-;5;-;-;2;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;10
"355520 Turiúba";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355530 Turmalina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"355535 Ubarana";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355540 Ubatuba";-;19;-;5;6;-;-;-;1;-;-;2;-;-;4;1;1;-;-;-;39
"355550 Ubirajara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355560 Uchoa";-;2;-;2;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"355570 União Paulista";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"355580 Urânia";-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"355590 Uru";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355600 Urupês";-;3;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;7
"355610 Valentim Gentil";-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"355620 Valinhos";-;13;-;14;126;-;-;-;1;-;-;-;-;1;8;2;1;-;-;-;166
"355630 Valparaíso";-;3;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"355635 Vargem";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355640 Vargem Grande do Sul";-;4;-;-;4;-;-;-;1;-;2;-;-;1;3;1;-;-;-;-;16
"355645 Vargem Grande Paulista";-;5;-;1;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;10
"355650 Várzea Paulista";-;12;-;4;1;-;-;-;1;-;1;-;-;1;1;1;-;-;-;-;22
"355660 Vera Cruz";-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"355670 Vinhedo";-;4;-;28;113;-;-;-;1;-;2;-;-;-;17;1;-;-;-;-;166
"355680 Viradouro";-;4;-;2;12;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;22
"355690 Vista Alegre do Alto";-;1;-;1;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;6
"355695 Vitória Brasil";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"355700 Votorantim";-;16;-;3;9;-;-;-;2;1;1;-;-;-;5;1;1;-;-;1;40
"355710 Votuporanga";-;13;-;14;62;-;-;-;3;-;-;-;-;-;14;-;-;-;-;1;107
"355715 Zacarias";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";1;3873;33;4947;11863;12;45;181;728;69;931;305;18;191;2716;436;39;50;2;88;26528
&
